vv_gene,Ensembl_gene
LOC127064065,ENSVVLG00005003757
LOC127064066,ENSVVLG00005003013
LOC127064067,ENSVVLG00005015090
LOC127064068,ENSVVLG00005015351
LOC127064069,ENSVVLG00005015404
LOC127064070,ENSVVLG00005015394
LOC127064071,ENSVVLG00005000613
LOC127064072,ENSVVLG00005004059
LOC127064073,ENSVVLG00005004273
LOC127064074,ENSVVLG00005014699
LOC127064077,ENSVVLG00005003456
LOC127064078,ENSVVLG00005003265
LOC127064079,ENSVVLG00005014831
LOC127064080,ENSVVLG00005003640
LOC127064081,ENSVVLG00005003384
LOC127064082,ENSVVLG00005005159
LOC127064084,ENSVVLG00005002429
LOC127064085,ENSVVLG00005014908
LOC127064086,ENSVVLG00005003919
LOC127064090,ENSVVLG00005001996
LOC127064091,ENSVVLG00005001065
LOC127064092,ENSVVLG00005014710
LOC127064093,ENSVVLG00005015336
LOC127064094,ENSVVLG00005015076
LOC127064095,ENSVVLG00005005724
LOC127064096,ENSVVLG00005001785
LOC127064097,ENSVVLG00005000898
LOC127064098,ENSVVLG00005015071
LOC127064099,ENSVVLG00005015269
LOC127064100,ENSVVLG00005016188
LOC127064101,ENSVVLG00005015001
LOC127064103,ENSVVLG00005004985
LOC127064104,ENSVVLG00005015473
LOC127064105,ENSVVLG00005000176
LOC127064106,ENSVVLG00005004494
LOC127064107,ENSVVLG00005015470
LOC127064110,ENSVVLG00005001191
LOC127064111,ENSVVLG00005014940
LOC127064112,ENSVVLG00005015513
LOC127064113,ENSVVLG00005015640
LOC127064114,ENSVVLG00005000152
LOC127064115,ENSVVLG00005015699
LOC127064118,ENSVVLG00005002179
LOC127064119,ENSVVLG00005004859
LOC127064120,ENSVVLG00005014767
LOC127064121,ENSVVLG00005004472
LOC127064122,ENSVVLG00005000525
LOC127064123,ENSVVLG00005004287
LOC127064124,ENSVVLG00005003286
LOC127064125,ENSVVLG00005001745
LOC127064126,ENSVVLG00005002626
LOC127064127,ENSVVLG00005002262
LOC127064129,ENSVVLG00005014742
LOC127064131,ENSVVLG00005002211
LOC127064132,ENSVVLG00005015180
LOC127064134,ENSVVLG00005000305
LOC127064135,ENSVVLG00005015983
LOC127064136,ENSVVLG00005002032
LOC127064137,ENSVVLG00005000312
LOC127064140,ENSVVLG00005004569
LOC127064141,ENSVVLG00005015034
LOC127064142,ENSVVLG00005003800
LOC127064143,ENSVVLG00005004453
LOC127064144,ENSVVLG00005014779
LOC127064146,ENSVVLG00005005480
LOC127064147,ENSVVLG00005002061
LOC127064148,ENSVVLG00005001470
LOC127064149,ENSVVLG00005005587
LOC127064150,ENSVVLG00005000563
LOC127064151,ENSVVLG00005005554
LOC127064152,ENSVVLG00005005707
LOC127064154,ENSVVLG00005003649
LOC127064156,ENSVVLG00005015462
LOC127064157,ENSVVLG00005000386
LOC127064158,ENSVVLG00005001036
LOC127064160,ENSVVLG00005014885
LOC127064161,ENSVVLG00005001460
LOC127064162,ENSVVLG00005015750
LOC127064163,ENSVVLG00005001135
LOC127064164,ENSVVLG00005004376
LOC127064167,ENSVVLG00005015374
LOC127064168,ENSVVLG00005001099
LOC127064169,ENSVVLG00005000490
LOC127064170,ENSVVLG00005000295
LOC127064171,ENSVVLG00005002727
LOC127064172,ENSVVLG00005002575
LOC127064173,ENSVVLG00005015758
LOC127064174,ENSVVLG00005001205
LOC127064175,ENSVVLG00005005504
LOC127064176,ENSVVLG00005000667
LOC127064177,ENSVVLG00005014916
LOC127064179,ENSVVLG00005000182
LOC127064180,ENSVVLG00005002902
LOC127064184,ENSVVLG00005002969
LOC127064186,ENSVVLG00005001007
LOC127064191,ENSVVLG00005015938
LOC127064192,ENSVVLG00005000211
LOC127064193,ENSVVLG00005005785
LOC127064194,ENSVVLG00005016157
LOC127064195,ENSVVLG00005000501
LOC127064196,ENSVVLG00005002376
LOC127064197,ENSVVLG00005015450
LOC127064198,ENSVVLG00005000072
LOC127064200,ENSVVLG00005015541
LOC127064201,ENSVVLG00005002973
LOC127064202,ENSVVLG00005003116
LOC127064204,ENSVVLG00005001896
LOC127064207,ENSVVLG00005004959
LOC127064208,ENSVVLG00005001080
LOC127064209,ENSVVLG00005004793
LOC127064211,ENSVVLG00005000955
LOC127064212,ENSVVLG00005015830
LOC127064213,ENSVVLG00005015736
LOC127064214,ENSVVLG00005015006
LOC127064215,ENSVVLG00005002744
LOC127064216,ENSVVLG00005016246
LOC127064217,ENSVVLG00005015566
LOC127064218,ENSVVLG00005005792
LOC127064219,ENSVVLG00005000549
LOC127064221,ENSVVLG00005002082
LOC127064222,ENSVVLG00005015371
LOC127064223,ENSVVLG00005003613
LOC127064224,ENSVVLG00005000445
LOC127064226,ENSVVLG00005014689
LOC127064227,ENSVVLG00005014882
LOC127064228,ENSVVLG00005001292
LOC127064229,ENSVVLG00005000465
LOC127064230,ENSVVLG00005015707
LOC127064231,ENSVVLG00005005294
LOC127064234,ENSVVLG00005000996
LOC127064235,ENSVVLG00005005808
LOC127064236,ENSVVLG00005005416
LOC127064237,ENSVVLG00005000226
LOC127064238,ENSVVLG00005004067
LOC127064239,ENSVVLG00005004159
LOC127064240,ENSVVLG00005000570
LOC127064241,ENSVVLG00005005632
LOC127064243,ENSVVLG00005001922
LOC127064244,ENSVVLG00005004717
LOC127064245,ENSVVLG00005002890
LOC127064247,ENSVVLG00005014901
LOC127064249,ENSVVLG00005001509
LOC127064250,ENSVVLG00005000246
LOC127064252,ENSVVLG00005005048
LOC127064253,ENSVVLG00005003851
LOC127064254,ENSVVLG00005015045
LOC127064256,ENSVVLG00005002656
LOC127064257,ENSVVLG00005015951
LOC127064258,ENSVVLG00005003947
LOC127064259,ENSVVLG00005001262
LOC127064260,ENSVVLG00005015190
LOC127064261,ENSVVLG00005003250
LOC127064262,ENSVVLG00005003415
LOC127064263,ENSVVLG00005000870
LOC127064264,ENSVVLG00005001029
LOC127064266,ENSVVLG00005004006
LOC127064269,ENSVVLG00005015243
LOC127064270,ENSVVLG00005014720
LOC127064271,ENSVVLG00005014802
LOC127064274,ENSVVLG00005002229
LOC127064275,ENSVVLG00005001930
LOC127064276,ENSVVLG00005014839
LOC127064277,ENSVVLG00005005615
LOC127064278,ENSVVLG00005000400
LOC127064279,ENSVVLG00005014629
LOC127064281,ENSVVLG00005002515
LOC127064282,ENSVVLG00005015837
LOC127064284,ENSVVLG00005014730
LOC127064285,ENSVVLG00005000008
LOC127064286,ENSVVLG00005004214
LOC127064288,ENSVVLG00005014684
LOC127064291,ENSVVLG00005000412
LOC127064292,ENSVVLG00005004929
LOC127064293,ENSVVLG00005003690
LOC127064294,ENSVVLG00005015152
LOC127064295,ENSVVLG00005014854
LOC127064296,ENSVVLG00005000910
LOC127064297,ENSVVLG00005000976
LOC127064298,ENSVVLG00005015571
LOC127064300,ENSVVLG00005003991
LOC127064302,ENSVVLG00005004397
LOC127064303,ENSVVLG00005005739
LOC127064304,ENSVVLG00005005667
LOC127064305,ENSVVLG00005000669
LOC127064307,ENSVVLG00005015682
LOC127064309,ENSVVLG00005001451
LOC127064310,ENSVVLG00005000699
LOC127064311,ENSVVLG00005015219
LOC127064315,ENSVVLG00005014819
LOC127064316,ENSVVLG00005015029
LOC127064317,ENSVVLG00005000716
LOC127064319,ENSVVLG00005001675
LOC127064320,ENSVVLG00005000069
LOC127064321,ENSVVLG00005000693
LOC127064323,ENSVVLG00005004336
LOC127064324,ENSVVLG00005001091
LOC127064325,ENSVVLG00005014702
LOC127064326,ENSVVLG00005015240
LOC127064327,ENSVVLG00005015191
LOC127064328,ENSVVLG00005002822
LOC127064331,ENSVVLG00005000418
LOC127064335,ENSVVLG00005015848
LOC127064337,ENSVVLG00005015851
LOC127064338,ENSVVLG00005015858
LOC127064339,ENSVVLG00005015887
LOC127064340,ENSVVLG00005015892
LOC127064341,ENSVVLG00005015866
LOC127064342,ENSVVLG00005015941
LOC127064343,ENSVVLG00005015876
LOC127064344,ENSVVLG00005015873
LOC127064345,ENSVVLG00005015879
LOC127064346,ENSVVLG00005015869
LOC127064347,ENSVVLG00005015863
LOC127064348,ENSVVLG00005015881
LOC127064349,ENSVVLG00005015855
LOC127064350,ENSVVLG00005015886
LOC127064351,ENSVVLG00005015891
LOC127064352,ENSVVLG00005015889
LOC127064353,ENSVVLG00005015860
LOC127064354,ENSVVLG00005003056
LOC127064355,ENSVVLG00005006927
LOC127064356,ENSVVLG00005008470
LOC127064357,ENSVVLG00005007361
LOC127064358,ENSVVLG00005003912
LOC127064361,ENSVVLG00005008584
LOC127064362,ENSVVLG00005008309
LOC127064365,ENSVVLG00005007226
LOC127064366,ENSVVLG00005005927
LOC127064367,ENSVVLG00005005912
LOC127064368,ENSVVLG00005009166
LOC127064369,ENSVVLG00005003477
LOC127064370,ENSVVLG00005015236
LOC127064371,ENSVVLG00005005321
LOC127064372,ENSVVLG00005002921
LOC127064373,ENSVVLG00005004825
LOC127064376,ENSVVLG00005005874
LOC127064377,ENSVVLG00005003501
LOC127064378,ENSVVLG00005005806
LOC127064381,ENSVVLG00005007723
LOC127064382,ENSVVLG00005009076
LOC127064383,ENSVVLG00005007085
LOC127064384,ENSVVLG00005007287
LOC127064386,ENSVVLG00005006372
LOC127064387,ENSVVLG00005008188
LOC127064390,ENSVVLG00005005216
LOC127064391,ENSVVLG00005002942
LOC127064393,ENSVVLG00005006060
LOC127064395,ENSVVLG00005007536
LOC127064397,ENSVVLG00005007058
LOC127064398,ENSVVLG00005006745
LOC127064399,ENSVVLG00005005335
LOC127064400,ENSVVLG00005004150
LOC127064401,ENSVVLG00005003773
LOC127064402,ENSVVLG00005008710
LOC127064403,ENSVVLG00005003605
LOC127064404,ENSVVLG00005003150
LOC127064405,ENSVVLG00005001981
LOC127064406,ENSVVLG00005005686
LOC127064407,ENSVVLG00005007437
LOC127064409,ENSVVLG00005006293
LOC127064414,ENSVVLG00005007028
LOC127064415,ENSVVLG00005007927
LOC127064422,ENSVVLG00005006136
LOC127064429,ENSVVLG00005003394
LOC127064430,ENSVVLG00005001442
LOC127064433,ENSVVLG00005003602
LOC127064435,ENSVVLG00005007574
LOC127064436,ENSVVLG00005014996
LOC127064437,ENSVVLG00005003188
LOC127064438,ENSVVLG00005003010
LOC127064439,ENSVVLG00005006948
LOC127064441,ENSVVLG00005003703
LOC127064442,ENSVVLG00005007258
LOC127064443,ENSVVLG00005007903
LOC127064444,ENSVVLG00005004678
LOC127064445,ENSVVLG00005007372
LOC127064446,ENSVVLG00005005104
LOC127064448,ENSVVLG00005004599
LOC127064449,ENSVVLG00005002808
LOC127064450,ENSVVLG00005000688
LOC127064452,ENSVVLG00005007433
LOC127064454,ENSVVLG00005006435
LOC127064455,ENSVVLG00005007101
LOC127064458,ENSVVLG00005005579
LOC127064459,ENSVVLG00005005950
LOC127064460,ENSVVLG00005007839
LOC127064461,ENSVVLG00005007979
LOC127064462,ENSVVLG00005006088
LOC127064465,ENSVVLG00005007545
LOC127064466,ENSVVLG00005005055
LOC127064467,ENSVVLG00005004130
LOC127064468,ENSVVLG00005008508
LOC127064469,ENSVVLG00005003609
LOC127064470,ENSVVLG00005008084
LOC127064475,ENSVVLG00005009111
LOC127064476,ENSVVLG00005007295
LOC127064477,ENSVVLG00005004865
LOC127064478,ENSVVLG00005005648
LOC127064479,ENSVVLG00005004473
LOC127064480,ENSVVLG00005004650
LOC127064481,ENSVVLG00005003895
LOC127064482,ENSVVLG00005008946
LOC127064483,ENSVVLG00005007486
LOC127064485,ENSVVLG00005004208
LOC127064486,ENSVVLG00005008255
LOC127064491,ENSVVLG00005007883
LOC127064492,ENSVVLG00005005845
LOC127064493,ENSVVLG00005007478
LOC127064494,ENSVVLG00005008367
LOC127064495,ENSVVLG00005005630
LOC127064496,ENSVVLG00005008360
LOC127064497,ENSVVLG00005006280
LOC127064498,ENSVVLG00005009082
LOC127064499,ENSVVLG00005005043
LOC127064500,ENSVVLG00005007015
LOC127064503,ENSVVLG00005007313
LOC127064504,ENSVVLG00005007383
LOC127064506,ENSVVLG00005005179
LOC127064508,ENSVVLG00005004723
LOC127064510,ENSVVLG00005004826
LOC127064512,ENSVVLG00005004395
LOC127064514,ENSVVLG00005005737
LOC127064515,ENSVVLG00005005190
LOC127064516,ENSVVLG00005009156
LOC127064517,ENSVVLG00005007457
LOC127064518,ENSVVLG00005007656
LOC127064519,ENSVVLG00005003537
LOC127064522,ENSVVLG00005004844
LOC127064523,ENSVVLG00005006982
LOC127064524,ENSVVLG00005003924
LOC127064525,ENSVVLG00005005460
LOC127064526,ENSVVLG00005004484
LOC127064527,ENSVVLG00005015059
LOC127064528,ENSVVLG00005008353
LOC127064529,ENSVVLG00005003812
LOC127064530,ENSVVLG00005005301
LOC127064532,ENSVVLG00005008914
LOC127064533,ENSVVLG00005003960
LOC127064535,ENSVVLG00005005145
LOC127064536,ENSVVLG00005008479
LOC127064537,ENSVVLG00005005974
LOC127064539,ENSVVLG00005007867
LOC127064540,ENSVVLG00005004881
LOC127064541,ENSVVLG00005002823
LOC127064544,ENSVVLG00005005365
LOC127064545,ENSVVLG00005004112
LOC127064550,ENSVVLG00005007997
LOC127064551,ENSVVLG00005006674
LOC127064552,ENSVVLG00005007716
LOC127064553,ENSVVLG00005005657
LOC127064555,ENSVVLG00005003040
LOC127064556,ENSVVLG00005008241
LOC127064557,ENSVVLG00005006491
LOC127064558,ENSVVLG00005008277
LOC127064559,ENSVVLG00005006021
LOC127064561,ENSVVLG00005015679
LOC127064567,ENSVVLG00005005536
LOC127064569,ENSVVLG00005008270
LOC127064570,ENSVVLG00005006970
LOC127064571,ENSVVLG00005003656
LOC127064572,ENSVVLG00005008427
LOC127064573,ENSVVLG00005003122
LOC127064575,ENSVVLG00005006259
LOC127064576,ENSVVLG00005004371
LOC127064577,ENSVVLG00005003451
LOC127064578,ENSVVLG00005006480
LOC127064579,ENSVVLG00005005289
LOC127064580,ENSVVLG00005005963
LOC127064581,ENSVVLG00005008636
LOC127064583,ENSVVLG00005009208
LOC127064584,ENSVVLG00005007161
LOC127064586,ENSVVLG00005003103
LOC127064587,ENSVVLG00005007528
LOC127064588,ENSVVLG00005003940
LOC127064589,ENSVVLG00005002955
LOC127064590,ENSVVLG00005004168
LOC127064591,ENSVVLG00005008624
LOC127064592,ENSVVLG00005008688
LOC127064593,ENSVVLG00005007490
LOC127064594,ENSVVLG00005004921
LOC127064595,ENSVVLG00005006297
LOC127064596,ENSVVLG00005003235
LOC127064597,ENSVVLG00005007067
LOC127064598,ENSVVLG00005005832
LOC127064599,ENSVVLG00005001530
LOC127064600,ENSVVLG00005003714
LOC127064601,ENSVVLG00005009124
LOC127064602,ENSVVLG00005005005
LOC127064603,ENSVVLG00005006513
LOC127064604,ENSVVLG00005009029
LOC127064605,ENSVVLG00005008438
LOC127064606,ENSVVLG00005000893
LOC127064607,ENSVVLG00005008282
LOC127064608,ENSVVLG00005003363
LOC127064609,ENSVVLG00005008027
LOC127064610,ENSVVLG00005008540
LOC127064612,ENSVVLG00005004886
LOC127064613,ENSVVLG00005005237
LOC127064614,ENSVVLG00005004158
LOC127064615,ENSVVLG00005008375
LOC127064616,ENSVVLG00005006751
LOC127064618,ENSVVLG00005005700
LOC127064620,ENSVVLG00005003571
LOC127064621,ENSVVLG00005006824
LOC127064622,ENSVVLG00005005372
LOC127064623,ENSVVLG00005004893
LOC127064624,ENSVVLG00005000754
LOC127064625,ENSVVLG00005004763
LOC127064626,ENSVVLG00005004708
LOC127064627,ENSVVLG00005006199
LOC127064628,ENSVVLG00005007729
LOC127064629,ENSVVLG00005007501
LOC127064630,ENSVVLG00005006764
LOC127064631,ENSVVLG00005007969
LOC127064633,ENSVVLG00005005265
LOC127064634,ENSVVLG00005006286
LOC127064635,ENSVVLG00005002904
LOC127064636,ENSVVLG00005016265
LOC127064637,ENSVVLG00005004253
LOC127064639,ENSVVLG00005003994
LOC127064640,ENSVVLG00005006387
LOC127064641,ENSVVLG00005007032
LOC127064643,ENSVVLG00005005068
LOC127064644,ENSVVLG00005005985
LOC127064645,ENSVVLG00005006236
LOC127064646,ENSVVLG00005000171
LOC127064647,ENSVVLG00005005939
LOC127064648,ENSVVLG00005006657
LOC127064649,ENSVVLG00005000414
LOC127064650,ENSVVLG00005006229
LOC127064651,ENSVVLG00005006391
LOC127064652,ENSVVLG00005008962
LOC127064655,ENSVVLG00005004035
LOC127064656,ENSVVLG00005006175
LOC127064657,ENSVVLG00005014965
LOC127064658,ENSVVLG00005003289
LOC127064659,ENSVVLG00005005343
LOC127064660,ENSVVLG00005000387
LOC127064661,ENSVVLG00005006803
LOC127064662,ENSVVLG00005006523
LOC127064663,ENSVVLG00005008463
LOC127064664,ENSVVLG00005002134
LOC127064665,ENSVVLG00005009214
LOC127064666,ENSVVLG00005007024
LOC127064671,ENSVVLG00005006126
LOC127064672,ENSVVLG00005004568
LOC127064673,ENSVVLG00005003425
LOC127064674,ENSVVLG00005002086
LOC127064675,ENSVVLG00005006894
LOC127064676,ENSVVLG00005002144
LOC127064677,ENSVVLG00005003082
LOC127064678,ENSVVLG00005004430
LOC127064680,ENSVVLG00005006596
LOC127064681,ENSVVLG00005004958
LOC127064682,ENSVVLG00005006221
LOC127064684,ENSVVLG00005005755
LOC127064685,ENSVVLG00005000102
LOC127064686,ENSVVLG00005008660
LOC127064688,ENSVVLG00005009137
LOC127064691,ENSVVLG00005004828
LOC127064694,ENSVVLG00005009098
LOC127064699,ENSVVLG00005006183
LOC127064701,ENSVVLG00005007392
LOC127064703,ENSVVLG00005007629
LOC127064704,ENSVVLG00005008780
LOC127064705,ENSVVLG00005005413
LOC127064706,ENSVVLG00005004503
LOC127064707,ENSVVLG00005006012
LOC127064709,ENSVVLG00005008404
LOC127064710,ENSVVLG00005005776
LOC127064711,ENSVVLG00005003517
LOC127064712,ENSVVLG00005007804
LOC127064713,ENSVVLG00005006270
LOC127064714,ENSVVLG00005008383
LOC127064715,ENSVVLG00005007690
LOC127064716,ENSVVLG00005005791
LOC127064717,ENSVVLG00005005614
LOC127064718,ENSVVLG00005007413
LOC127064719,ENSVVLG00005006778
LOC127064720,ENSVVLG00005015719
LOC127064721,ENSVVLG00005006577
LOC127064722,ENSVVLG00005006168
LOC127064723,ENSVVLG00005006208
LOC127064724,ENSVVLG00005009193
LOC127064725,ENSVVLG00005007220
LOC127064726,ENSVVLG00005008221
LOC127064727,ENSVVLG00005000125
LOC127064728,ENSVVLG00005006963
LOC127064729,ENSVVLG00005009054
LOC127064730,ENSVVLG00005008335
LOC127064740,ENSVVLG00005003462
LOC127064741,ENSVVLG00005008325
LOC127064742,ENSVVLG00005007250
LOC127064743,ENSVVLG00005009205
LOC127064744,ENSVVLG00005006552
LOC127064745,ENSVVLG00005003370
LOC127064746,ENSVVLG00005007737
LOC127064747,ENSVVLG00005008233
LOC127064748,ENSVVLG00005005094
LOC127064753,ENSVVLG00005004101
LOC127064754,ENSVVLG00005003585
LOC127064756,ENSVVLG00005007647
LOC127064757,ENSVVLG00005005826
LOC127064759,ENSVVLG00005004079
LOC127064760,ENSVVLG00005000054
LOC127064761,ENSVVLG00005008062
LOC127064763,ENSVVLG00005006666
LOC127064764,ENSVVLG00005003853
LOC127064765,ENSVVLG00005007344
LOC127064767,ENSVVLG00005007761
LOC127064768,ENSVVLG00005002299
LOC127064785,ENSVVLG00005002412
LOC127064792,ENSVVLG00005008615
LOC127064795,ENSVVLG00005007848
LOC127064800,ENSVVLG00005004194
LOC127064801,ENSVVLG00005002796
LOC127064802,ENSVVLG00005002782
LOC127064803,ENSVVLG00005004796
LOC127064804,ENSVVLG00005002606
LOC127064805,ENSVVLG00005004440
LOC127064806,ENSVVLG00005005892
LOC127064807,ENSVVLG00005006799
LOC127064809,ENSVVLG00005007137
LOC127064810,ENSVVLG00005006997
LOC127064811,ENSVVLG00005005727
LOC127064812,ENSVVLG00005008096
LOC127064813,ENSVVLG00005006041
LOC127064814,ENSVVLG00005005714
LOC127064815,ENSVVLG00005002855
LOC127064816,ENSVVLG00005005883
LOC127064817,ENSVVLG00005006618
LOC127064819,ENSVVLG00005004584
LOC127064820,ENSVVLG00005005160
LOC127064822,ENSVVLG00005004475
LOC127064826,ENSVVLG00005004803
LOC127064827,ENSVVLG00005003594
LOC127064828,ENSVVLG00005004614
LOC127064829,ENSVVLG00005007448
LOC127064830,ENSVVLG00005008725
LOC127064831,ENSVVLG00005008234
LOC127064836,ENSVVLG00005008392
LOC127064837,ENSVVLG00005006706
LOC127064838,ENSVVLG00005009258
LOC127064839,ENSVVLG00005009244
LOC127064841,ENSVVLG00005009236
LOC127064843,ENSVVLG00005006109
LOC127064844,ENSVVLG00005006341
LOC127064845,ENSVVLG00005008116
LOC127064846,ENSVVLG00005002965
LOC127064847,ENSVVLG00005005125
LOC127064848,ENSVVLG00005004452
LOC127064860,ENSVVLG00005004625
LOC127064863,ENSVVLG00005008159
LOC127064864,ENSVVLG00005006965
LOC127064867,ENSVVLG00005007169
LOC127064868,ENSVVLG00005004551
LOC127064870,ENSVVLG00005006679
LOC127064871,ENSVVLG00005004227
LOC127064873,ENSVVLG00005008492
LOC127064874,ENSVVLG00005006331
LOC127064875,ENSVVLG00005005114
LOC127064876,ENSVVLG00005007267
LOC127064877,ENSVVLG00005006317
LOC127064878,ENSVVLG00005006734
LOC127064879,ENSVVLG00005008524
LOC127064881,ENSVVLG00005006028
LOC127064882,ENSVVLG00005006252
LOC127064883,ENSVVLG00005005716
LOC127064884,ENSVVLG00005008666
LOC127064887,ENSVVLG00005008867
LOC127064888,ENSVVLG00005005875
LOC127064890,ENSVVLG00005005857
LOC127064891,ENSVVLG00005006464
LOC127064892,ENSVVLG00005005621
LOC127064895,ENSVVLG00005007113
LOC127064896,ENSVVLG00005006148
LOC127064898,ENSVVLG00005006692
LOC127064899,ENSVVLG00005009146
LOC127064900,ENSVVLG00005005378
LOC127064902,ENSVVLG00005006322
LOC127064903,ENSVVLG00005004701
LOC127064904,ENSVVLG00005006567
LOC127064905,ENSVVLG00005008201
LOC127064907,ENSVVLG00005007403
LOC127064909,ENSVVLG00005003553
LOC127064911,ENSVVLG00005007821
LOC127064912,ENSVVLG00005006624
LOC127064913,ENSVVLG00005006050
LOC127064914,ENSVVLG00005004000
LOC127064915,ENSVVLG00005004531
LOC127064916,ENSVVLG00005003214
LOC127064917,ENSVVLG00005003205
LOC127064918,ENSVVLG00005003206
LOC127064919,ENSVVLG00005003211
LOC127064920,ENSVVLG00005008790
LOC127064921,ENSVVLG00005008226
LOC127064922,ENSVVLG00005004913
LOC127064923,ENSVVLG00005008528
LOC127064924,ENSVVLG00005004156
LOC127064925,ENSVVLG00005002717
LOC127064926,ENSVVLG00005005116
LOC127064927,ENSVVLG00005008026
LOC127064928,ENSVVLG00005004221
LOC127064930,ENSVVLG00005003518
LOC127064932,ENSVVLG00005006002
LOC127064933,ENSVVLG00005004370
LOC127064934,ENSVVLG00005003227
LOC127064935,ENSVVLG00005003273
LOC127064936,ENSVVLG00005006102
LOC127064937,ENSVVLG00005004402
LOC127064939,ENSVVLG00005006055
LOC127064940,ENSVVLG00005008573
LOC127064942,ENSVVLG00005006100
LOC127064943,ENSVVLG00005006130
LOC127064944,ENSVVLG00005004233
LOC127064945,ENSVVLG00005008257
LOC127064948,ENSVVLG00005003288
LOC127064949,ENSVVLG00005008187
LOC127064950,ENSVVLG00005005894
LOC127064951,ENSVVLG00005003163
LOC127064952,ENSVVLG00005007089
LOC127064959,ENSVVLG00005006780
LOC127064960,ENSVVLG00005002532
LOC127064961,ENSVVLG00005007909
LOC127064962,ENSVVLG00005008306
LOC127064963,ENSVVLG00005004834
LOC127064965,ENSVVLG00005007211
LOC127064966,ENSVVLG00005005914
LOC127064967,ENSVVLG00005006173
LOC127064969,ENSVVLG00005007540
LOC127064970,ENSVVLG00005005982
LOC127064971,ENSVVLG00005008240
LOC127064972,ENSVVLG00005008200
LOC127064973,ENSVVLG00005008229
LOC127064974,ENSVVLG00005008641
LOC127064975,ENSVVLG00005007155
LOC127064976,ENSVVLG00005002795
LOC127064977,ENSVVLG00005005612
LOC127064978,ENSVVLG00005006860
LOC127064979,ENSVVLG00005006025
LOC127064982,ENSVVLG00005002852
LOC127064983,ENSVVLG00005005039
LOC127064984,ENSVVLG00005003178
LOC127064987,ENSVVLG00005004685
LOC127064989,ENSVVLG00005006583
LOC127064990,ENSVVLG00005003979
LOC127064991,ENSVVLG00005004028
LOC127064992,ENSVVLG00005002169
LOC127064993,ENSVVLG00005008385
LOC127064994,ENSVVLG00005003535
LOC127064995,ENSVVLG00005005965
LOC127064996,ENSVVLG00005004765
LOC127064997,ENSVVLG00005005300
LOC127064998,ENSVVLG00005006727
LOC127064999,ENSVVLG00005004915
LOC127065000,ENSVVLG00005006681
LOC127065002,ENSVVLG00005001469
LOC127065005,ENSVVLG00005008097
LOC127065006,ENSVVLG00005003493
LOC127065007,ENSVVLG00005003164
LOC127065008,ENSVVLG00005005273
LOC127065009,ENSVVLG00005006445
LOC127065010,ENSVVLG00005004587
LOC127065012,ENSVVLG00005005807
LOC127065013,ENSVVLG00005002480
LOC127065014,ENSVVLG00005005583
LOC127065015,ENSVVLG00005006408
LOC127065016,ENSVVLG00005006240
LOC127065017,ENSVVLG00005004562
LOC127065018,ENSVVLG00005008065
LOC127065019,ENSVVLG00005003920
LOC127065020,ENSVVLG00005005713
LOC127065022,ENSVVLG00005007641
LOC127065023,ENSVVLG00005009058
LOC127065024,ENSVVLG00005003383
LOC127065025,ENSVVLG00005009144
LOC127065026,ENSVVLG00005006195
LOC127065028,ENSVVLG00005002260
LOC127065029,ENSVVLG00005003739
LOC127065030,ENSVVLG00005009116
LOC127065032,ENSVVLG00005002827
LOC127065033,ENSVVLG00005003542
LOC127065035,ENSVVLG00005009121
LOC127065036,ENSVVLG00005007860
LOC127065037,ENSVVLG00005008706
LOC127065038,ENSVVLG00005007653
LOC127065039,ENSVVLG00005002597
LOC127065040,ENSVVLG00005004995
LOC127065041,ENSVVLG00005003134
LOC127065042,ENSVVLG00005002583
LOC127065043,ENSVVLG00005005317
LOC127065045,ENSVVLG00005007564
LOC127065047,ENSVVLG00005007277
LOC127065051,ENSVVLG00005007749
LOC127065052,ENSVVLG00005002283
LOC127065053,ENSVVLG00005008847
LOC127065056,ENSVVLG00005008882
LOC127065057,ENSVVLG00005003682
LOC127065058,ENSVVLG00005008752
LOC127065059,ENSVVLG00005008503
LOC127065060,ENSVVLG00005007083
LOC127065062,ENSVVLG00005007621
LOC127065063,ENSVVLG00005008685
LOC127065064,ENSVVLG00005007114
LOC127065065,ENSVVLG00005009033
LOC127065066,ENSVVLG00005008633
LOC127065069,ENSVVLG00005006557
LOC127065070,ENSVVLG00005005064
LOC127065071,ENSVVLG00005004419
LOC127065072,ENSVVLG00005006829
LOC127065073,ENSVVLG00005007325
LOC127065074,ENSVVLG00005005350
LOC127065075,ENSVVLG00005004286
LOC127065076,ENSVVLG00005005636
LOC127065077,ENSVVLG00005008679
LOC127065078,ENSVVLG00005008623
LOC127065079,ENSVVLG00005003782
LOC127065080,ENSVVLG00005005952
LOC127065081,ENSVVLG00005008329
LOC127065082,ENSVVLG00005008940
LOC127065085,ENSVVLG00005003187
LOC127065088,ENSVVLG00005004740
LOC127065089,ENSVVLG00005000957
LOC127065090,ENSVVLG00005005679
LOC127065091,ENSVVLG00005005140
LOC127065092,ENSVVLG00005006595
LOC127065093,ENSVVLG00005004632
LOC127065094,ENSVVLG00005004612
LOC127065095,ENSVVLG00005002810
LOC127065096,ENSVVLG00005006845
LOC127065098,ENSVVLG00005003761
LOC127065099,ENSVVLG00005007044
LOC127065101,ENSVVLG00005007717
LOC127065103,ENSVVLG00005003346
LOC127065104,ENSVVLG00005002293
LOC127065105,ENSVVLG00005007140
