gene_vv,symbol_vv,description_vv,genetype_vv,ntranscripts_vv,chromosome_vv,accession_vv,start_vv,stop_vv
LOC127067320,Prp8,pre-mRNA processing factor 8,PROTEIN_CODING,2,10,NC_066595.1,1290071,1298853
LOC127067322,Xpd,general transcription and DNA repair factor IIH helicase subunit XPD,PROTEIN_CODING,1,10,NC_066595.1,1298991,1302575
LOC127067329,mRpL19,mitochondrial ribosomal protein L19,PROTEIN_CODING,1,10,NC_066595.1,1335343,1336856
LOC127067330,Rab11,RAS oncogene family member Rab11,PROTEIN_CODING,3,10,NC_066595.1,1346389,1350540
LOC127067331,RpL35,Ribosomal protein L35,PROTEIN_CODING,1,10,NC_066595.1,1337053,1337973
LOC127067334,CLS,cardiolipin synthase,PROTEIN_CODING,2,1,NC_066586.1,6067614,6070232
LOC127067339,SmD1,small ribonucleoprotein particle protein SmD1,PROTEIN_CODING,1,10,NC_066595.1,5696544,5698134
LOC127067341,xmas,RRM_XMAS2 and SAC3_GANP domain-containing protein xmas,PROTEIN_CODING,1,10,NC_066595.1,1308059,1313485
LOC127067347,Tapdelta,Translocon-associated protein delta,PROTEIN_CODING,1,10,NC_066595.1,1314693,1315698
LOC127067366,Srrm1,Serine-arginine repetitive matrix 1,PROTEIN_CODING,5,10,NC_066595.1,7004340,7011926
LOC127067367,RpIIIC53,RNA polymerase III subunit C53,PROTEIN_CODING,1,10,NC_066595.1,7012105,7013927
LOC127067369,Mad1,Mitotic arrest-deficient 1,PROTEIN_CODING,3,10,NC_066595.1,20959,24172
LOC127067395,Ssadh,succinic semialdehyde dehydrogenase,PROTEIN_CODING,1,1,NC_066586.1,14720739,14723243
LOC127067396,RpL40,ribosomal protein L40,PROTEIN_CODING,1,11,NC_066596.1,3688214,3689458
LOC127067404,mRpS34,mitochondrial ribosomal protein S34,PROTEIN_CODING,2,11,NC_066596.1,7108182,7110012
LOC127067421,betaggt-II,geranylgeranyl transferase type-2 subunit beta,PROTEIN_CODING,5,11,NC_066596.1,4765366,4767629
LOC127067434,Dnmt3,DNA methyltransferase 3,PROTEIN_CODING,10,11,NC_066596.1,5643803,5728637
LOC127067437,Tdg,Thymine DNA glycosylase,PROTEIN_CODING,1,11,NC_066596.1,5661316,5737598
LOC127067438,Nmdar1,NMDA receptor 1,PROTEIN_CODING,6,11,NC_066596.1,5774195,5781282
LOC127067445,iPLA2-VIA,calcium-independent phospholipase A2 VIA,PROTEIN_CODING,1,11,NC_066596.1,6118051,6122077
LOC127067446,Sln,Silnoon,PROTEIN_CODING,1,11,NC_066596.1,5768886,5773394
LOC127067452,pix,ATP-binding cassette sub-family E member 1 pix,PROTEIN_CODING,2,11,NC_066596.1,5787337,5791265
LOC127067453,NUCB1,Nucleobindin 1,PROTEIN_CODING,3,11,NC_066596.1,5955835,5960369
LOC127067458,Shc,SHC-adaptor protein,PROTEIN_CODING,2,11,NC_066596.1,5751684,5755180
LOC127067459,Amph,amphiphysin,PROTEIN_CODING,6,11,NC_066596.1,5897397,5932172
LOC127067464,Galphaq,G protein alpha q subunit,PROTEIN_CODING,11,11,NC_066596.1,5860277,5889415
LOC127067466,Zip48C,Zinc/iron regulated transporter-related protein 48C,PROTEIN_CODING,3,11,NC_066596.1,6247476,6286915
LOC127067467,meng,meng-po,PROTEIN_CODING,2,11,NC_066596.1,6968194,6976220
LOC127067470,RfC4,replication factor C subunit RfC4,PROTEIN_CODING,2,11,NC_066596.1,5755641,5757366
LOC127067473,Baldspot,elongation of very long chain fatty acids protein baldspot,PROTEIN_CODING,3,11,NC_066596.1,6088157,6100405
LOC127067475,Hmt-1,ABC transporter ATP-binding protein/permease Hmt-1,PROTEIN_CODING,2,1,NC_066586.1,9250490,9254952
LOC127067487,Cnep1r2,CTD nuclear envelope phosphatase 1 regulatory subunit 2,PROTEIN_CODING,1,11,NC_066596.1,6111793,6114703
LOC127067491,Tet,tet methylcytosine dioxygenase-like,PROTEIN_CODING,9,11,NC_066596.1,4786517,4857865
LOC127067493,Ddr,discoidin domain-containing receptor 2,PROTEIN_CODING,6,11,NC_066596.1,5205977,5351501
LOC127067505,Pmp70,ATP binding cassette subfamily D member Pmp70,PROTEIN_CODING,1,11,NC_066596.1,3125790,3130168
LOC127067513,Nthl1,Nth-like DNA glycosylase 1,PROTEIN_CODING,1,11,NC_066596.1,3119394,3120713
LOC127067518,Sgt,small glutamine-rich tetratricopeptide containing protein,PROTEIN_CODING,4,11,NC_066596.1,3140955,3143019
LOC127067519,Rho1,ras-like GTP-binding protein Rho1,PROTEIN_CODING,6,11,NC_066596.1,3108250,3114774
LOC127067526,Alg13,Alg13 UDP-N-acetylglucosaminyltransferase subunit,PROTEIN_CODING,1,11,NC_066596.1,3105292,3107717
LOC127067527,mago,"mago, exon junction complex subunit",PROTEIN_CODING,1,11,NC_066596.1,3100446,3101257
LOC127067531,BRWD3,bromodomain and WD repeat-containing protein,PROTEIN_CODING,1,11,NC_066596.1,7307954,7318830
LOC127067532,SIDL,SIDL trafficking protein particle complex subunit 10,PROTEIN_CODING,1,11,NC_066596.1,7336538,7343985
LOC127067535,Kif19A,Kinesin family member 19A,PROTEIN_CODING,3,11,NC_066596.1,7253209,7261238
LOC127067537,hook,hook microtubule tethering protein,PROTEIN_CODING,1,11,NC_066596.1,7300980,7303498
LOC127067539,MYPT-75D,Myosin phosphatase targeting subunit 75D,PROTEIN_CODING,10,11,NC_066596.1,7267519,7278807
LOC127067540,SecCl,Secretory chloride channel,PROTEIN_CODING,1,11,NC_066596.1,7247857,7253090
LOC127067547,Elp6,Elongator complex protein 6,PROTEIN_CODING,1,11,NC_066596.1,7261526,7263169
LOC127067550,mRpS7,mitochondrial ribosomal protein S7,PROTEIN_CODING,1,11,NC_066596.1,7241331,7243030
LOC127067553,EMC8-9,ER membrane protein complex subunit 8/9,PROTEIN_CODING,1,11,NC_066596.1,7293940,7295155
LOC127067555,Csl4,exosome component 1 Csl4,PROTEIN_CODING,1,11,NC_066596.1,7238950,7240293
LOC127067559,Nop10,Nop10 ribonucleoprotein,PROTEIN_CODING,1,11,NC_066596.1,7345058,7346936
LOC127067571,dnr1,defense repressor 1,PROTEIN_CODING,2,11,NC_066596.1,4104292,4216244
LOC127067572,LTV1,LTV1 ribosome biogenesis factor,PROTEIN_CODING,1,11,NC_066596.1,4219505,4221713
LOC127067574,Phm,Peptidylglycine-alpha-hydroxylating monooxygenase,PROTEIN_CODING,1,11,NC_066596.1,4225433,4228164
LOC127067577,Arl6,ADP ribosylation factor-like 6,PROTEIN_CODING,2,11,NC_066596.1,4221787,4225477
LOC127067579,Vha13,V-type proton ATPase subunit Vha13,PROTEIN_CODING,1,11,NC_066596.1,4216842,4218632
LOC127067584,Atet,ABC transporter expressed in trachea,PROTEIN_CODING,1,11,NC_066596.1,3290900,3307496
LOC127067587,sdk,sidekick cell adhesion molecule,PROTEIN_CODING,6,1,NC_066586.1,8928109,8956153
LOC127067590,Rsph9,Radial spoke head protein 9,PROTEIN_CODING,2,11,NC_066596.1,3230413,3246492
LOC127067599,Top2,topoisomerase 2,PROTEIN_CODING,2,11,NC_066596.1,1448108,1456159
LOC127067604,ValRS-m,"Valyl-tRNA synthetase, mitochondrial",PROTEIN_CODING,1,11,NC_066596.1,1466830,1471635
LOC127067605,Tlk,Tousled-like kinase,PROTEIN_CODING,21,11,NC_066596.1,1390321,1446039
LOC127067608,fmt,phosphatase 6 regulatory subunit 1-like protein fmt,PROTEIN_CODING,8,11,NC_066596.1,1460621,1467016
LOC127067610,conu,Rho GTPase-activating protein conundrum,PROTEIN_CODING,3,11,NC_066596.1,1473135,1478536
LOC127067614,Gabat,4-aminobutyrate aminotransferase,PROTEIN_CODING,1,11,NC_066596.1,1371611,1376578
LOC127067622,Rab7,RAS oncogene family member Rab7,PROTEIN_CODING,3,11,NC_066596.1,1456635,1460515
LOC127067630,Nedd4,E3 ubiquitin-protein ligase Nedd4,PROTEIN_CODING,6,11,NC_066596.1,656942,667230
LOC127067632,Sema1a,semaphorin 1a,PROTEIN_CODING,2,11,NC_066596.1,742290,1020231
LOC127067633,otd2,homeotic protein ocelliless,PROTEIN_CODING,2,11,NC_066596.1,1090825,1107405
LOC127067637,skd,mediator complex subunit skuld,PROTEIN_CODING,4,11,NC_066596.1,401555,420846
LOC127067641,Gprk1,G protein-coupled receptor kinase 1,PROTEIN_CODING,3,11,NC_066596.1,387387,392984
LOC127067643,Su(H),recombining binding protein suppressor of hairless,PROTEIN_CODING,4,11,NC_066596.1,351523,357266
LOC127067646,C1GalTA,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,PROTEIN_CODING,1,11,NC_066596.1,419701,426296
LOC127067661,Prosalpha4,proteasome alpha4 subunit,PROTEIN_CODING,1,11,NC_066596.1,5562193,5563658
LOC127067665,Nckx30C,solute carrier family 24 member Nckx30C,PROTEIN_CODING,6,11,NC_066596.1,2414441,2481201
LOC127067668,DMAP1,DNA methyltransferase 1 associated protein 1,PROTEIN_CODING,1,11,NC_066596.1,2412150,2414722
LOC127067678,MagR,Iron-sulfur cluster assembly 1 homolog MagR,PROTEIN_CODING,2,11,NC_066596.1,4746059,4747694
LOC127067684,FucTC,"alpha-(1,3)-fucosyltransferase C",PROTEIN_CODING,7,11,NC_066596.1,2024942,2130591
LOC127067686,anne,anne boleyn,PROTEIN_CODING,3,1,NC_066586.1,13109649,13128316
LOC127067687,NitFhit,NFT-1 protein,PROTEIN_CODING,2,11,NC_066596.1,2020332,2022488
LOC127067689,EMC3,ER membrane protein complex subunit 3,PROTEIN_CODING,1,11,NC_066596.1,2019420,2020827
LOC127067690,mRpL22,mitochondrial ribosomal protein L22,PROTEIN_CODING,1,11,NC_066596.1,2023479,2024752
LOC127067691,RpL39,ribosomal protein L39,PROTEIN_CODING,1,11,NC_066596.1,2022600,2023340
LOC127067699,barc,RRM1_TatSF1_like and RRM2_TatSF1_like domain-containing protein barc,PROTEIN_CODING,2,11,NC_066596.1,4310461,4348680
LOC127067701,Nmt,N-myristoyl transferase,PROTEIN_CODING,2,1,NC_066586.1,13148076,13159367
LOC127067702,vg,vestigial,PROTEIN_CODING,5,11,NC_066596.1,4348821,4404930
LOC127067711,amon,amontillado,PROTEIN_CODING,1,11,NC_066596.1,2627431,2659817
LOC127067713,LOC127067713,inactive hyaluronidase B,PROTEIN_CODING,2,1,NC_066586.1,13150366,13156532
LOC127067720,Taf2,TATA-box binding protein associated factor 2,PROTEIN_CODING,4,11,NC_066596.1,7192119,7197842
LOC127067722,Mcm2,DNA replication licensing factor Mcm2,PROTEIN_CODING,4,11,NC_066596.1,7172180,7177817
LOC127067726,UQCR-C2,Ubiquinol-cytochrome c reductase core protein 2,PROTEIN_CODING,1,11,NC_066596.1,7149335,7152144
LOC127067728,Daao1,D-amino acid oxidase 1,PROTEIN_CODING,1,11,NC_066596.1,7157845,7159722
LOC127067734,Taf4,TBP-associated factor 4,PROTEIN_CODING,6,11,NC_066596.1,5497496,5503077
LOC127067735,Cbp80,nuclear cap-binding protein subunit 1,PROTEIN_CODING,1,11,NC_066596.1,5512821,5515847
LOC127067741,Calr,calreticulin,PROTEIN_CODING,1,11,NC_066596.1,5533436,5537334
LOC127067745,kune,kune-kune,PROTEIN_CODING,1,11,NC_066596.1,5555353,5557225
LOC127067749,rdgB,retinal degeneration B,PROTEIN_CODING,9,11,NC_066596.1,1824044,1840430
LOC127067754,Rrp40,exosome complex component Rrp40,PROTEIN_CODING,1,11,NC_066596.1,1850994,1852327
LOC127067762,shv,DnaJ homolog shv,PROTEIN_CODING,1,1,NC_066586.1,14233786,14235638
LOC127067763,GCS2alpha,glucosidase 2 subunit alpha,PROTEIN_CODING,1,11,NC_066596.1,2583031,2587980
LOC127067767,mus201,rad2 superfamily protein mus201,PROTEIN_CODING,1,11,NC_066596.1,345132,350604
LOC127067778,Rrp1,Recombination repair protein 1,PROTEIN_CODING,1,11,NC_066596.1,2928216,2930711
LOC127067779,ZnT86D,zinc transporter 86D,PROTEIN_CODING,1,11,NC_066596.1,2923933,2928073
LOC127067783,Hr83,Hormone receptor 83,PROTEIN_CODING,1,11,NC_066596.1,1479886,1484160
LOC127067794,RanBPM,Ran-binding protein M,PROTEIN_CODING,7,11,NC_066596.1,1898111,1911686
LOC127067797,par-6,partitioning defective protein 6,PROTEIN_CODING,1,11,NC_066596.1,1885520,1889991
LOC127067802,Herp,Homocysteine-induced endoplasmic reticulum protein,PROTEIN_CODING,1,1,NC_066586.1,15122454,15123982
LOC127067803,RnrL,Ribonucleoside diphosphate reductase large subunit,PROTEIN_CODING,4,11,NC_066596.1,1921742,1926203
LOC127067804,GlnRS,Glutaminyl-tRNA synthetase,PROTEIN_CODING,2,11,NC_066596.1,1926244,1930116
LOC127067806,nonC,serine/threonine-protein kinase Smg1,PROTEIN_CODING,2,11,NC_066596.1,7123724,7138367
LOC127067813,RhoGAP71E,Rho GTPase activating protein at 71E,PROTEIN_CODING,3,11,NC_066596.1,1968926,1974597
LOC127067815,TTLL1B,Tubulin tyrosine ligase-like 1B,PROTEIN_CODING,1,11,NC_066596.1,1976574,1979095
LOC127067816,mRpL23,mitochondrial ribosomal protein L23,PROTEIN_CODING,1,11,NC_066596.1,1974680,1976394
LOC127067820,hrm,hermes,PROTEIN_CODING,1,11,NC_066596.1,641447,648335
LOC127067823,IscU,Iron-sulfur cluster assembly enzyme,PROTEIN_CODING,2,11,NC_066596.1,650917,652496
LOC127067825,Pus7,pseudouridine synthase 7,PROTEIN_CODING,1,11,NC_066596.1,4285326,4288631
LOC127067840,GABA-B-R3,gamma-aminobutyric acid type B receptor subunit 3,PROTEIN_CODING,3,11,NC_066596.1,3632413,3673245
LOC127067847,Top3alpha,topoisomerase 3-alpha,PROTEIN_CODING,1,11,NC_066596.1,7230497,7235267
LOC127067849,Rpt3,26S proteasome regulatory subunit Rpt3,PROTEIN_CODING,1,11,NC_066596.1,7236291,7238344
LOC127067866,Galphas,G protein alpha s subunit,PROTEIN_CODING,4,1,NC_066586.1,9198330,9226131
LOC127067873,Vps16A,vacuolar protein sorting 16,PROTEIN_CODING,2,12,NC_066597.1,4158938,4163146
LOC127067877,Ufc1,Ubiquitin-fold modifier conjugating enzyme 1,PROTEIN_CODING,2,12,NC_066597.1,1036152,1037181
LOC127067881,Klc,kinesin light chain,PROTEIN_CODING,9,12,NC_066597.1,4948427,4965675
LOC127067883,nAChRalpha2,nicotinic acetylcholine receptor alpha2,PROTEIN_CODING,2,12,NC_066597.1,4997450,5001955
LOC127067884,Cds,CDP-diacylglycerol synthase,PROTEIN_CODING,3,12,NC_066597.1,4941904,4947187
LOC127067885,eIF5,eukaryotic translation initiation factor 5,PROTEIN_CODING,1,12,NC_066597.1,4966230,4968454
LOC127067889,Vha36-1,V-type proton ATPase subunit Vha36-1,PROTEIN_CODING,1,12,NC_066597.1,4985803,4987936
LOC127067892,Rpb8,"DNA-directed RNA polymerases I, II, and III subunit Rpb8",PROTEIN_CODING,2,12,NC_066597.1,4872469,4939429
LOC127067898,Usp1,ubiquitin specific protease 1,PROTEIN_CODING,5,12,NC_066597.1,4772324,4775541
LOC127067900,metro,membrane palmitoylated protein 7-like protein metro,PROTEIN_CODING,4,12,NC_066597.1,4398060,4409288
LOC127067904,Cow,Proteoglycan Cow,PROTEIN_CODING,1,12,NC_066597.1,4253113,4394546
LOC127067905,Cdk8,cyclin-dependent kinase 8,PROTEIN_CODING,6,12,NC_066597.1,4798818,4803325
LOC127067906,Fdh,alcohol dehydrogenase class-3 Fdh,PROTEIN_CODING,1,12,NC_066597.1,4394656,4396722
LOC127067910,Nurf-38,Inorganic pyrophosphatase Nurf-38,PROTEIN_CODING,2,12,NC_066597.1,4248078,4251405
LOC127067918,CYLD,ubiquitin carboxyl-terminal hydrolase CYLD,PROTEIN_CODING,1,12,NC_066597.1,1355421,1359915
LOC127067925,Picot,putative inorganic phosphate cotransporter protein picot,PROTEIN_CODING,4,12,NC_066597.1,1487284,1502933
LOC127067926,GatA,"glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",PROTEIN_CODING,1,12,NC_066597.1,1352920,1355267
LOC127067927,ND-51,NADH dehydrogenase (ubiquinone) 51 kDa subunit,PROTEIN_CODING,3,12,NC_066597.1,1442198,1445135
LOC127067929,Cdk5,Cyclin-dependent kinase 5,PROTEIN_CODING,2,12,NC_066597.1,1506599,1508995
LOC127067933,Coa8,Cytochrome c oxidase assembly factor 8,PROTEIN_CODING,1,12,NC_066597.1,1339635,1340696
LOC127067943,Marf1,meiosis regulator and mRNA stability factor 1-like protein,PROTEIN_CODING,5,1,NC_066586.1,10786657,10798139
LOC127067950,spri,sprint,PROTEIN_CODING,6,12,NC_066597.1,5316506,5455071
LOC127067951,nAChRalpha1,nicotinic acetylcholine receptor alpha1,PROTEIN_CODING,1,12,NC_066597.1,5016642,5148232
LOC127067952,mldr,mitochondrial ribonuclease P catalytic subunit,PROTEIN_CODING,1,12,NC_066597.1,5313822,5316013
LOC127067970,KAT2A,K(lysine) acetyltransferase 2A,PROTEIN_CODING,1,12,NC_066597.1,2549417,2553301
LOC127067973,Hsp60A,Heat shock protein 60A,PROTEIN_CODING,1,12,NC_066597.1,2502472,2505971
LOC127067976,Dbp80,putative ATP-dependent RNA helicase Dbp80,PROTEIN_CODING,3,12,NC_066597.1,2506026,2509207
LOC127067979,Tcs4,Threonyl-carbamoyl synthesis 4,PROTEIN_CODING,2,12,NC_066597.1,2519068,2521179
LOC127067982,Tpi,triose phosphate isomerase,PROTEIN_CODING,1,12,NC_066597.1,2495903,2497621
LOC127067985,mRpL20,mitochondrial ribosomal protein L20,PROTEIN_CODING,1,12,NC_066597.1,2497611,2498389
LOC127067988,Ret,Ret oncogene,PROTEIN_CODING,3,12,NC_066597.1,2379684,2426561
LOC127067989,Nost,Nostrin,PROTEIN_CODING,2,12,NC_066597.1,2467153,2478557
LOC127067990,Rrp6,exosome component Rrp6,PROTEIN_CODING,1,12,NC_066597.1,2461277,2465000
LOC127067992,hgo,"homogentisate 1,2-dioxygenase",PROTEIN_CODING,4,12,NC_066597.1,2427849,2435386
LOC127068004,Rbp6,RNA-binding protein 6,PROTEIN_CODING,10,1,NC_066586.1,9908981,10503240
LOC127068012,Rfk,Riboflavin kinase,PROTEIN_CODING,1,12,NC_066597.1,2663327,2664572
LOC127068013,dom,domino,PROTEIN_CODING,7,12,NC_066597.1,809976,833291
LOC127068018,Mybbp1A,MYB binding protein 1a,PROTEIN_CODING,1,12,NC_066597.1,846497,851327
LOC127068019,eys,eyes shut,PROTEIN_CODING,2,12,NC_066597.1,556254,562443
LOC127068021,ftz-f1,ftz transcription factor 1,PROTEIN_CODING,2,12,NC_066597.1,859250,870004
LOC127068025,csul,protein arginine N-methyltransferase 5,PROTEIN_CODING,1,12,NC_066597.1,851507,854729
LOC127068040,Traf4,TNF receptor associated factor 4,PROTEIN_CODING,4,12,NC_066597.1,756661,784044
LOC127068044,Mcad,Medium-chain acyl-CoA dehydrogenase,PROTEIN_CODING,1,12,NC_066597.1,893522,896395
LOC127068049,slim,scruin like at the midline,PROTEIN_CODING,2,12,NC_066597.1,787909,790794
LOC127068051,Septin1,Septin 1,PROTEIN_CODING,1,12,NC_066597.1,582813,585767
LOC127068052,THG,tRNA-histidine guanylyltransferase,PROTEIN_CODING,2,12,NC_066597.1,978660,980934
LOC127068053,VhaAC39-1,V-type proton ATPase subunit VhaAC39-1,PROTEIN_CODING,1,12,NC_066597.1,976720,978655
LOC127068054,TBCC,Tubulin-binding cofactor C,PROTEIN_CODING,1,12,NC_066597.1,973848,976271
LOC127068056,Rad51D,Rad51 recombinase D,PROTEIN_CODING,1,12,NC_066597.1,808268,809504
LOC127068062,PCNA,Proliferating cell nuclear antigen,PROTEIN_CODING,1,12,NC_066597.1,900899,902960
LOC127068068,Psf2,DNA replication complex GINS protein PSF2-like protein,PROTEIN_CODING,1,12,NC_066597.1,755122,756599
LOC127068069,ppl,pumpless,PROTEIN_CODING,1,12,NC_066597.1,854878,856558
LOC127068074,Phf5a,PHD finger protein 5a,PROTEIN_CODING,1,12,NC_066597.1,841164,841908
LOC127068075,ATPsynG,"ATP synthase, subunit G",PROTEIN_CODING,2,12,NC_066597.1,986324,987289
LOC127068078,RtcB,RtcB RNA ligase,PROTEIN_CODING,1,12,NC_066597.1,4051428,4053927
LOC127068083,inc,BTB/POZ domain-containing protein inc,PROTEIN_CODING,2,1,NC_066586.1,10778950,10783714
LOC127068088,Ssrp,structure specific recognition protein,PROTEIN_CODING,3,12,NC_066597.1,499653,503152
LOC127068093,Nubpl,"NUBP iron-sulfur cluster assembly factor, mitochondrial",PROTEIN_CODING,1,12,NC_066597.1,490816,492444
LOC127068102,ssh,Protein phosphatase Slingshot,PROTEIN_CODING,8,12,NC_066597.1,393222,460266
LOC127068103,Snrk,SNF related kinase,PROTEIN_CODING,6,12,NC_066597.1,360783,372591
LOC127068104,Nhe2,Na[+]/H[+] hydrogen exchanger 2,PROTEIN_CODING,2,12,NC_066597.1,316620,327050
LOC127068107,l(3)72Dn,UTP4 small subunit processome component l(3)72Dn,PROTEIN_CODING,1,12,NC_066597.1,300302,303051
LOC127068108,Not3,CCR4-associated factor Not3,PROTEIN_CODING,1,12,NC_066597.1,473509,477933
LOC127068111,l(2)k01209,lethal (2) k01209,PROTEIN_CODING,3,12,NC_066597.1,309475,313544
LOC127068112,Src64B,Tyrosine-protein kinase Src64B,PROTEIN_CODING,3,12,NC_066597.1,177239,202130
LOC127068114,gb,solute carrier family 7 member genderblind,PROTEIN_CODING,1,12,NC_066597.1,372659,376753
LOC127068121,GlcAT-I,Glucuronyltransferase I,PROTEIN_CODING,4,12,NC_066597.1,51801,55098
LOC127068126,Cyt-c1,Cytochrome c1,PROTEIN_CODING,1,12,NC_066597.1,170825,173829
LOC127068133,Rab10,RAS oncogene family member Rab10,PROTEIN_CODING,1,12,NC_066597.1,307383,309201
LOC127068134,tko,technical knockout,PROTEIN_CODING,2,12,NC_066597.1,136026,139403
LOC127068149,Sarm,sterile alpha and armadillo motif,PROTEIN_CODING,11,12,NC_066597.1,1838788,1921787
LOC127068150,BicC,protein bicaudal C,PROTEIN_CODING,6,12,NC_066597.1,2129940,2168283
LOC127068152,Raf,Raf oncogene,PROTEIN_CODING,1,12,NC_066597.1,1539992,1548900
LOC127068160,mtm,myotubularin,PROTEIN_CODING,3,12,NC_066597.1,1591129,1596455
LOC127068164,Prp19,pre-mRNA processing factor 19,PROTEIN_CODING,1,12,NC_066597.1,1709854,1712555
LOC127068166,Dap160,dynamin associated protein 160,PROTEIN_CODING,11,1,NC_066586.1,12462578,12479827
LOC127068167,nmo,serine/threonine-protein kinase nemo,PROTEIN_CODING,3,12,NC_066597.1,1721965,1831270
LOC127068170,bsk,mitogen-activated protein kinase dJNK,PROTEIN_CODING,24,12,NC_066597.1,1958829,2124793
LOC127068171,nmd,no mitochondrial derivative,PROTEIN_CODING,1,12,NC_066597.1,2191506,2194706
LOC127068173,thoc6,THO complex 6,PROTEIN_CODING,1,12,NC_066597.1,1657348,1658831
LOC127068175,rl,Mitogen-activated protein kinase rl,PROTEIN_CODING,1,12,NC_066597.1,1947914,1958578
LOC127068183,Rpb11,DNA-directed RNA polymerase II subunit RPB11,PROTEIN_CODING,1,12,NC_066597.1,1946642,1947695
LOC127068221,alpha-Spec,alpha spectrin,PROTEIN_CODING,2,12,NC_066597.1,4042096,4051231
LOC127068223,Nup214,nuclear pore complex protein Nup214,PROTEIN_CODING,2,12,NC_066597.1,3742213,3747860
LOC127068227,drosha,ribonuclease 3 drosha,PROTEIN_CODING,1,12,NC_066597.1,3798576,3803842
LOC127068229,RhoGAP93B,MyTH4 and RhoGAP_KIAA1688 domain-containing protein RhoGAP93B,PROTEIN_CODING,5,12,NC_066597.1,2817502,2827218
LOC127068231,SREBP,Sterol regulatory element binding protein,PROTEIN_CODING,1,12,NC_066597.1,3319854,3324096
LOC127068236,heph,polypyrimidine tract-binding protein 1 heph,PROTEIN_CODING,22,12,NC_066597.1,2876220,3266244
LOC127068240,Ipk1,Inositol phosphate kinase 1,PROTEIN_CODING,7,12,NC_066597.1,3324548,3462693
LOC127068243,Eip74EF,Ecdysone-induced protein E74,PROTEIN_CODING,5,12,NC_066597.1,3825314,4041693
LOC127068254,Trmt6,tRNA methyltransferase 6 non-catalytic subunit,PROTEIN_CODING,1,12,NC_066597.1,2800588,2802953
LOC127068257,eIF2Bgamma,eukaryotic translation initiation factor 2B subunit gamma,PROTEIN_CODING,3,12,NC_066597.1,2802975,2805377
LOC127068265,Rab9,RAS oncogene family member Rab9,PROTEIN_CODING,7,12,NC_066597.1,3806765,3811804
LOC127068272,Ctr1A,Copper transporter 1A,PROTEIN_CODING,1,12,NC_066597.1,3811351,3818912
LOC127068275,RpL37a,ribosomal protein L37a,PROTEIN_CODING,1,12,NC_066597.1,2805526,2806742
LOC127068281,wts,serine/threonine-protein kinase warts,PROTEIN_CODING,2,12,NC_066597.1,4234178,4241502
LOC127068307,Myo31DF,Unconventional myosin ID,PROTEIN_CODING,1,13,NC_066598.1,3334239,3341403
LOC127068308,Nup107,nuclear pore complex protein Nup107,PROTEIN_CODING,1,13,NC_066598.1,3361338,3365216
LOC127068315,trp,transient receptor potential,PROTEIN_CODING,5,1,NC_066586.1,5683211,5689725
LOC127068321,RpA-70,replication protein A 70,PROTEIN_CODING,1,13,NC_066598.1,3325630,3329178
LOC127068330,CycY,cyclin Y,PROTEIN_CODING,1,13,NC_066598.1,3314760,3322318
LOC127068338,Bet5,blocked early in transport 5,PROTEIN_CODING,1,13,NC_066598.1,3029511,3084185
LOC127068345,Utx,Utx histone demethylase,PROTEIN_CODING,3,13,NC_066598.1,2020228,2072275
LOC127068347,Adcy8,adenylyl cyclase 78C,PROTEIN_CODING,5,13,NC_066598.1,2010127,2018908
LOC127068351,Rab32,RAS oncogene family member Rab32,PROTEIN_CODING,5,13,NC_066598.1,2099923,2114024
LOC127068352,Nhe3,Na[+]/H[+] hydrogen exchanger 3,PROTEIN_CODING,14,13,NC_066598.1,2081417,2091598
LOC127068355,pAbp,poly(A) binding protein,PROTEIN_CODING,1,13,NC_066598.1,1997835,2000993
LOC127068356,bw,brown,PROTEIN_CODING,3,13,NC_066598.1,2118638,2122479
LOC127068362,veli,L27 and PDZ_signaling domain-containing protein veli,PROTEIN_CODING,1,13,NC_066598.1,2094746,2096049
LOC127068367,fab1,fab1 kinase,PROTEIN_CODING,3,13,NC_066598.1,5013602,5024495
LOC127068369,sim,single-minded,PROTEIN_CODING,5,13,NC_066598.1,4867971,4903291
LOC127068372,Pgm1,phosphoglucose mutase 1,PROTEIN_CODING,2,13,NC_066598.1,4833579,4842497
LOC127068374,Sec6,Exocyst complex component Sec6,PROTEIN_CODING,1,13,NC_066598.1,5024980,5028691
LOC127068376,Ctu1,Cytosolic thiouridylase subunit 1,PROTEIN_CODING,1,13,NC_066598.1,4826134,4827798
LOC127068387,Sf3b5,splicing factor 3B subunit 5,PROTEIN_CODING,3,13,NC_066598.1,4827726,4828620
LOC127068398,LIMK1,LIM domain kinase 1,PROTEIN_CODING,3,13,NC_066598.1,1459077,1470432
LOC127068403,kuz,zinc-dependent metalloprotease kuz,PROTEIN_CODING,1,13,NC_066598.1,607747,671393
LOC127068405,bi,T-box transcription factor bifid,PROTEIN_CODING,5,13,NC_066598.1,1581496,1698679
LOC127068406,Mcm6,minichromosome maintenance 6,PROTEIN_CODING,1,13,NC_066598.1,884726,888359
LOC127068408,Afg3l2,AFG3 like matrix AAA peptidase subunit 2,PROTEIN_CODING,1,13,NC_066598.1,1020080,1023976
LOC127068410,E23,Early gene at 23,PROTEIN_CODING,3,13,NC_066598.1,772716,814593
