gene_pd,symbol_pd,description_pd,genetype_pd,ntranscripts_pd
LOC107073960,tup,LIM1_Isl and LIM2_Isl domain-containing protein tup,PROTEIN_CODING,3
LOC107073961,ND-B15,NADH dehydrogenase (ubiquinone) B15 subunit,PROTEIN_CODING,1
LOC107073963,schlank,ceramide synthase schlank,PROTEIN_CODING,1
LOC107073965,CaMKI,Calcium/calmodulin-dependent protein kinase I,PROTEIN_CODING,4
LOC107073968,IKKepsilon,I-kappaB kinase epsilon,PROTEIN_CODING,1
LOC107073973,adp,adipose,PROTEIN_CODING,2
LOC107073974,BBS5,Bardet-Biedl syndrome 5 protein,PROTEIN_CODING,2
LOC107073983,smid,nuclear valosin-containing protein-like smid,PROTEIN_CODING,2
LOC107073987,Dgk,diacyl glycerol kinase 1,PROTEIN_CODING,3
LOC107073988,Rrp5,Ribosomal RNA Processing 5,PROTEIN_CODING,1
LOC107073989,Uch,Ubiquitin carboxyl-terminal hydrolase,PROTEIN_CODING,1
LOC107073990,Nsun5,Nop2/Sun-like domain containing protein 5,PROTEIN_CODING,1
LOC107073993,CstF50,cleavage stimulation factor subunit 1 Cst50,PROTEIN_CODING,1
LOC107073994,bwa,alkaline ceramidase,PROTEIN_CODING,2
LOC107073996,SmD2,small ribonucleoprotein particle protein SmD2,PROTEIN_CODING,1
LOC107074000,hbn,homeobrain,PROTEIN_CODING,1
LOC107074005,Ras85D,ras-like protein 1,PROTEIN_CODING,1
LOC107074006,SH3PX1,sorting nexin 33-like protein SH3PX1,PROTEIN_CODING,2
LOC107074008,l(1)10Bb,BUD31-like protein,PROTEIN_CODING,1
LOC107074014,RpS6,ribosomal protein S6,PROTEIN_CODING,1
LOC107074015,SsRbeta,signal sequence receptor beta,PROTEIN_CODING,1
LOC107074017,Cdc37,cell division cycle protein 37,PROTEIN_CODING,1
LOC107074019,Rpp20,ribonuclease P protein subunit p20,PROTEIN_CODING,1
LOC107074040,kl-2,"dynein heavy chain 2, axonemal kl-2",PROTEIN_CODING,1
LOC107074042,nAChRb2,nicotinic acetylcholine receptor beta2 subunit,PROTEIN_CODING,1
LOC107074056,Fdx1,Ferredoxin 1,PROTEIN_CODING,1
LOC107074057,Trm7-32,tRNA methyltransferase 7-32,PROTEIN_CODING,1
LOC107074060,nAChRa9,nicotinic acetylcholine receptor alpha9 subunit,PROTEIN_CODING,1
LOC107074067,Wnk,Wnk kinase,PROTEIN_CODING,11
LOC107074072,DNApol-epsilon58,DNA polymerase epsilon subunit 2,PROTEIN_CODING,1
LOC107074073,Hph,HIF prolyl hydroxylase,PROTEIN_CODING,3
LOC107074074,RpS2,ribosomal protein S2,PROTEIN_CODING,1
LOC107074075,Zpr1,zinc finger protein Zpr1,PROTEIN_CODING,1
LOC107074082,l(2)37Cg,RNA polymerases I and III subunit AC2 l(2)37Cg,PROTEIN_CODING,1
LOC107074086,kl-3,"dynein heavy chain 8, axonemal kl-3",PROTEIN_CODING,1
LOC107074089,Tif-IA,RNA polymerase I-specific transcription initiation factor RRN3 homolog Tif-IA,PROTEIN_CODING,1
LOC107074094,Uxt,Uxt prefoldin-like subunit,PROTEIN_CODING,1
LOC107074099,DNApol-epsilon255,DNA polymerase epsilon catalytic subunit 1,PROTEIN_CODING,2
LOC107074105,ATPsynB,"ATP synthase subunit b, mitochondrial",PROTEIN_CODING,2
LOC107074110,Shal,potassium voltage-gated channel protein Shal,PROTEIN_CODING,11
LOC107074111,Pi3K21B,phosphatidylinositol 3-kinase regulatory subunit alpha-like,PROTEIN_CODING,7
LOC107074112,Kr-h2,Krueppel homolog 2,PROTEIN_CODING,1
LOC107074117,Mlc2,myosin light chain 2,PROTEIN_CODING,1
LOC107074122,Smox,Smad on X,PROTEIN_CODING,2
LOC107074125,RpS3,ribosomal protein S3,PROTEIN_CODING,1
LOC107074132,vermilion,"Tryptophan 2,3-dioxygenase vermilion",PROTEIN_CODING,1
LOC107074139,gish,casein kinase I gish,PROTEIN_CODING,17
LOC107074144,Trpm,"transient receptor potential cation channel, subfamily M",PROTEIN_CODING,7
LOC107074151,Arfip,ADP ribosylation factor interacting protein arfaptin,PROTEIN_CODING,1
LOC107074153,Mettl3,methyltransferase like 3,PROTEIN_CODING,3
LOC107074154,Srp54k,signal recognition particle 54k,PROTEIN_CODING,1
LOC107074158,mRpL32,mitochondrial ribosomal protein L32,PROTEIN_CODING,1
LOC107074165,Rpn1,ribophorin I,PROTEIN_CODING,1
LOC107074166,sta,stubarista 40S ribosomal protein SA,PROTEIN_CODING,1
LOC107074172,pug,"pug C-1-tetrahydrofolate synthase, cytoplasmic",PROTEIN_CODING,1
LOC107074178,Fancm,FA complementation group M,PROTEIN_CODING,4
LOC107074180,mEFG1,mitochondrial translation elongation factor G 1,PROTEIN_CODING,1
LOC107074183,Tgs1,Trimethylguanosine synthase 1,PROTEIN_CODING,1
LOC107074186,Klp64D,kinesin-like protein 64D,PROTEIN_CODING,1
LOC107074190,dia,diaphanous related formin 1,PROTEIN_CODING,7
LOC107074195,SamDC,S-adenosylmethionine decarboxylase,PROTEIN_CODING,2
LOC107074198,Ttc30,tetratricopeptide repeat domain 30,PROTEIN_CODING,4
LOC107074203,Spred,Sprouty-related protein with EVH-1 domain,PROTEIN_CODING,3
LOC107074208,ox,ubiquinol-cytochrome C reductase complex subunit oxen,PROTEIN_CODING,1
LOC107074210,SerRS,Seryl-tRNA synthetase,PROTEIN_CODING,1
LOC107074211,Tango4,transport and golgi organization 4,PROTEIN_CODING,2
LOC107074212,TBCB,tubulin-binding cofactor B,PROTEIN_CODING,1
LOC107074213,HisCl1,Histamine-gated chloride channel subunit 1,PROTEIN_CODING,2
LOC107074217,Rhp,rhophilin,PROTEIN_CODING,3
LOC107074223,mrn,general transcription factor IIH subunit 4 marionette,PROTEIN_CODING,3
LOC107074237,Msx,homeobox protein H17,PROTEIN_CODING,1
LOC107074247,Nop60B,dyskerin pseudouridine synthase 1 Nop60B,PROTEIN_CODING,1
LOC107074250,SmF,small ribonucleoprotein particle protein SmF,PROTEIN_CODING,1
LOC107074258,Nle,notchless,PROTEIN_CODING,2
LOC107074260,dbe,KRR1 small subunit processome component homolog dbe,PROTEIN_CODING,1
LOC107074270,Sesn,Sestrin,PROTEIN_CODING,2
LOC107074279,Fkbp39,FK506-binding protein 39kD,PROTEIN_CODING,1
LOC107074281,APC7,anaphase-promoting complex subunit 7,PROTEIN_CODING,1
LOC107074285,rempA,intraflagellar transport protein rempA,PROTEIN_CODING,1
LOC107074287,Prps,phosphoribosyl pyrophosphate synthetase,PROTEIN_CODING,5
LOC107074296,BORCS5,BLOC-1 related complex subunit 5,PROTEIN_CODING,1
LOC107074300,Lmpt,Limpet,PROTEIN_CODING,12
LOC107074301,Ubc4,ubiquitin conjugating enzyme 4,PROTEIN_CODING,1
LOC107074302,RpIIIC53,RNA polymerase III subunit C53,PROTEIN_CODING,2
LOC107074304,Srrm1,Serine-arginine repetitive matrix 1,PROTEIN_CODING,5
LOC107074311,trio,trio Rho guanine nucleotide exchange factor,PROTEIN_CODING,1
LOC107074315,HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",PROTEIN_CODING,12
LOC107074316,Rfwd3,ring finger and WD repeat domain 3,PROTEIN_CODING,1
LOC107074317,Caper,RNA-binding protein 39-like protein Caper,PROTEIN_CODING,4
LOC107074326,Spase25,Signal peptidase complex subunit Spase25,PROTEIN_CODING,1
LOC107074327,SMC3,structural maintenance of chromosomes 3,PROTEIN_CODING,1
LOC107074328,mRpL37,mitochondrial ribosomal protein L37,PROTEIN_CODING,2
LOC107074333,RpII33,RNA polymerase III subunit RpII33,PROTEIN_CODING,1
LOC107074335,Hecw,Hecw ubiquitin protein ligase,PROTEIN_CODING,1
LOC107074337,Urm1,Ubiquitin-related modifier 1,PROTEIN_CODING,2
LOC107074338,Roc2,Regulator of cullins 2,PROTEIN_CODING,1
LOC107074342,ATPsynE,"ATP synthase, subunit E",PROTEIN_CODING,1
LOC107074343,Atu,Another transcription unit,PROTEIN_CODING,1
LOC107074346,Ube4B,Ubiquitination factor E4B,PROTEIN_CODING,1
LOC107074354,Blimp-1,PR domain zinc finger protein 1,PROTEIN_CODING,1
LOC107074361,Atg1,serine/threonine-protein kinase unc-51-like protein Atg1,PROTEIN_CODING,5
LOC107074363,DENR,density-regulated protein,PROTEIN_CODING,3
LOC107074365,crcp,CGRP receptor component,PROTEIN_CODING,2
LOC107074366,dysc,dyschronic,PROTEIN_CODING,1
LOC107074370,Set,NAP domain-containing protein SET,PROTEIN_CODING,2
LOC107074375,SK,small conductance calcium-activated potassium channel,PROTEIN_CODING,4
LOC107074377,Rpn11,regulatory particle non-ATPase 11,PROTEIN_CODING,2
LOC107074380,Tsen2,tRNA splicing endonuclease subunit 2,PROTEIN_CODING,2
LOC107074381,Rgl,Ral guanine nucleotide dissociation stimulator-like,PROTEIN_CODING,2
LOC107074383,Hs2st,Heparan sulfate 2-O-sulfotransferase,PROTEIN_CODING,2
LOC107074385,Ntmt,N-terminal methyltransferase,PROTEIN_CODING,1
LOC107074387,MED21,mediator complex subunit 21,PROTEIN_CODING,1
LOC107074393,mRpL33,mitochondrial ribosomal protein L33,PROTEIN_CODING,1
LOC107074397,mGluR,metabotropic Glutamate Receptor,PROTEIN_CODING,2
LOC107074399,Sps1,"inactive selenide, water dikinase",PROTEIN_CODING,1
LOC107074400,Ak3,Adenylate kinase 3,PROTEIN_CODING,1
LOC107074404,Ras64B,ras-like protein 2,PROTEIN_CODING,1
LOC107074407,RSG7,regulator of G-protein signaling 7,PROTEIN_CODING,5
LOC107074408,Tor,serine/threonine-protein kinase Tor,PROTEIN_CODING,1
LOC107074410,Tango2,transport and golgi organization 2,PROTEIN_CODING,1
LOC107074413,Klp68D,kinesin-like protein 68D,PROTEIN_CODING,1
LOC107074417,MFS17,Major Facilitator Superfamily Transporter 17,PROTEIN_CODING,6
LOC107074422,mbt,serine/threonine-protein kinase PAK mbt,PROTEIN_CODING,3
LOC107074423,Rbpn-5,Rabaptin-5,PROTEIN_CODING,1
LOC107074426,brm,ATP-dependent helicase brm,PROTEIN_CODING,5
LOC107074433,Achl,La ribonucleoprotein translational regulator Achilles,PROTEIN_CODING,2
LOC107074434,ND-ASHI,NADH:ubiquinone oxidoreductase subunit ASHI,PROTEIN_CODING,1
LOC107074436,Arpc4,"Actin-related protein 2/3 complex, subunit 4",PROTEIN_CODING,1
LOC107074437,NfI,Nuclear factor I,PROTEIN_CODING,6
LOC107074439,ttv,exostosin glycosyltransferase 1 ttv,PROTEIN_CODING,5
LOC107074444,Swt1,Swt1 RNA endoribonuclease,PROTEIN_CODING,5
LOC107074447,Arr2,arrestin 2,PROTEIN_CODING,1
LOC107074452,Ocrl,Oculocerebrorenal syndrome of Lowe,PROTEIN_CODING,1
LOC107074453,Pen,Pendulin,PROTEIN_CODING,2
LOC107074456,Pex1,peroxin 1,PROTEIN_CODING,1
LOC107074457,CycB3,cyclin B3,PROTEIN_CODING,3
LOC107074461,heix,UbiA prenyltransferase domain-containing heix,PROTEIN_CODING,1
LOC107074462,raptor,regulatory associated protein of MTOR complex 1,PROTEIN_CODING,3
LOC107074465,Usp,ultraspiracle,PROTEIN_CODING,8
LOC107074466,Actn,alpha actinin,PROTEIN_CODING,5
LOC107074467,rb,adaptor related protein complex 3 subunit ruby,PROTEIN_CODING,2
LOC107074468,mRpS30,mitochondrial ribosomal protein S30,PROTEIN_CODING,1
LOC107074470,RpL13A,ribosomal protein L13A,PROTEIN_CODING,1
LOC107074476,PNKP,Polynucleotide kinase 3'-phosphatase,PROTEIN_CODING,3
LOC107074477,TfIIS,RNA polymerase II elongation factor,PROTEIN_CODING,2
LOC107074478,ebo,ellipsoid body open,PROTEIN_CODING,2
LOC107074481,Cdc6,Cell division cycle 6,PROTEIN_CODING,1
LOC107074502,eRF3,eukaryotic translation release factor 3,PROTEIN_CODING,1
LOC107074503,BHD,Birt-Hogg-Dube,PROTEIN_CODING,3
LOC107074510,MED26,mediator complex subunit 26,PROTEIN_CODING,3
LOC107074517,Wdr24,WD repeat domain 24,PROTEIN_CODING,4
LOC107074518,Prp6,pre-mRNA processing factor 6,PROTEIN_CODING,1
LOC107074524,Lap1,leucine rich repeat containing protein 7 lap1,PROTEIN_CODING,2
LOC107074533,Cdc45,cell division cycle protein 45,PROTEIN_CODING,2
LOC107074534,Galk,N-acetylgalactosamine kinase,PROTEIN_CODING,3
LOC107074548,Fer2,48 related 2,PROTEIN_CODING,1
LOC107074557,Su(Tpl),Suppressor of Triplolethal,PROTEIN_CODING,2
LOC107074560,Wdr37,WD repeat domain 37,PROTEIN_CODING,1
LOC107074565,Ssb-c31a,single stranded-binding protein c31A,PROTEIN_CODING,2
LOC107074571,Clk,circadian locomoter output cycles kaput protein Clock,PROTEIN_CODING,3
LOC107074572,Hn,phenylalanine-4-hydroxylase,PROTEIN_CODING,2
LOC107074575,scalloped,TEA domain transcription factor 1 homolog scalloped,PROTEIN_CODING,5
LOC107074588,Gsc,Goosecoid,PROTEIN_CODING,1
LOC107074589,Arv1,ACAT-related protein required for viability 1,PROTEIN_CODING,2
LOC107074590,l(2)dtl,WD40 domain-containing protein denticleless,PROTEIN_CODING,1
LOC107074592,eIF1A,eukaryotic translation initiation factor 1A,PROTEIN_CODING,1
LOC107074596,MetRS,methionyl-tRNA synthetase 1,PROTEIN_CODING,1
LOC107074605,BBS4,Bardet-Biedl syndrome 4,PROTEIN_CODING,1
LOC107074616,mask,multiple ankyrin repeats single KH domain,PROTEIN_CODING,1
LOC107074621,ltl,larval translucida,PROTEIN_CODING,1
LOC107074622,Adss,adenylosuccinate synthetase,PROTEIN_CODING,2
LOC107074626,Sec24AB,Protein transport protein Sec24AB,PROTEIN_CODING,3
LOC107074635,BNIP3,BCL2 interacting protein 3,PROTEIN_CODING,2
LOC107074639,Ranbp16,Ran-binding protein 16,PROTEIN_CODING,9
LOC107074647,Yif1,Yip1d-interacting factor 1,PROTEIN_CODING,1
LOC107074649,Kdsr,3-ketodihydrosphingosine reductase,PROTEIN_CODING,1
LOC107074650,sage,salivary gland-expressed bHLH,PROTEIN_CODING,3
LOC107074655,S6kII,Ribosomal protein S6 kinase II,PROTEIN_CODING,1
LOC107074665,CNT2,Concentrative nucleoside transporter 2,PROTEIN_CODING,1
LOC107074667,Cdc16,cell division cycle protein 16,PROTEIN_CODING,3
LOC107074669,alpha-Cat,catenin alpha,PROTEIN_CODING,2
LOC107074670,ldd,lipid droplet defective,PROTEIN_CODING,2
LOC107074682,Gat-1B,GABA neurotransmitter transporter-1B,PROTEIN_CODING,3
LOC107074692,Oscillin,glucosamine-6-phosphate isomerase Oscillin,PROTEIN_CODING,2
LOC107074693,REPTOR-BP,REPTOR-binding partner,PROTEIN_CODING,1
LOC107074694,Ns2,nucleostemin 2,PROTEIN_CODING,1
LOC107074696,Pex13,peroxin 13,PROTEIN_CODING,1
LOC107074701,Rtel1,Regulator of telomere elongation helicase 1,PROTEIN_CODING,2
LOC107063637,Ttc1,Tetratricopeptide repeat domain 1,PROTEIN_CODING,1
LOC107063641,Spn,Spinophilin,PROTEIN_CODING,9
LOC107063643,Ythdc1,YTH domain containing 1,PROTEIN_CODING,5
LOC107063649,Rad17,Rad17 checkpoint clamp loader component,PROTEIN_CODING,1
LOC107063658,Pex10,peroxin 10,PROTEIN_CODING,2
LOC107063672,kis,kismet,PROTEIN_CODING,1
LOC107063673,yem,yemanuclein,PROTEIN_CODING,5
LOC107063693,l(2)k05819,transmembrane protein 94-like protein l(2)k05819,PROTEIN_CODING,5
LOC107063696,Gcna,Germ cell nuclear acidic peptidase,PROTEIN_CODING,1
LOC107063707,GstS4,glutathione S-transferase S4,PROTEIN_CODING,2
LOC107063716,mtd,mustard,PROTEIN_CODING,20
LOC107063723,peng,Pumilio and CPL domain-containing protein penguin,PROTEIN_CODING,1
LOC107063724,pasilla,RNA-binding protein Nova-1-like protein passilla,PROTEIN_CODING,5
LOC107063729,vir,VIR_N domain-containing protein,PROTEIN_CODING,3
LOC107063733,Dscam2,Down syndrome cell adhesion molecule 2,PROTEIN_CODING,14
LOC107063743,Vsp37A,Vacuolar protein sorting 37A,PROTEIN_CODING,1
LOC107063747,flfl,serine/threonine-protein phosphatase 4 regulatory subunit 3 flfl,PROTEIN_CODING,2
LOC107063748,sip3,septin interacting protein 3,PROTEIN_CODING,2
LOC107063750,Pgant6,Polypeptide N-Acetylgalactosaminyltransferase 6,PROTEIN_CODING,2
LOC107063751,Hao,Hydroxyacid oxidase,PROTEIN_CODING,2
LOC107063755,Nemp,Nuclear envelope integral membrane protein,PROTEIN_CODING,1
LOC107063756,Vps60,vacuolar protein sorting 60,PROTEIN_CODING,1
LOC107063759,ATP7,copper-transporting ATPase 1,PROTEIN_CODING,4
LOC107063760,Vdup1,arrestin family protein Vdup1,PROTEIN_CODING,2
LOC107063765,Lint-O,L(3)mbt interactor in ovarian somatic cells,PROTEIN_CODING,2
LOC107063790,TTLL5,Tubulin tyrosine ligase-like 5,PROTEIN_CODING,1
LOC107063801,Syt20,synaptotagmin 20,PROTEIN_CODING,5
LOC107063809,Ripk5,receptor interacting protein kinase 5,PROTEIN_CODING,3
LOC107063812,Syngr,synaptogyrin,PROTEIN_CODING,1
LOC107063815,Hip1,Huntingtin interacting protein 1,PROTEIN_CODING,5
LOC107063817,Ptr,Patched-related,PROTEIN_CODING,2
LOC107063821,Hakai,E3 ubiquitin-protein ligase Hakai,PROTEIN_CODING,2
LOC107063826,fz,frizzled,PROTEIN_CODING,1
LOC107063831,bora,aurora kinase A activator-like protein bora,PROTEIN_CODING,1
LOC107063855,mRpS35,mitochondrial ribosomal protein S35,PROTEIN_CODING,1
LOC107063856,YL-1,Vacuolar protein sorting-associated protein YL-1,PROTEIN_CODING,1
LOC107063867,Taf1,TATA-box binding protein associated factor 1,PROTEIN_CODING,2
LOC107063869,pyd3,beta-ureidopropionase pyd3,PROTEIN_CODING,5
LOC107063870,drn,doctor no,PROTEIN_CODING,3
LOC107063877,ais,aramis,PROTEIN_CODING,1
LOC107063878,hfw,leucine-rich repeat domain-containing protein hfw,PROTEIN_CODING,1
LOC107063881,Rpn13,regulatory particle non-ATPase 13,PROTEIN_CODING,2
LOC107063884,AGO1,protein argonaute-2,PROTEIN_CODING,2
LOC107063885,mRpL53,mitochondrial ribosomal protein L53,PROTEIN_CODING,1
LOC107063888,Nulp1,Nuclear localized protein 1,PROTEIN_CODING,1
LOC107063889,Arp3,Actin-related protein 3,PROTEIN_CODING,1
LOC107063891,NLG-5,neuroligin 5,PROTEIN_CODING,5
LOC107063892,Ctr9,RNA polymerase-associated protein Ctr9,PROTEIN_CODING,1
LOC107063894,Drat,Death resistor Adh domain containing target,PROTEIN_CODING,3
LOC107063904,side,sidestep,PROTEIN_CODING,3
LOC107063930,Tbce,Tubulin-binding cofactor E,PROTEIN_CODING,1
LOC107063934,Cyp12b2,Cytochrome P450 12b2,PROTEIN_CODING,4
LOC107063950,Uvrag,UV-resistance associated gene,PROTEIN_CODING,2
LOC107063957,woc,without children,PROTEIN_CODING,2
LOC107063963,parvin,beta-parvin,PROTEIN_CODING,1
LOC107063969,Archease,protein archease,PROTEIN_CODING,1
LOC107063971,l(2)k09022,HEAT repeat containing 1 homolog l(2)k09022,PROTEIN_CODING,2
LOC107063981,NO66,bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66,PROTEIN_CODING,1
LOC107063983,Brms1,breast cancer metastasis-suppressor 1-like protein,PROTEIN_CODING,2
LOC107063989,Err,estrogen-related receptor,PROTEIN_CODING,8
LOC107063991,Ephrin,ephrin,PROTEIN_CODING,1
LOC107063998,EMC4,ER membrane protein complex subunit 4,PROTEIN_CODING,1
LOC107064001,SA1,stromal antigen,PROTEIN_CODING,4
LOC107064003,Kap3,kinesin associated protein 3,PROTEIN_CODING,2
LOC107064011,sstn,stepping stone,PROTEIN_CODING,2
LOC107064021,Sgf29,SAGA-associated factor 29,PROTEIN_CODING,1
LOC107064059,Ptpmeg2,Protein tyrosine phosphatase Meg2,PROTEIN_CODING,3
LOC107064065,scrt,scratch,PROTEIN_CODING,1
LOC107064073,ND-B14,NADH dehydrogenase (ubiquinone) B14 subunit,PROTEIN_CODING,1
LOC107064079,Lipt1,Lipoyltransferase 1,PROTEIN_CODING,1
LOC107064081,Hydr1,phospholipase Hydr1,PROTEIN_CODING,1
LOC107064082,Fak,protein tyrosine kinase 2 Fak,PROTEIN_CODING,11
LOC107064087,CIA30,complex I intermediate-associated protein 30,PROTEIN_CODING,1
LOC107064092,Glut4EF,Glucose transporter 4 enhancer factor,PROTEIN_CODING,1
LOC107064115,Blos2,biogenesis of lysosome-related organelles complex 1 subunit 2,PROTEIN_CODING,1
LOC107064120,Rme-8,receptor mediated endocytosis 8,PROTEIN_CODING,2
LOC107064125,sas,stranded at second,PROTEIN_CODING,3
LOC107064138,puml,pummelig,PROTEIN_CODING,2
LOC107064139,MESR3,misexpression suppressor of ras 3,PROTEIN_CODING,3
LOC107064143,mRpL28,mitochondrial ribosomal protein L28,PROTEIN_CODING,1
LOC107064146,N,neurogenic locus Notch protein,PROTEIN_CODING,1
LOC107064154,Chchd3,Coiled-coil-helix-coiled-coil-helix domain containing 3,PROTEIN_CODING,3
LOC107064159,Pp4-19C,protein phosphatase 19C,PROTEIN_CODING,3
LOC107064170,Trim9,E3 ubiquitin-protein ligase Trim9,PROTEIN_CODING,2
LOC107064171,L2HGDH,L-2-hydroxyglutarate dehydrogenase,PROTEIN_CODING,4
LOC107064175,rk,rickets,PROTEIN_CODING,5
LOC107064181,Fabp,FABP-like protein,PROTEIN_CODING,1
LOC107064191,Adat1,"Adenosine deaminase, tRNA-specific 1",PROTEIN_CODING,4
LOC107064196,D12,YEATS domain containing 2 homolog D12,PROTEIN_CODING,2
LOC107064200,Y-f,yellow-f,PROTEIN_CODING,1
LOC107064205,PGS1,Phosphatidylglycerophosphate synthase 1,PROTEIN_CODING,1
LOC107064212,mas,masquerade,PROTEIN_CODING,1
LOC107064234,spz6,Spaetzle domain-containing protein 6,PROTEIN_CODING,1
LOC107064244,l(3)mbn,lethal (3) malignant blood neoplasm,PROTEIN_CODING,1
LOC107064257,SCCRO3,defective in cullin neddylation 1 domain containing SCCRO3,PROTEIN_CODING,2
LOC107064269,Tab2,TAK1-associated binding protein 2,PROTEIN_CODING,6
LOC107064271,Clic,chloride intracellular channel protein 5,PROTEIN_CODING,1
LOC107064277,Mgat4a,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase a",PROTEIN_CODING,2
LOC107064281,Ssadh,succinic semialdehyde dehydrogenase,PROTEIN_CODING,2
LOC107064283,DHRS4,dehydrogenase/reductase (SDR family) member 4,PROTEIN_CODING,1
LOC107064289,toc,toucan,PROTEIN_CODING,7
LOC107064299,Dscam1,Down syndrome cell adhesion molecule 1,PROTEIN_CODING,50
LOC107064302,dati,datilografo,PROTEIN_CODING,1
LOC107064306,garz,Sec7 domain-containing protein garz,PROTEIN_CODING,1
LOC107064314,Sac1,Sac1 phosphatase,PROTEIN_CODING,2
LOC107064329,chb,chromosome bows,PROTEIN_CODING,15
LOC107064333,for,cGMP-dependent protein kinase for,PROTEIN_CODING,3
LOC107064343,Kr-h1,kruppel homolog 1,PROTEIN_CODING,5
LOC107064348,Mccc2,methylcrotonyl-CoA carboxylase subunit 2,PROTEIN_CODING,2
LOC107064360,Ugt37C1,UDP-glycosyltransferase family 37 member C1,PROTEIN_CODING,1
LOC107064373,SMC6,Structural maintenance of chromosomes 6,PROTEIN_CODING,1
LOC107064408,Xxylt,Xyloside xylosyltransferase,PROTEIN_CODING,1
LOC107064420,vig,vasa intronic gene,PROTEIN_CODING,1
LOC107064426,Cnb,Centrobin,PROTEIN_CODING,5
LOC107064431,msps,msps cytoskeleton-associated protein 5,PROTEIN_CODING,2
LOC107064447,stum,stumble,PROTEIN_CODING,1
LOC107064468,NT1,Neurotrophin 1,PROTEIN_CODING,1
LOC107064479,Ythdf,YTH domain-containing family protein,PROTEIN_CODING,1
LOC107064489,Rbfox1,RNA-binding Fox protein 1,PROTEIN_CODING,14
LOC107064493,Ziz,dedicator of cytokinesis protein Ziz,PROTEIN_CODING,5
LOC107064497,Mhcl,Myosin heavy chain-like,PROTEIN_CODING,9
LOC107064499,kibra,WW and C2 domain containing protein kibra,PROTEIN_CODING,1
LOC107064501,Osbp,oxysterol binding protein,PROTEIN_CODING,5
LOC107064506,14-3-3epsilon,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,PROTEIN_CODING,1
LOC107064512,rtv,QVR superfamily protein rtv,PROTEIN_CODING,2
LOC107064516,Alg1,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase",PROTEIN_CODING,1
LOC107064519,Jhbp16,Juvenile hormone binding protein 16,PROTEIN_CODING,1
LOC107064535,Rpn5,regulatory particle non-ATPase 5,PROTEIN_CODING,1
LOC107064538,Dlg5,Discs large 5,PROTEIN_CODING,4
LOC107064555,spz4,Spaetzle domain-containing protein 4,PROTEIN_CODING,1
LOC107064559,Ih,hyperpolarization activated cyclic nucleotide gated potassium channel Ih,PROTEIN_CODING,9
LOC107064565,Oga,O-GlcNAcase,PROTEIN_CODING,2
LOC107064570,osp,myosin phosphatase Rho interacting protein outspread,PROTEIN_CODING,4
LOC107064573,Ndg,Nidogen,PROTEIN_CODING,3
LOC107064575,Neto,Neuropilin and tolloid-like,PROTEIN_CODING,5
LOC107064578,Fatp3,Fatty acid transport protein 3,PROTEIN_CODING,1
LOC107064593,Ip259,NSA2 ribosome biogenesis factor-like IP259,PROTEIN_CODING,2
LOC107064600,shtd,shattered,PROTEIN_CODING,5
LOC107064603,INPP5E,Inositol-3-phosphate synthase,PROTEIN_CODING,6
LOC107064607,SF2,splicing factor 2,PROTEIN_CODING,1
LOC107064609,slbo,slow border cells,PROTEIN_CODING,1
LOC107064619,Prosbeta5,Proteasome beta5 subunit,PROTEIN_CODING,1
LOC107064623,tap,basic helix-loop-helix neural transcription factor TAP-like,PROTEIN_CODING,1
LOC107064628,c12.1,spliceosome-associated protein CWC15,PROTEIN_CODING,1
LOC107064646,Acat2,Acetyl-CoA acetyltransferase 2,PROTEIN_CODING,1
LOC107064647,Nt5a,5' nucleotidase A,PROTEIN_CODING,1
LOC107064651,EMC6,ER membrane protein complex subunit 6,PROTEIN_CODING,1
LOC107064653,RYBP,ring and YY1 binding protein,PROTEIN_CODING,3
LOC107064663,Slip1,SLo interacting protein 1,PROTEIN_CODING,1
LOC107064665,crim,QVR superfamily protein crim,PROTEIN_CODING,1
LOC107064672,PIG-P,phosphatidylinositol glycan anchor biosynthesis class P,PROTEIN_CODING,1
LOC107064673,Tcs6,Threonyl-carbamoyl synthesis 6,PROTEIN_CODING,1
LOC107064677,Fas3,fasciclin 3,PROTEIN_CODING,4
LOC107064680,Uxs,UDP-xylose synthase,PROTEIN_CODING,1
LOC107064682,SCCRO,defective in cullin neddylation 1 domain containing SCCRO,PROTEIN_CODING,2
LOC107064686,cnir,cornichon-like protein,PROTEIN_CODING,1
LOC107064690,CASK,peripheral plasma membrane protein CASK,PROTEIN_CODING,10
LOC107064694,Tbc1d22,TBC1 domain family member 22,PROTEIN_CODING,3
LOC107064704,Sulf1,Extracellular sulfatase Sulf1,PROTEIN_CODING,2
LOC107064708,BORCS6,BLOC-1 related complex subunit 6,PROTEIN_CODING,3
LOC107064713,Tollo,Toll-like receptor Tollo,PROTEIN_CODING,1
LOC107064716,Eaf,ELL-associated factor,PROTEIN_CODING,3
LOC107064718,jhamt,juvenile hormone acid methyltransferase,PROTEIN_CODING,1
LOC107064726,Hbg2,alpha-glucosidase,PROTEIN_CODING,1
