HOG	OG	gene_tree_parent_clade	change_node_130	branch_p_node_130	category_node_130	expanded_node_130	significantly_expanded_node_130	contracted_node_130	significantly_contracted_node_130	change_node_131	branch_p_node_131	category_node_131	expanded_node_131	significantly_expanded_node_131	contracted_node_131	significantly_contracted_node_131	change_node_135	branch_p_node_135	category_node_135	expanded_node_135	significantly_expanded_node_135	contracted_node_135	significantly_contracted_node_135	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	n_max	n_min	n_mean	differential	discarded_nonconverged	tested_in_final_cafe_model	large_family_model_attempted	exclusion_detail	chemosensory_family_flag
N0.HOG0000158	OG0000094	n0																						odorant receptor family	conservative keyword family rule	Odorant receptor; 7tm Odorant receptor; odorant receptor 10a-like	20	LOC127064791; LOC127072452; LOC127072301; LOC127072300; LOC127069930; LOC127068650; LOC127068522; LOC127068516; LOC127068521; LOC127068519; LOC127068540; LOC127068517; LOC127069927; LOC127068649; LOC127068520; LOC127068541; LOC127068648; LOC127068647; LOC127068513; LOC127072280	LOC127064791; LOC127072452; LOC127072301; LOC127072300; LOC127069930; LOC127068650; LOC127068522; LOC127068516; LOC127068521; LOC127068519; LOC127068540; LOC127068517; LOC127069927; LOC127068649; LOC127068520; LOC127068541; LOC127068648; LOC127068647; LOC127068513; LOC127072280	Odorant receptor; 7tm Odorant receptor	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	20	13	LOC107070831; LOC107066992; LOC107066993; LOC107073597; LOC107073260; LOC107073261; LOC107073262; LOC107073263; LOC107073708; LOC107073547; LOC107073776; LOC107073765; LOC107073639	LOC107070831; LOC107066992; LOC107066993; LOC107073597; LOC107073260; LOC107073261; LOC107073262; LOC107073263; LOC107073708; LOC107073547; LOC107073776; LOC107073765; LOC107073639	odorant receptor 10a-like; 7tm Odorant receptor; Odorant receptor	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	13	8	ENSANRG00005004439; ENSANRG00005002860; ENSANRG00005000946; ENSANRG00005001263; ENSANRG00005000960; ENSANRG00005001116; ENSANRG00005001001; ENSANRG00005003832	LOC127069930; LOC107070831	Odorant receptor; odorant receptor 10a-like	OrthoFinder orthology transfer from: Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula	2	55	1	14	54	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	TRUE
N0.HOG0000214	OG0000134	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	61	1	8.42307692307692	60	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000318	OG0000219	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	99	1	12.5384615384615	98	TRUE	FALSE	TRUE	Retained after root-copy filtering, but the separate large-family CAFE model failed to initialize/converge	FALSE
N0.HOG0000320	OG0000221	n0																						odorant receptor family	conservative keyword family rule	odorant receptor 13a-like	1	LOC127072454	LOC127072454	odorant receptor 13a-like	NCBI: vv_genetable.csv	1	0					0	0					0	59	1	5.19354838709677	58	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	TRUE
N0.HOG0000457	OG0000322	n0																						stall	weighted recurring annotation	stall	1	LOC127071678	stl	stall	NCBI: vv_genetable.csv	1	1	LOC107072566	stl	stall	NCBI: pd_genetable.csv	1	0					0	76	1	2.29032258064516	75	TRUE	FALSE	TRUE	Retained after root-copy filtering, but the separate large-family CAFE model failed to initialize/converge	FALSE
N0.HOG0000599	OG0000448	n0																						gustatory receptor family	conservative keyword family rule	Gustatory receptor which mediates acceptance or avoidance behavior, depending on its substrates	1	LOC127073001	LOC127073001	Gustatory receptor which mediates acceptance or avoidance behavior, depending on its substrates	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	LOC107065401	LOC107065401	Gustatory receptor which mediates acceptance or avoidance behavior, depending on its substrates	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	0					0	52	1	2.35849056603774	51	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	TRUE
N0.HOG0000827	OG0000642	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	56	1	11.8888888888889	55	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0001001	OG0000784	n0																						unannotated HOG	no usable local annotation		0					0	3	LOC107068753; LOC107066566; LOC107073462	LOC107068753; LOC107066566; LOC107073462		NCBI: pd_genetable.csv	3	0					0	62	1	8	61	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0001568	OG0001289	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	81	1	41	80	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0001652	OG0001367	n0																						YqaJ-like viral recombinase domain	weighted recurring annotation	YqaJ-like viral recombinase domain	0					0	1	LOC107074253	LOC107074253	YqaJ-like viral recombinase domain	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	2	ENSANRG00005003196; ENSANRG00005002663	LOC107072893	YqaJ-like viral recombinase domain	OrthoFinder orthology transfer from: Polistes_dominula	2	58	1	6.23076923076923	57	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0002572	OG0002239	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	73	1	25.3333333333333	72	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0008386	OG0007970	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	55	1	16.25	54	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0008572	OG0008155	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	58	1	12.6	57	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0008776	OG0008356	n0																						K02A2.6-like / Integrase core domain	weighted recurring annotation	Integrase core domain; K02A2.6-like	0					0	2	LOC107071462; LOC107071452	LOC107071462; LOC107071452	Integrase core domain; K02A2.6-like	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	0					0	53	2	15	51	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0008863	OG0008442	n0																						unannotated HOG	no usable local annotation		0					0	0					0	0					0	57	1	29	56	TRUE	FALSE	FALSE	Filtered from the separate large-family model because CAFE inferred no copies at the ancestral root	FALSE
N0.HOG0000015	OG0000004	n132	0	0.537541	unchanged	FALSE	FALSE	FALSE	FALSE	0	0.546673	unchanged	FALSE	FALSE	FALSE	FALSE	-1	0.0492571	significantly contracted	FALSE	FALSE	TRUE	TRUE	K02A2.6-like	weighted recurring annotation	K02A2.6-like	0					0	1	LOC107073602	LOC107073602	K02A2.6-like	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	0					0	16	1	5.38095238095238	15	FALSE	TRUE	FALSE		FALSE
N0.HOG0000026	OG0000008	n869	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	0					0	1	1	1	0	FALSE	TRUE	FALSE		FALSE
N0.HOG0000036	OG0000013	n444	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	neurotrimin-like / opioid-binding protein/cell adhesion molecule homolog	weighted recurring annotation	Dpr-interacting protein kappa; opioid-binding protein/cell adhesion molecule homolog; neurotrimin-like; lachesin-like; protein amalgam-like; lachesin-like; Dpr-interacting protein kappa; protein amalgam-like; opioid-binding protein/cell adhesion molecule homolog; opioid-binding protein/cell adhesion molecule homolog; neurotrimin-like	4	LOC127069423; LOC127069424; LOC127063424; LOC127063425	DIP-kappa; LOC127069424; LOC127063424; LOC127063425	Dpr-interacting protein kappa; opioid-binding protein/cell adhesion molecule homolog; neurotrimin-like	NCBI: vv_genetable.csv	4	4	LOC107064449; LOC107064453; LOC107070160; LOC107070169	LOC107064449; LOC107064453; LOC107070160; LOC107070169	lachesin-like; protein amalgam-like; neurotrimin-like; opioid-binding protein/cell adhesion molecule homolog	NCBI: pd_genetable.csv	4	4	ENSANRG00005009389; ENSANRG00005005526; ENSANRG00005000639; ENSANRG00005010274	LOC107064449; DIP-kappa; LOC107064453; LOC127069424; LOC107070160; LOC127063424; LOC107070169; LOC127063425	lachesin-like; Dpr-interacting protein kappa; protein amalgam-like; opioid-binding protein/cell adhesion molecule homolog; neurotrimin-like; opioid-binding protein/cell adhesion molecule homolog; neurotrimin-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	4	11	3	4.375	8	FALSE	TRUE	FALSE		FALSE
N0.HOG0000048	OG0000024	n369	0	0.570909	unchanged	FALSE	FALSE	FALSE	FALSE	-1	0.130481	contracted	FALSE	FALSE	TRUE	FALSE	0	0.562817	unchanged	FALSE	FALSE	FALSE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	3	ENSANRG00005010121; ENSANRG00005010828; ENSANRG00005005842				0	25	1	4.81395348837209	24	FALSE	TRUE	FALSE		FALSE
N0.HOG0000061	OG0000037	n0	0	0.627112	unchanged	FALSE	FALSE	FALSE	FALSE	1	0.094528	expanded	TRUE	FALSE	FALSE	FALSE	-3	0.000107989	significantly contracted	FALSE	FALSE	TRUE	TRUE	transposable-element/reverse-transcriptase family	conservative keyword family rule	tigger transposable element-derived protein 1-like; Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.; Tc5 transposase DNA-binding domain; jerky protein homolog-like	0					0	4	LOC107071931; LOC107071792; LOC107065344; LOC107072239	LOC107071931; LOC107071792; LOC107065344; LOC107072239	tigger transposable element-derived protein 1-like; Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.; Tc5 transposase DNA-binding domain; jerky protein homolog-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	4	4	ENSANRG00005000840; ENSANRG00005010016; ENSANRG00005009118; ENSANRG00005002980				0	41	1	7.3015873015873	40	FALSE	TRUE	FALSE		FALSE
N0.HOG0000062	OG0000038	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	protein lethal(2)essential for life-like	weighted recurring annotation	protein lethal(2)essential for life-like	8	LOC127071260; LOC127073086; LOC127069175; LOC127068991; LOC127064849; LOC127068993; LOC127069173; LOC127068992	LOC127071260; LOC127073086; LOC127069175; LOC127068991; LOC127064849; LOC127068993; LOC127069173; LOC127068992	protein lethal(2)essential for life-like	NCBI: vv_genetable.csv	8	5	LOC107067983; LOC107074011; LOC107067458; LOC107064659; LOC107064654	LOC107067983; LOC107074011; LOC107067458; LOC107064659; LOC107064654	protein lethal(2)essential for life-like	NCBI: pd_genetable.csv	5	4	ENSANRG00005005004; ENSANRG00005000699; ENSANRG00005003441; ENSANRG00005006120	CG7409; LOC127069175; CG7409; CG7409; LOC107064659; LOC127068993; LOC127069173; CG7409; LOC107064654; LOC127068992	protein lethal(2)essential for life-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	4	15	2	6.375	13	FALSE	TRUE	FALSE		FALSE
N0.HOG0000064	OG0000040	n0	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	probable multidrug resistance-associated protein lethal(2)03659 / multidrug resistance-associated protein 4-like	weighted recurring annotation	CF transmembrane conductance regulator; ATP-binding cassette sub-family C member 4-like; ATP-binding cassette subfamily C member 4-like; probable multidrug resistance-associated protein lethal(2)03659; multidrug resistance-associated protein 4-like; ABC transporter transmembrane region; multidrug resistance-associated protein 4-like; CF transmembrane conductance regulator; multidrug resistance-associated protein 4-like; ATP-binding cassette sub-family C member 4-like	5	LOC127071428; LOC127069811; LOC127069812; LOC127065277; LOC127065655	Cftr; LOC127069811; LOC127069812; LOC127065277; LOC127065655	CF transmembrane conductance regulator; ATP-binding cassette sub-family C member 4-like; ATP-binding cassette subfamily C member 4-like; probable multidrug resistance-associated protein lethal(2)03659	NCBI: vv_genetable.csv	5	5	LOC107065964; LOC107071911; LOC107071910; LOC107073455; LOC107070584	LOC107065964; LOC107071911; LOC107071910; LOC107073455; LOC107070584	multidrug resistance-associated protein 4-like; ABC transporter transmembrane region; probable multidrug resistance-associated protein lethal(2)03659	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	5	6	ENSANRG00005003974; ENSANRG00005007909; ENSANRG00005005703; ENSANRG00005006633; ENSANRG00005003248; ENSANRG00005008473	LOC107065964; Cftr; LOC107071911; LOC127069811; CG10505; CG11898; LOC107071910; LOC127069812; CG31792; CG31793; CG7627; CG9270; LOC107073455; LOC127065277; CG31792; CG31793; CG7627; CG9270; LOC107070584; LOC127065655	multidrug resistance-associated protein 4-like; CF transmembrane conductance regulator; multidrug resistance-associated protein 4-like; ATP-binding cassette sub-family C member 4-like; ABC transporter transmembrane region; ATP-binding cassette subfamily C member 4-like; probable multidrug resistance-associated protein lethal(2)03659	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	6	28	1	6.29166666666667	27	FALSE	TRUE	FALSE		FALSE
N0.HOG0000066	OG0000041	n53	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	tubulin family	conservative keyword family rule	tubulin alpha chain-like	2	LOC127070616; LOC127069897	LOC127070616; LOC127069897	tubulin alpha chain-like	NCBI: vv_genetable.csv	2	2	LOC107067787; LOC107071251	LOC107067787; LOC107071251	tubulin alpha chain-like	NCBI: pd_genetable.csv	2	0					0	5	1	1.8030303030303	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000069	OG0000042	n0	1	0.112441	expanded	TRUE	FALSE	FALSE	FALSE	0	0.721021	unchanged	FALSE	FALSE	FALSE	FALSE	2	0.0301588	significantly expanded	TRUE	TRUE	FALSE	FALSE	maltase/glucosidase family	conservative keyword family rule	maltase A3-like; maltase 1-like; alpha-glucosidase-like; alpha glucosidase 2; Alpha-amylase domain; alpha-glucosidase; Alpha-amylase domain; maltase 1-like; alpha-glucosidase; alpha-glucosidase-like	11	LOC127066266; LOC127066419; LOC127066416; LOC127066417; LOC127066418; LOC127066411; LOC127066414; LOC127066413; LOC127066420; LOC127072611; LOC127072610	LOC127066266; LOC127066419; LOC127066416; LOC127066417; LOC127066418; LOC127066411; LOC127066414; LOC127066413; LOC127066420; LOC127072611; LOC127072610	maltase A3-like; maltase 1-like; alpha-glucosidase-like	NCBI: vv_genetable.csv	11	6	LOC107064187; LOC107070024; LOC107070028; LOC107070011; LOC107070025; LOC107064726	LOC107064187; LOC107070024; LOC107070028; LOC107070011; Hbg3; Hbg2	maltase A3-like; alpha glucosidase 2; Alpha-amylase domain; alpha-glucosidase	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	6	5	ENSANRG00005010259; ENSANRG00005004111; ENSANRG00005002504; ENSANRG00005005259; ENSANRG00005009716	LOC107064187; LOC127066266; LOC107070024; LOC107070011; LOC107070028; LOC127066411; LOC127066413; LOC127066414; LOC127066416; LOC127066417; LOC127066418; LOC127066419; Hbg3; LOC127066420; Hbg2; LOC127072610; LOC127072611	maltase A3-like; alpha glucosidase 2; Alpha-amylase domain; maltase 1-like; alpha-glucosidase; alpha-glucosidase-like; alpha-glucosidase; maltase 1-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula	5	14	2	5.98611111111111	12	FALSE	TRUE	FALSE		FALSE
N0.HOG0000085	OG0000043	n294	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	cysteine-rich venom protein 6-like	weighted recurring annotation	cysteine-rich venom protein 6-like	0					0	1	LOC107066103	LOC107066103	cysteine-rich venom protein 6-like	NCBI: pd_genetable.csv	1	0					0	2	1	1.21052631578947	1	FALSE	TRUE	FALSE		FALSE
N0.HOG0000090	OG0000045	n0	0	0.650786	unchanged	FALSE	FALSE	FALSE	FALSE	-1	0.274223	contracted	FALSE	FALSE	TRUE	FALSE	1	0.0830841	expanded	TRUE	FALSE	FALSE	FALSE	histone H2A-like / histone H2A	weighted recurring annotation	histone H2A-like; histone H2A; histone H2A; histone H2A-like	9	LOC127064667; LOC127064412; LOC127064414; LOC127064560; LOC127064413; LOC127070611; LOC127064411; LOC127064542; LOC127067578	LOC127064667; LOC127064412; LOC127064414; LOC127064560; LOC127064413; LOC127070611; LOC127064411; LOC127064542; LOC127067578	histone H2A-like; histone H2A	NCBI: vv_genetable.csv	9	4	LOC107065128; LOC107066998; LOC107068157; LOC107064864	LOC107065128; LOC107066998; LOC107068157; LOC107064864	histone H2A-like; histone H2A	NCBI: pd_genetable.csv	4	3	ENSANRG00005000393; ENSANRG00005005366; ENSANRG00005000801	LOC107065128; LOC127064667; LOC107066998; LOC107068157; LOC127064411; LOC107064864; LOC127067578	histone H2A-like; histone H2A; histone H2A-like; histone H2A	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	3	23	1	5.81944444444445	22	FALSE	TRUE	FALSE		FALSE
N0.HOG0000094	OG0000047	n1	0	0.600617	unchanged	FALSE	FALSE	FALSE	FALSE	-1	0.184314	contracted	FALSE	FALSE	TRUE	FALSE	0	0.589724	unchanged	FALSE	FALSE	FALSE	FALSE	UDP-glucuronosyltransferase 2C1-like / UDP-glucuronosyltransferase 1-4-like	weighted recurring annotation	Glycosyltransferase family 28 C-terminal domain; UDP-glucuronosyltransferase 2C1-like; UDP-glucuronosyltransferase 1-4-like; UDP-glucuronosyltransferase 2C1-like; Glycosyltransferase family 28 C-terminal domain	1	LOC127071399	LOC127071399	Glycosyltransferase family 28 C-terminal domain	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	2	LOC107065975; LOC107065976	LOC107065975; LOC107065976	UDP-glucuronosyltransferase 2C1-like; UDP-glucuronosyltransferase 1-4-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005010088	LOC107065975; LOC127071399	UDP-glucuronosyltransferase 2C1-like; Glycosyltransferase family 28 C-terminal domain	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	20	1	4.01428571428571	19	FALSE	TRUE	FALSE		FALSE
N0.HOG0000103	OG0000055	n0	0	0.600617	unchanged	FALSE	FALSE	FALSE	FALSE	0	0.621711	unchanged	FALSE	FALSE	FALSE	FALSE	2	0.00628907	significantly expanded	TRUE	TRUE	FALSE	FALSE	histone H2B-like family	conservative keyword family rule	histone H2B-like; histone H2B; late histone H2B.L4-like	10	LOC127067993; LOC127070680; LOC127064538; LOC127064416; LOC127070618; LOC127064417; LOC127064668; LOC127064418; LOC127064431; LOC127064833	LOC127067993; LOC127070680; LOC127064538; LOC127064416; LOC127070618; LOC127064417; LOC127064668; LOC127064418; LOC127064431; LOC127064833	histone H2B-like; histone H2B; late histone H2B.L4-like	NCBI: vv_genetable.csv	10	2	LOC107066966; LOC107068925	LOC107066966; LOC107068925	histone H2B-like; histone H2B	NCBI: pd_genetable.csv	2	0					0	23	1	5.39393939393939	22	FALSE	TRUE	FALSE		FALSE
N0.HOG0000106	OG0000058	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	facilitated trehalose transporter Tret1-like / facilitated trehalose transporter Tret1	weighted recurring annotation	facilitated trehalose transporter Tret1-like; facilitated trehalose transporter Tret1; facilitated trehalose transporter Tret1-2 homolog; Trehalose transporter 1-1; facilitated trehalose transporter Tret1-like; facilitated trehalose transporter Tret1; facilitated trehalose transporter Tret1-like; facilitated trehalose transporter Tret1-2 homolog; Trehalose transporter 1-1; facilitated trehalose transporter Tret1	7	LOC127067833; LOC127067832; LOC127067831; LOC127067613; LOC127070450; LOC127072261; LOC127067122	LOC127067833; LOC127067832; LOC127067831; LOC127067613; LOC127070450; LOC127072261; LOC127067122	facilitated trehalose transporter Tret1-like; facilitated trehalose transporter Tret1; facilitated trehalose transporter Tret1-2 homolog	NCBI: vv_genetable.csv	7	5	LOC107067208; LOC107067209; LOC107072810; LOC107067247; LOC107074336	LOC107067208; LOC107067209; LOC107072810; LOC107067247; Tret1-1	facilitated trehalose transporter Tret1-like; Trehalose transporter 1-1	NCBI: pd_genetable.csv	5	3	ENSANRG00005006486; ENSANRG00005006386; ENSANRG00005010838	CG6484; LOC107067208; LOC107067209; LOC127067613; LOC127067831; LOC127067832; LOC127067833; CG1208; LOC107067247; LOC127072261; Tret1-1; LOC127067122	facilitated trehalose transporter Tret1-like; facilitated trehalose transporter Tret1; facilitated trehalose transporter Tret1-like; facilitated trehalose transporter Tret1-2 homolog; Trehalose transporter 1-1; facilitated trehalose transporter Tret1	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	3	14	3	4.875	11	FALSE	TRUE	FALSE		FALSE
N0.HOG0000116	OG0000067	n207	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	tubulin family	conservative keyword family rule	tubulin beta chain-like	2	LOC127072495; LOC127072357	LOC127072495; LOC127072357	tubulin beta chain-like	NCBI: vv_genetable.csv	2	2	LOC107064096; LOC107064042	LOC107064096; LOC107064042	tubulin beta chain-like	NCBI: pd_genetable.csv	2	0					0	5	1	1.69230769230769	4	FALSE	TRUE	FALSE		FALSE
N0.HOG0000142	OG0000085	n82	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	protein kinase C-like	weighted recurring annotation	protein kinase C-like	1	LOC127072097	LOC127072097	protein kinase C-like	NCBI: vv_genetable.csv	1	0					0	0					0	3	1	1.2	2	FALSE	TRUE	FALSE		FALSE
N0.HOG0000143	OG0000085	n95	0		unchanged	FALSE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	unannotated HOG	no usable local annotation		0					0	0					0	0					0	1	1	1	0	FALSE	TRUE	FALSE		FALSE
N0.HOG0000145	OG0000085	n103	0		unchanged	FALSE	FALSE	FALSE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	0		unchanged	FALSE	FALSE	FALSE	FALSE	serine-rich adhesin for platelets-like / putative protein kinase C delta type homolog	weighted recurring annotation	serine-rich adhesin for platelets-like; putative protein kinase C delta type homolog	1	LOC127061465	LOC127061465	serine-rich adhesin for platelets-like	NCBI: vv_genetable.csv	1	2	LOC107068311; LOC107068310	LOC107068311; LOC107068310	putative protein kinase C delta type homolog; serine-rich adhesin for platelets-like	NCBI: pd_genetable.csv	2	1	ENSANRG00005003499	LOC107068310; LOC127061465	serine-rich adhesin for platelets-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	4	1	1.52173913043478	3	FALSE	TRUE	FALSE		FALSE
N0.HOG0000151	OG0000090	n4	-1	0.0559456	contracted	FALSE	FALSE	TRUE	FALSE	0	0.5	unchanged	FALSE	FALSE	FALSE	FALSE	0	0.5	unchanged	FALSE	FALSE	FALSE	FALSE	CG16863	symbol fallback	CG16863	0					0	0					0	1	ENSANRG00005002160	CG16863		OrthoFinder orthology transfer from: Drosophila_melanogaster	1	17	1	6.15789473684211	16	FALSE	TRUE	FALSE		FALSE
N0.HOG0000155	OG0000091	n0	0		unchanged	FALSE	FALSE	FALSE	FALSE	-1		contracted	FALSE	FALSE	TRUE	FALSE	1		expanded	TRUE	FALSE	FALSE	FALSE	late histone H1-like / histone H1-like	weighted recurring annotation	histone H1-like; late histone H1-like; Domain in histone families 1 and 5; late histone H1-like; histone H1-like	6	LOC127064551; LOC127064408; LOC127069419; LOC127064394; LOC127070667; LOC127072370	LOC127064551; LOC127064408; LOC127069419; LOC127064394; LOC127070667; LOC127072370	histone H1-like; late histone H1-like; Domain in histone families 1 and 5	NCBI: vv_genetable.csv; NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	6	1	LOC107066965	LOC107066965	late histone H1-like	NCBI: pd_genetable.csv	1	2	ENSANRG00005005713; ENSANRG00005009432	LOC127072370; LOC127064408; LOC127064551	Domain in histone families 1 and 5; late histone H1-like; histone H1-like	OrthoFinder orthology transfer from: Vespula_vulgaris	2	23	1	3.75	22	FALSE	TRUE	FALSE		FALSE
