Orthogroup	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean
OG0023961																																															K0M31_003903																									
OG0023962																																															K0M31_012750																									
OG0023963																																				BRAKERXMBG00000018574																																				
OG0023964																									CELE_Y62H9A.11																																															
OG0023965																																															K0M31_011490																									
OG0023966			ENSUQBG00000011001																																																																					
OG0023967																									CELE_F23D12.2																																															
OG0023968																																															K0M31_006573																									
OG0023969																																				BRAKERXMBG00000017412																																				
OG0023970																				ENSBPTG00005018391																																																				
OG0023971																	ENSZWKG00000002373																																																							
OG0023972																					ENSBSYG00000014973																																																			
OG0023973											LOC117181550																																																													
OG0023974			ENSUQBG00000015338																																																																					
OG0023975																																				BRAKERXMBG00000010883																																				
OG0023976																																															K0M31_008186																									
OG0023977																																																															ENSTFMG00005000835									
OG0023978																																				BRAKERXMBG00000019661																																				
OG0023979																																																											M0804_008410													
OG0023980																																																WN51_11771																								
OG0023981																																																WN51_00993																								
OG0023982																																																																	LOC122407234							
OG0023983			ENSUQBG00000009250																																																																					
OG0023984																																															K0M31_009445																									
OG0023985			ENSUQBG00000013241																																																																					
OG0023986																																								ENSBXKG00010002781																																
OG0023987																																																	M0802_007535																							
OG0023988																																																													LOC113004282											
OG0023989																																																	M0802_005215																							
OG0023990			ENSUQBG00000000504																																																																					
OG0023991				ENSANGG00005019422																																																																				
OG0023992																																																				ENSNSPG00005010888																				
OG0023993																																																	M0802_002401																							
OG0023994																ENSXCVG00005009245																																																								
OG0023995																									CELE_ZK666.12																																															
OG0023996																																															K0M31_005725																									
OG0023997																																				BRAKERXMBG00000013876																																				
OG0023998																																				BRAKERXMBG00000001227																																				
OG0023999			ENSUQBG00000002533																																																																					
OG0024000																																																	M0802_000721																							
OG0024001																																				BRAKERXMBG00000005855																																				
OG0024002																																	Dmel_CG42851																																							
OG0024003																																								ENSBXKG00010002272																																
OG0024004																									CELE_ZK892.5																																															
OG0024005																																																WN51_07519																								
OG0024006																															ENSDSXG00000005452																																									
OG0024007																				ENSBPTG00005009822																																																				
OG0024008																																				BRAKERXMBG00000006964																																				
OG0024009																																	Dmel_CG30114																																							
OG0024010																																								ENSBXKG00010007974																																
OG0024011																																																															ENSTFMG00005001475									
OG0024012																																																	M0802_000399																							
OG0024013																																																			LOC116417288																					
OG0024014			ENSUQBG00000015003																																																																					
OG0024015																				ENSBPTG00005003723																																																				
OG0024016																																																														QLX08_007654										
OG0024017																														ENSDMDG00010011069																																										
OG0024018																																				BRAKERXMBG00000017966																																				
OG0024019																																				BRAKERXMBG00000005566																																				
OG0024020																																												ENSMEOG00010009183																												
OG0024021																																				BRAKERXMBG00000015224																																				
OG0024022											LOC117174787																																																													
OG0024023																																				BRAKERXMBG00000009023																																				
OG0024024																																				BRAKERXMBG00000001957																																				
OG0024025																																															K0M31_003449																									
OG0024026																																												ENSMEOG00010008788																												
OG0024027																																																			LOC103315488																					
OG0024028																														ENSDMDG00010003115																																										
OG0024029																																																WN51_00109																								
OG0024030																																								ENSBXKG00010007764																																
OG0024031																																																											M0804_010624													
OG0024032																																				BRAKERXMBG00000001799																																				
OG0024033																					ENSBSYG00000022854																																																			
OG0024034																																				BRAKERXMBG00000003996																																				
OG0024035																				ENSBPTG00005013346																																																				
OG0024036																																									ENSLLVG00000012845																															
OG0024037																																				BRAKERXMBG00000019517																																				
OG0024038														ENSBHYG00000015145																																																										
OG0024039																																																	M0802_005472																							
OG0024040																																	Dmel_CG33755																																							
OG0024041																																								ENSBXKG00010004803																																
OG0024042																																																WN51_05696																								
OG0024043																																																														QLX08_000264										
OG0024044																																				BRAKERXMBG00000019294																																				
OG0024045																				ENSBPTG00005008237																																																				
OG0024046																					ENSBSYG00000013018																																																			
OG0024047			ENSUQBG00000014992																																																																					
OG0024048																																									ENSLLVG00000000925																															
OG0024049																																									ENSLLVG00000010138																															
OG0024050			ENSUQBG00000014475																																																																					
OG0024051																					ENSBSYG00000021502																																																			
OG0024052																																							LOC105185618																																	
OG0024053																																															K0M31_019878																									
OG0024054																																																																					ENSVGEG00000013417			
OG0024055																																																																	LOC122412441							
OG0024056																																				BRAKERXMBG00000018377																																				
OG0024057																																																	M0802_003249																							
OG0024058							LOC116414058																																																																	
OG0024059																																																											M0804_005097													
OG0024060														ENSBHYG00000022157																																																										
OG0024061																																								ENSBXKG00010011670																																
OG0024062																														ENSDMDG00010012700																																										
OG0024063																															ENSDSXG00000012178																																									
OG0024064																																																	M0802_001940																							
OG0024065																																	Dmel_CG15635																																							
OG0024066																																																																					ENSVGEG00000009850			
OG0024067																																																														QLX08_000989										
OG0024068				ENSANGG00005018679																																																																				
OG0024069																																				BRAKERXMBG00000010890																																				
OG0024070																																																																					ENSVGEG00000005968			
OG0024071																									CELE_F33E2.6																																															
OG0024072			ENSUQBG00000002067																																																																					
OG0024073																																				BRAKERXMBG00000011311																																				
OG0024074																																															K0M31_004010																									
OG0024075																																																																	LOC122413565							
OG0024076				ENSANGG00005010078																																																																				
OG0024077																									CELE_T05B4.5																																															
OG0024078																																	Dmel_CG15258																																							
OG0024079													ENSBHTG00000008418																																																											
OG0024080														ENSBHYG00000011161																																																										
OG0024081																																																													LOC120359234											
OG0024082																									CELE_Y37D8A.15																																															
OG0024083																									CELE_F38E11.8																																															
OG0024084																														ENSDMDG00010003374																																										
OG0024085																																																																	LOC122409817							
OG0024086																																																											M0804_011750													
OG0024087																																																											M0804_008098													
OG0024088																																																	M0802_002163																							
OG0024089																																				BRAKERXMBG00000014724																																				
OG0024090																																				BRAKERXMBG00000006953																																				
OG0024091																																																																					ENSVGEG00000012361			
OG0024092														ENSBHYG00000005062																																																										
OG0024093																									CELE_T25B6.6																																															
OG0024094																																																															ENSTFMG00005001014									
OG0024095																																																																					ENSVGEG00000005873			
OG0024096			ENSUQBG00000001838																																																																					
OG0024097																																				BRAKERXMBG00000015843																																				
OG0024098														ENSBHYG00000011713																																																										
OG0024099																																				BRAKERXMBG00000014458																																				
OG0024100																									CELE_ZC13.10																																															
OG0024101																																	Dmel_CG1338																																							
OG0024102																																													LOC143264499																											
OG0024103			ENSUQBG00000013329																																																																					
OG0024104																																				BRAKERXMBG00000015336																																				
OG0024105																				ENSBPTG00005000832																																																				
OG0024106																																				BRAKERXMBG00000004443																																				
OG0024107																																																								ENSPLGG00000006550																
OG0024108																									CELE_C49F5.12																																															
OG0024109																									CELE_F35G12.5																																															
OG0024110																																																											M0804_008747													
OG0024111																																															K0M31_005980																									
OG0024112																																																																					ENSVGEG00000007098			
OG0024113																															ENSDSXG00000008312																																									
OG0024114			ENSUQBG00000004467																																																																					
OG0024115																									CELE_ZC21.3																																															
OG0024116																																															K0M31_016350																									
OG0024117																																																							LOC114872380																	
OG0024118																																						LOC143355704																																		
OG0024119																																															K0M31_008193																									
OG0024120																																																			LOC107982108																					
OG0024121			ENSUQBG00000013809																																																																					
OG0024122																																								ENSBXKG00010002931																																
OG0024123																																																											M0804_010251													
OG0024124																																				BRAKERXMBG00000012521																																				
OG0024125													ENSBHTG00000006032																																																											
OG0024126																									CELE_K07E3.2																																															
OG0024127																																												ENSMEOG00010000712																												
OG0024128																					ENSBSYG00000017767																																																			
OG0024129																																															K0M31_007126																									
OG0024130																																															K0M31_017449																									
OG0024131																									CELE_T21C12.3																																															
OG0024132				ENSANGG00005002151																																																																				
OG0024133																																																	M0802_005439																							
OG0024134																																																	M0802_014920																							
OG0024135																									CELE_F56F4.4																																															
OG0024136																																															K0M31_008637																									
OG0024137																																																				ENSNSPG00005011795																				
OG0024138																																																WN51_09408																								
OG0024139																																																	M0802_015964																							
OG0024140																																																	M0802_016013																							
OG0024141																									CELE_C54G10.1																																															
OG0024142														ENSBHYG00000024910																																																										
OG0024143									LOC102653797																																																															
OG0024144																																																						LOC111674305																		
OG0024145																																																				ENSNSPG00005006421																				
OG0024146																																																											M0804_009507													
OG0024147																											LOC113464940																																													
OG0024148																																												ENSMEOG00010007397																												
OG0024149																																															K0M31_000581																									
OG0024150												ENSBCMG00005037018																																																												
OG0024151																																							LOC112589652																																	
OG0024152																											LOC108629984																																													
OG0024153																									CELE_F10C2.2																																															
OG0024154																																																											M0804_011630													
OG0024155																																								ENSBXKG00010010928																																
OG0024156																				ENSBPTG00005011861																																																				
OG0024157																																																											M0804_009603													
OG0024158																																							LOC109504007																																	
OG0024159																																	Dmel_CG12689																																							
OG0024160																																																	M0802_002007																							
OG0024161																																															K0M31_020148																									
OG0024162																																															K0M31_011077																									
OG0024163																																																											M0804_005207													
OG0024164										LOC105625177																																																														
OG0024165																																																	M0802_007710																							
OG0024166																																															K0M31_014939																									
OG0024167																									CELE_K02A2.5																																															
OG0024168																																															K0M31_010841																									
OG0024169																									CELE_M7.7																																															
OG0024170																																		LOC107190315																																						
OG0024171																																																											M0804_012667													
OG0024172			ENSUQBG00000003824																																																																					
OG0024173																																																							LOC123988206																	
OG0024174																																																WN51_01114																								
OG0024175														ENSBHYG00000024379																																																										
OG0024176																								ENSBLBG00005004445																																																
OG0024177												ENSBCMG00005033937																																																												
OG0024178																																																				ENSNSPG00005000498																				
OG0024179																																																WN51_12025																								
OG0024180																																															K0M31_010132																									
OG0024181																																															K0M31_010532																									
OG0024182																																																	M0802_007626																							
OG0024183																																															K0M31_007992																									
OG0024184																																								ENSBXKG00010011460																																
OG0024185																								ENSBLBG00005001271																																																
OG0024186																																																	M0802_005631																							
OG0024187																																								ENSBXKG00010011033																																
OG0024188				ENSANGG00005019643																																																																				
OG0024189																																				BRAKERXMBG00000010718																																				
OG0024190																																				BRAKERXMBG00000014457																																				
OG0024191																																															K0M31_009386																									
OG0024192																																				BRAKERXMBG00000015019																																				
OG0024193																																																				ENSNSPG00005012821																				
OG0024194																																															K0M31_018666																									
OG0024195																																															K0M31_014906																									
OG0024196																																															K0M31_004878																									
OG0024197																																																	M0802_007840																							
OG0024198													ENSBHTG00000017629																																																											
OG0024199																																				BRAKERXMBG00000002761																																				
OG0024200																																								ENSBXKG00010012437																																
OG0024201			ENSUQBG00000001810																																																																					
OG0024202																																								ENSBXKG00010012223																																
OG0024203			ENSUQBG00000014859																																																																					
OG0024204								LOC122717566																																																																
OG0024205																																																																					ENSVGEG00000006888			
OG0024206			ENSUQBG00000010489																																																																					
OG0024207																																				BRAKERXMBG00000000318																																				
OG0024208																																																	M0802_008202																							
OG0024209											LOC117182962																																																													
OG0024210			ENSUQBG00000012105																																																																					
OG0024211																																															K0M31_001249																									
OG0024212																												LOC143344921																																												
OG0024213																																				BRAKERXMBG00000013093																																				
OG0024214																																	Dmel_CG44476																																							
OG0024215					LOC114577805																																																																			
OG0024216																		ENSAMQG00000012303																																																						
OG0024217																																															K0M31_019841																									
OG0024218																					ENSBSYG00000021017																																																			
OG0024219																																								ENSBXKG00010008947																																
OG0024220																																								ENSBXKG00010007913																																
OG0024221																									CELE_ZC155.5																																															
OG0024222																																											LOC105673353																													
OG0024223														ENSBHYG00000024312																																																										
OG0024224																																	Dmel_CG14835																																							
OG0024225																	ENSZWKG00000013777																																																							
OG0024226																									CELE_Y47G6A.25																																															
OG0024227																																				BRAKERXMBG00000014706																																				
OG0024228																																																	M0802_008324																							
OG0024229																																																														QLX08_007032										
OG0024230																																																	M0802_004156																							
OG0024231																																	Dmel_CG9568																																							
OG0024232																																																											M0804_009675													
OG0024233																																															K0M31_004411																									
OG0024234			ENSUQBG00000010170																																																																					
OG0024235																																												ENSMEOG00010005717																												
OG0024236																																				BRAKERXMBG00000011743																																				
OG0024237																																															K0M31_016949																									
OG0024238																																																											M0804_001126													
OG0024239																																				BRAKERXMBG00000017907																																				
OG0024240												ENSBCMG00005033547																																																												
OG0024241																															ENSDSXG00000006473																																									
OG0024242																																																											M0804_010752													
OG0024243																																																														QLX08_004911										
OG0024244			ENSUQBG00000013981																																																																					
OG0024245																																																WN51_04079																								
OG0024246																																									ENSLLVG00000002007																															
OG0024247			ENSUQBG00000007210																																																																					
OG0024248																					ENSBSYG00000022131																																																			
OG0024249		ENSANRG00005003244																																																																						
OG0024250			ENSUQBG00000008176																																																																					
OG0024251																																																																					ENSVGEG00000011853			
OG0024252																																				BRAKERXMBG00000006829																																				
OG0024253																																				BRAKERXMBG00000019019																																				
OG0024254																																																																					ENSVGEG00000000911			
OG0024255																																				BRAKERXMBG00000011367																																				
OG0024256																									CELE_H32K21.1																																															
OG0024257																																										ENSLMRG00010008983																														
OG0024258																									CELE_T28B11.1																																															
OG0024259																																															K0M31_017147																									
OG0024260																																				BRAKERXMBG00000004646																																				
OG0024261																																															K0M31_019330																									
OG0024262																																															K0M31_017992																									
OG0024263																									CELE_E03A3.10																																															
OG0024264																													LOC106636472																																											
OG0024265																																															K0M31_009637																									
OG0024266														ENSBHYG00000020144																																																										
OG0024267																																																																					ENSVGEG00000014103			
OG0024268																																															K0M31_009553																									
OG0024269																																																	M0802_004873																							
OG0024270																																																															ENSTFMG00005009624									
OG0024271																																								ENSBXKG00010013482																																
OG0024272																																ENSDSYG00005016079																																								
OG0024273																																										ENSLMRG00010006714																														
OG0024274																																																	M0802_003430																							
OG0024275																																															K0M31_006893																									
OG0024276																																																	M0802_008152																							
OG0024277																																								ENSBXKG00010000110																																
OG0024278											LOC117172853																																																													
OG0024279																																															K0M31_001088																									
OG0024280			ENSUQBG00000010305																																																																					
OG0024281																																															K0M31_007103																									
OG0024282																																				BRAKERXMBG00000005246																																				
OG0024283																																															K0M31_010169																									
OG0024284			ENSUQBG00000014520																																																																					
OG0024285																																				BRAKERXMBG00000016603																																				
OG0024286																																								ENSBXKG00010000969																																
OG0024287																																ENSDSYG00005016308																																								
OG0024288																																				BRAKERXMBG00000009916																																				
OG0024289																																																WN51_05282																								
OG0024290																					ENSBSYG00000015060																																																			
OG0024291																																															K0M31_010684																									
OG0024292																																				BRAKERXMBG00000010874																																				
OG0024293																																																WN51_03887																								
OG0024294		ENSANRG00005004026																																																																						
OG0024295																																				BRAKERXMBG00000016190																																				
OG0024296																								ENSBLBG00005007147																																																
OG0024297																																										ENSLMRG00010002782																														
OG0024298																									CELE_C31H1.8																																															
OG0024299																																																	M0802_003184																							
OG0024300																																								ENSBXKG00010010123																																
OG0024301																					ENSBSYG00000007225																																																			
OG0024302																																				BRAKERXMBG00000006978																																				
OG0024303											LOC117173422																																																													
OG0024304																		ENSAMQG00000006502																																																						
OG0024305																																				BRAKERXMBG00000012267																																				
OG0024306																																																															ENSTFMG00005006198									
OG0024307		ENSANRG00005004214																																																																						
OG0024308																																																WN51_08482																								
OG0024309																																				BRAKERXMBG00000019218																																				
OG0024310																																																	M0802_005009																							
OG0024311			ENSUQBG00000016403																																																																					
OG0024312											LOC117180264																																																													
OG0024313																																					LOC108570064																																			
OG0024314																																								ENSBXKG00010000447																																
OG0024315																																																														QLX08_002277										
OG0024316																																																	M0802_002473																							
OG0024317			ENSUQBG00000003445																																																																					
OG0024318																																								ENSBXKG00010007629																																
OG0024319																																				BRAKERXMBG00000013003																																				
OG0024320																																												ENSMEOG00010008741																												
OG0024321																																	Dmel_CG1176																																							
OG0024322																																																		LOC118645539																						
OG0024323																																																WN51_06296																								
OG0024324																									CELE_C18H2.8																																															
OG0024325																									CELE_F14H3.14																																															
OG0024326			ENSUQBG00000006143																																																																					
OG0024327																																				BRAKERXMBG00000016867																																				
OG0024328																																			LOC108554995																																					
OG0024329																									CELE_W09C2.9																																															
OG0024330																																	Dmel_CG32476																																							
OG0024331																																																											M0804_010182													
OG0024332																																				BRAKERXMBG00000008254																																				
OG0024333																									CELE_F41G3.18																																															
OG0024334																																				BRAKERXMBG00000007601																																				
OG0024335																																																																Lar								
OG0024336																																				BRAKERXMBG00000010727																																				
OG0024337																																																																					ENSVGEG00000003629			
OG0024338																																				BRAKERXMBG00000005617																																				
OG0024339																																																WN51_10324																								
OG0024340																																																				ENSNSPG00005001717																				
OG0024341			ENSUQBG00000007839																																																																					
OG0024342																																															K0M31_001458																									
OG0024343				ENSANGG00005016493																																																																				
OG0024344																																				BRAKERXMBG00000016940																																				
OG0024345																									CELE_C06E2.7																																															
OG0024346																																				BRAKERXMBG00000006321																																				
OG0024347																																																																					ENSVGEG00000015150			
OG0024348																									CELE_Y110A7A.21																																															
OG0024349																																							LOC112590160																																	
OG0024350																																																																					ENSVGEG00000013222			
OG0024351			ENSUQBG00000011340																																																																					
OG0024352																																				BRAKERXMBG00000012656																																				
OG0024353																															ENSDSXG00000002613																																									
OG0024354																																															K0M31_003911																									
OG0024355																																																WN51_06528																								
OG0024356																																																	M0802_015725																							
OG0024357			ENSUQBG00000011753																																																																					
OG0024358																																																											M0804_009277													
OG0024359																									CELE_F28A10.13																																															
OG0024360																									CELE_T27A10.2																																															
OG0024361			ENSUQBG00000003598																																																																					
OG0024362																										LOC112639877																																														
OG0024363																																	Dmel_CG15047																																							
OG0024364																																				BRAKERXMBG00000006480																																				
OG0024365																																										ENSLMRG00010000997																														
OG0024366																				ENSBPTG00005001855																																																				
OG0024367																																																			LOC103316674																					
OG0024368																																																											M0804_011468													
OG0024369																																																	M0802_001859																							
OG0024370																				ENSBPTG00005012845																																																				
OG0024371																																																											M0804_002260													
OG0024372																																																WN51_13045																								
OG0024373			ENSUQBG00000000189																																																																					
OG0024374																																																											M0804_007965													
OG0024375																																																														QLX08_010667										
OG0024376																														ENSDMDG00010002559																																										
OG0024377																																																																	LOC122405860							
OG0024378																																																														QLX08_003914										
OG0024379																																							LOC105186486																																	
OG0024380																																								ENSBXKG00010013247																																
OG0024381																																	Dmel_CG46467																																							
OG0024382																																								ENSBXKG00010000323																																
OG0024383																																														LOC117221546																										
OG0024384			ENSUQBG00000006063																																																																					
OG0024385																																	Dmel_CG15220																																							
OG0024386																								ENSBLBG00005002794																																																
OG0024387																																				BRAKERXMBG00000001755																																				
OG0024388																																															K0M31_017606																									
OG0024389												ENSBCMG00005018438																																																												
OG0024390																																																	M0802_009567																							
OG0024391																																																											M0804_011911													
OG0024392			ENSUQBG00000015666																																																																					
OG0024393																																												ENSMEOG00010009336																												
OG0024394			ENSUQBG00000001381																																																																					
OG0024395																																				BRAKERXMBG00000007758																																				
OG0024396																																				BRAKERXMBG00000005757																																				
OG0024397														ENSBHYG00000022074																																																										
OG0024398																																																																		LOC124422717						
OG0024399																																																											M0804_014653													
OG0024400																										LOC112639779																																														
OG0024401																																										ENSLMRG00010013168																														
OG0024402																																				BRAKERXMBG00000014191																																				
OG0024403																					ENSBSYG00000003284																																																			
OG0024404																																																										LOC107064374														
OG0024405																																																														QLX08_004463										
OG0024406																																																														QLX08_003566										
OG0024407																																															K0M31_013308																									
OG0024408																																				BRAKERXMBG00000011994																																				
OG0024409																					ENSBSYG00000019104																																																			
OG0024410																	ENSZWKG00000010053																																																							
OG0024411																																							LOC112588215																																	
OG0024412																																																																					ENSVGEG00000013262			
OG0024413																																																	M0802_010863																							
OG0024414																																				BRAKERXMBG00000017826																																				
OG0024415			ENSUQBG00000013834																																																																					
OG0024416					LOC107994594																																																																			
OG0024417			ENSUQBG00000014691																																																																					
OG0024418																																															K0M31_011782																									
OG0024419																																				BRAKERXMBG00000016847																																				
OG0024420																																															K0M31_011524																									
OG0024421																									CELE_C41D11.5																																															
OG0024422																									CELE_K09D9.3																																															
