"ortholog","hog_n13","orthogroup","broad_orthogroup","gene_tree_parent_clade","gene_pd","gene_vv","genomic_member_count_pd","genomic_member_count_vv","relationship_class","gene_dmel","gene_dmel_from_pd_str","gene_dmel_from_vv_str","gene_dmel_shared_str","gene_dmel_union_str","dmel_mapping_confidence","symbol_pd","description_pd","genetype_pd","ntranscripts_pd","symbol_vv","description_vv","genetype_vv","ntranscripts_vv","chromosome_vv","accession_vv","start_vv","stop_vv","symbol_dmel","description_dmel","genetype_dmel","highest_tissue_Female","highest_tissue_Larva","highest_tissue_Male","top_log2_enrich_Female","top_log2_enrich_Larva","top_log2_enrich_Male","tau_Female","tau_Larva","tau_Male","identical_symbol_pd_vv","loading_SC","loading_Stage","loading_Species","top_SC","top_SC_pos","top_SC_neg","top_Stage","top_Stage_pos","top_Stage_neg","top_Species","top_Species_pos","top_Species_neg","rank_SC_loading_pos","rank_SC_loading_neg","rank_Stage_loading_pos","rank_Stage_loading_neg","rank_Species_loading_pos","rank_Species_loading_neg","VIP_SC","VIP_Stage","VIP_Species"
"N13.HOG0004647","N13.HOG0004647","N13.HOG0004647","OG0001496","n0","LOC107070699","LOC127062913",1,1,"one_to_one","FBgn0033628","FBgn0033628","FBgn0033628","FBgn0033628","FBgn0033628","shared_pd_and_vv","LOC107070699","uncharacterized LOC107070699","PROTEIN_CODING","1","LOC127062913","uncharacterized LOC127062913","PROTEIN_CODING","1","4","NC_066589.1","3245325","3250766","CG13203","","PROTEIN_CODING","Brain","Fat Body","Brain","3.76248159511696","-0.736946358745272","0.775292559419186","0.878947368421053","0.916666666666667","0.850722311396469",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004648","N13.HOG0004648","N13.HOG0004648","OG0001497","n0","LOC107072773","LOC127061886",1,1,"one_to_one","FBgn0002525, FBgn0010397","FBgn0002525, FBgn0010397","FBgn0002525, FBgn0010397","FBgn0002525, FBgn0010397","FBgn0002525, FBgn0010397","shared_pd_and_vv","LOC107072773","lamin Dm0-like","PROTEIN_CODING","2","LOC127061886","lamin Dm0-like","PROTEIN_CODING","4","2","NC_066587.1","16130348","16143785","Lam | LamC","Lamin | Lamin C","PROTEIN_CODING","Ovary | Hindgut","Salivary Gland | Hindgut","Brain | Hindgut","0.461010899939445 | 2.13375871530415","-0.521926845042823 | 1.52345353590316","0.395928624263956 | 1.51316213240351","0.737691466083151 | 0.693223028105168","0.448897795591182 | 0.5686392310003","0.460244897959184 | 0.5926614481409",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004649","N13.HOG0004649","N13.HOG0004649","OG0001498","n0","LOC107071528","LOC127070388",1,1,"one_to_one","","","","","","none","LOC107071528","uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02-like","PROTEIN_CODING","1","LOC127070388","serine-rich adhesin for platelets-like","PROTEIN_CODING","3","18","NC_066603.1","2520360","2573179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004650","N13.HOG0004650","N13.HOG0004650","OG0001499","n21","LOC107073815","LOC127061806",1,1,"one_to_one","","","","","","none","LOC107073815","targeting protein for Xklp2-like","PROTEIN_CODING","1","LOC127061806","titin homolog","PROTEIN_CODING","1","2","NC_066587.1","14616441","14619137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.0210592668182753,0.0014326112210381,-0.00717128970697886,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,363,NA,2098,NA,NA,1600,0.694796376995318,0.377296372377057,0.494247034681797
"N13.HOG0004651","N13.HOG0004651","N13.HOG0004651","OG0001499","n34","LOC107065198, LOC107065313","LOC127067899",2,1,"many_to_one","","","","","","none","LOC107065198 | LOC107065313","uncharacterized LOC107065198 | targeting protein for Xklp2 homolog","PROTEIN_CODING","1","LOC127067899","uncharacterized LOC127067899","PROTEIN_CODING","1","12","NC_066597.1","4769049","4772078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004652","N13.HOG0004652","N13.HOG0004652","OG0001500","n8","LOC107068910","LOC127070638",1,1,"one_to_one","FBgn0010407","FBgn0010407","FBgn0010407","FBgn0010407","FBgn0010407","shared_pd_and_vv","Ror","tyrosine-protein kinase transmembrane receptor Ror","PROTEIN_CODING","7","Ror","tyrosine-protein kinase transmembrane receptor Ror","PROTEIN_CODING","5","19","NC_066604.1","765195","1051741","Ror","RTK-like orphan receptor","PROTEIN_CODING","Brain","Midgut","Brain","4.63517048508217","-1.98935116852309","3.66296343082099","0.859909456740443","0.724264705882353","0.824113856068743",TRUE,-0.00520414320637641,0.0260892755827073,0.00973400286141935,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1718,58,NA,1560,NA,1.18079277191891,1.28824336849432,0.67086984997395
"N13.HOG0004653","N13.HOG0004653","N13.HOG0004653","OG0001501","n20","LOC107067234","LOC127072011",1,1,"one_to_one","","","","","","none","LOC107067234","myb-like protein D","PROTEIN_CODING","1","LOC127072011","protein PFC0760c-like","PROTEIN_CODING","2","24","NC_066609.1","2660344","2664468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-0.026716793731034,0.00433574197560685,0.0176859188182943,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,167,1759,NA,809,NA,1.14634383126911,0.937472449926953,1.21891783608439
"N13.HOG0004658","N13.HOG0004658","N13.HOG0004658","OG0001503","n0","LOC107066056","LOC127071376",1,1,"one_to_one","FBgn0001169","FBgn0001169","FBgn0001169","FBgn0001169","FBgn0001169","shared_pd_and_vv","H","hairless","PROTEIN_CODING","1","H","hairless","PROTEIN_CODING","1","21","NC_066606.1","1018916","1022565","H","Hairless","PROTEIN_CODING","Ovary","Salivary Gland","Fat Body","0.463552273312891","1.58496208435907","0.555337191080189","0.649181547619048","0.565656565656566","0.294309425014819",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004659","N13.HOG0004659","N13.HOG0004659","OG0001504","n0","LOC107064117","LOC127072556",1,1,"one_to_one","FBgn0038974","FBgn0038974","FBgn0038974","FBgn0038974","FBgn0038974","shared_pd_and_vv","LOC107064117","valacyclovir hydrolase","PROTEIN_CODING","6","LOC127072556","valacyclovir hydrolase","PROTEIN_CODING","3","1","NC_066586.1","7977882","7983534","CG5377","","PROTEIN_CODING","Midgut","Fat Body","Tubule","0.653927892992395","2.16240359363899","0.272215857394241","0.305543087971275","0.754676753782669","0.387789172430241",FALSE,0.0230767219916269,-0.00258877535097354,-0.00069301752144094,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,274,NA,NA,2159,NA,2214,0.671458507717037,0.122982322613298,0.0477629365079733
"N13.HOG0004660","N13.HOG0004660","N13.HOG0004660","OG0001505","n15","LOC107072277","LOC127065192",1,1,"one_to_one","FBgn0287478","FBgn0287478","FBgn0287478","FBgn0287478","FBgn0287478","shared_pd_and_vv","Camta","Calmodulin-binding transcription activator","PROTEIN_CODING","5","Camta","Calmodulin-binding transcription activator","PROTEIN_CODING","6","7","NC_066592.1","3738127","3789825","Camta","Calmodulin-binding transcription activator","PROTEIN_CODING","Tubule","Tubule","Tubule","2.48570424284397","2.41625468526151","1.72182385421223","0.644068816169394","0.684177215189873","0.52063021054119",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004662","N13.HOG0004662","N13.HOG0004662","OG0001506","n0","LOC107068268","LOC127062811",1,1,"one_to_one","","","","","","none","LOC107068268","prostaglandin reductase 1-like","PROTEIN_CODING","1","LOC127062811","prostaglandin reductase 1-like","PROTEIN_CODING","1","3","NC_066588.1","3205787","3207774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004663","N13.HOG0004663","N13.HOG0004663","OG0001507","n0","LOC107066404","LOC127061927",1,1,"one_to_one","FBgn0011566, FBgn0038470","FBgn0011566, FBgn0038470","FBgn0011566, FBgn0038470","FBgn0011566, FBgn0038470","FBgn0011566, FBgn0038470","shared_pd_and_vv","Smyd3","SET and MYND domain containing, class 3","PROTEIN_CODING","2","Smyd3","SET and MYND domain containing, class 3","PROTEIN_CODING","2","2","NC_066587.1","10902137","10904801","Smyd3 | CG18213","SET and MYND domain containing, class 3","PROTEIN_CODING","Ovary","Midgut | Salivary Gland","Ganglion","0.403987228495751 | 0.927649049525383","0.567740608299929 | 1.42146347490299","1.16061094244778 | 1.72671460649902","0.461838534599729 | 0.862244897959184","0.411572052401747 | 0.817272727272727","0.377744880335554 | 0.722307104660046",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004664","N13.HOG0004664","N13.HOG0004664","OG0001508","n0","LOC107066198","LOC127067546",1,1,"one_to_one","FBgn0029980","FBgn0029980","FBgn0029980","FBgn0029980","FBgn0029980","shared_pd_and_vv","Dhdds","Dehydrodolichyl diphosphate synthase subunit","PROTEIN_CODING","3","Dhdds","Dehydrodolichyl diphosphate synthase subunit","PROTEIN_CODING","2","11","NC_066596.1","7304407","7306550","Dhdds","Dehydrodolichyl diphosphate synthase subunit","PROTEIN_CODING","Hindgut","Fat Body","Hindgut","1.39953797651489","1.58616113033021","2.05182170513463","0.607243782969103","0.441756644518272","0.563073948767521",TRUE,-0.014446864793138,-0.0175185967271481,0.00435193475003815,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,802,NA,792,2006,NA,0.858843589734594,0.827295270593181,0.299936403802207
"N13.HOG0004665","N13.HOG0004665","N13.HOG0004665","OG0001509","n0","LOC107064000, LOC107067167","LOC127066480",2,1,"many_to_one","FBgn0003483","FBgn0003483","FBgn0003483","FBgn0003483","FBgn0003483","shared_pd_and_vv","spn-E | LOC107067167","spindle E | putative ATP-dependent RNA helicase TDRD9","PROTEIN_CODING","1","spn-E","spindle E","PROTEIN_CODING","2","9","NC_066594.1","4192141","4197635","spn-E","spindle E","PROTEIN_CODING","Ovary","Fat Body","Eye","0.638345215414539","1.70454041259401","0.433509773330118","0.945511157239232","0.818181818181818","0.865866957470011",FALSE,-0.00667299059069119,-0.000682157979039105,-0.023315214468441,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,1538,NA,2392,NA,42,1.11551274560525,1.20866665901863,1.60689026449215
"N13.HOG0004666","N13.HOG0004666","N13.HOG0004666","OG0001510","n0","LOC107073295","LOC127065443",1,1,"one_to_one","FBgn0265192","FBgn0265192","FBgn0265192","FBgn0265192","FBgn0265192","shared_pd_and_vv","LOC107073295","ERI1 exoribonuclease 3","PROTEIN_CODING","1","LOC127065443","26S proteasome non-ATPase regulatory subunit 6-like","PROTEIN_CODING","1","7","NC_066592.1","7833664","7836240","Snp","Snipper","PROTEIN_CODING","Tubule","Midgut","Tubule","2.29487255366258","1.06614029149897","1.51738490333893","0.82697579393814","0.481494611457742","0.783604961419197",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004667","N13.HOG0004667","N13.HOG0004667","OG0001511","n0","LOC107072881, LOC107072907","LOC127066571",2,1,"many_to_one","FBgn0035154, FBgn0051821, FBgn0051823, FBgn0052483","FBgn0035154, FBgn0051821, FBgn0051823, FBgn0052483","FBgn0035154, FBgn0051821, FBgn0051823, FBgn0052483","FBgn0035154, FBgn0051821, FBgn0051823, FBgn0052483","FBgn0035154, FBgn0051821, FBgn0051823, FBgn0052483","shared_pd_and_vv","LOC107072881 | LOC107072907","retinoid-inducible serine carboxypeptidase-like","PROTEIN_CODING","1","LOC127066571","retinoid-inducible serine carboxypeptidase-like","PROTEIN_CODING","1","9","NC_066594.1","6446276","6449153","hiro | CG31821 | CG31823 | CG32483","highroad","PROTEIN_CODING","Midgut | Hindgut","Midgut | Hindgut","Midgut | Hindgut","4.44108823009249 | 3.28163350789828 | 3.46328201488344 | 4.42013620325051","2.53724418028635 | 2.1859212718484 | 3.46466301895032 | 1.46350187429961","4.00745660802532 | 3.05582944555834 | 3.01197143800144 | 3.72166979509335","0.995652834369862 | 0.915539678489411 | 0.905166666666667 | 0.992708812701335","0.994688054167338 | 0.809378960709759 | 0.929347826086957 | 0.999502817368247","0.995284798189363 | 0.939016801493466 | 0.812615955473098 | 0.988197648804693",FALSE,0.0139567813953603,-0.0198241068274714,-0.00791492886083422,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,803,NA,NA,613,NA,1540,0.984948175397604,0.989710492107958,0.545498826435324
"N13.HOG0004668","N13.HOG0004668","N13.HOG0004668","OG0001512","n14","LOC107073810","LOC127061520",1,1,"one_to_one","FBgn0264386","FBgn0264386","FBgn0264386","FBgn0264386","FBgn0264386","shared_pd_and_vv","Ca-alpha1T","Ca[2+]-channel protein alpha[[1]] subunit T","PROTEIN_CODING","5","Ca-alpha1T","Ca[2+]-channel protein alpha[[1]] subunit T","PROTEIN_CODING","6","2","NC_066587.1","19026900","19082142","Ca-alpha1T","Ca[2+]-channel protein alpha[[1]] subunit T","PROTEIN_CODING","Brain","Hindgut","Brain","3.51405317735953","2.47129496864764","1.76904536409422","0.86500314861461","0.885245901639344","0.836309523809524",TRUE,-0.000955823129736867,0.023122044712306,-0.00510611029485139,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2319,225,NA,NA,1784,0.985416291959535,1.08336749541666,0.351914366188907
"N13.HOG0004669","N13.HOG0004669","N13.HOG0004669","OG0001513","n0","LOC107071880","LOC127070024",1,1,"one_to_one","FBgn0004649","FBgn0004649","FBgn0004649","FBgn0004649","FBgn0004649","shared_pd_and_vv","yl","Putative vitellogenin receptor yl","PROTEIN_CODING","4","yl","Putative vitellogenin receptor yl","PROTEIN_CODING","1","17","NC_066602.1","4567902","4579436","yl","yolkless","PROTEIN_CODING","Ovary","Fat Body","Salivary Gland","0.391832998568543","1.58486632746328","3.99523935305445","0.945400876696833","0.916666666666667","0.922206506364922",TRUE,-0.0202137646350965,0.000536601858274073,0.0112963344893306,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,436,2220,NA,1443,NA,0.787491858735233,0.585919757011612,0.778546126604254
"N13.HOG0004670","N13.HOG0004670","N13.HOG0004670","OG0001514","n9","LOC107066703","LOC127071049",1,1,"one_to_one","","","","","","none","LOC107066703","uncharacterized LOC107066703","PROTEIN_CODING","1","LOC127071049","uncharacterized LOC127071049","PROTEIN_CODING","1","20","NC_066605.1","1730144","1737669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-0.00602164096840247,0.0178489193938291,-0.0147108527637849,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1621,649,NA,NA,1159,1.02665873576086,1.11304473684362,1.01387555840416
"N13.HOG0004671","N13.HOG0004671","N13.HOG0004671","OG0001514","n24","LOC107066679","LOC127071051",1,1,"one_to_one","","","","","","none","LOC107066679","ranBP-type and C3HC4-type zinc finger-containing protein 1-like","PROTEIN_CODING","1","LOC127071051","ranBP-type and C3HC4-type zinc finger-containing protein 1-like","PROTEIN_CODING","4","20","NC_066605.1","1723714","1729997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004672","N13.HOG0004672","N13.HOG0004672","OG0001515","n3","LOC107064289","LOC127065055",1,1,"one_to_one","FBgn0015600","FBgn0015600","FBgn0015600","FBgn0015600","FBgn0015600","shared_pd_and_vv","toc","toucan","PROTEIN_CODING","7","toc","toucan","PROTEIN_CODING","6","1","NC_066586.1","11450251","11492014","toc","toucan","PROTEIN_CODING","Brain","Midgut","Brain","1.12965559110016","1.0235632522996","0.171558495733669","0.546022727272727","0.538291605301915","0.53775368085953",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004673","N13.HOG0004673","N13.HOG0004673","OG0001516","n0","LOC107071742","LOC127069957",1,1,"one_to_one","FBgn0031850","FBgn0031850","FBgn0031850","FBgn0031850","FBgn0031850","shared_pd_and_vv","Tsp","Thrombospondin","PROTEIN_CODING","1","Tsp","Thrombospondin","PROTEIN_CODING","2","17","NC_066602.1","4277197","4284405","Tsp","Thrombospondin","PROTEIN_CODING","Eye","Hindgut","Eye","5.0691890474661","-1.97912003266561","2.884585555798","0.992469475379042","0.531609195402299","0.986596519627681",TRUE,-0.0162739028555944,-0.0150183852602808,-0.00430379374235297,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,680,NA,947,NA,1864,0.802531297797347,0.717888884070042,0.296618513817671
"N13.HOG0004681","N13.HOG0004681","N13.HOG0004681","OG0001519","n0","LOC107071432","LOC127072150",1,1,"one_to_one","","","","","","none","LOC107071432","cytochrome P450 4c3-like","PROTEIN_CODING","1","LOC127072150","cytochrome P450 4c3-like","PROTEIN_CODING","1","24","NC_066609.1","1324358","1341590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004683","N13.HOG0004683","N13.HOG0004683","OG0001520","n32","LOC107067343","LOC127072063",1,1,"one_to_one","FBgn0003460","FBgn0003460","FBgn0003460","FBgn0003460","FBgn0003460","shared_pd_and_vv","so","sine oculis","PROTEIN_CODING","2","so","sine oculis","PROTEIN_CODING","2","24","NC_066609.1","2789904","2818073","so","sine oculis","PROTEIN_CODING","Eye","Hindgut","Eye","4.96030317028754","-0.56187814890196","3.29703606677042","0.980029585798817","0.813492063492063","0.970835723847772",TRUE,-0.00795657044758056,0.00586218609306921,0.0166310159524197,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,1374,1588,NA,992,NA,0.851385236427594,0.902090017585152,1.14621367342472
"N13.HOG0004687","N13.HOG0004687","N13.HOG0004687","OG0001522","n0","LOC107064851","LOC127067464",1,1,"one_to_one","FBgn0004435, FBgn0033756, FBgn0050054","FBgn0004435, FBgn0033756, FBgn0050054","FBgn0004435, FBgn0033756, FBgn0050054","FBgn0004435, FBgn0033756, FBgn0050054","FBgn0004435, FBgn0033756, FBgn0050054","shared_pd_and_vv","Galphaq","G protein alpha q subunit","PROTEIN_CODING","11","Galphaq","G protein alpha q subunit","PROTEIN_CODING","11","11","NC_066596.1","5860277","5889415","Galphaq | CG17760 | CG30054","G protein alpha subunit q","PROTEIN_CODING","Eye | Brain","Tubule","Eye | Brain","4.99337364390549 | 3.87913920205711 | 4.92577802214898","0.799154019625602 | -0.985352502837327 | 0.784053681368048","4.02223643745002 | 2.64950037494696 | 4.13713666223994","0.953509914441625 | 0.809061488673139 | 0.922589900535578","0.287095175148711 | 0.535353535353535 | 0.235413839891452","0.959513720074536 | 0.804017857142857 | 0.932771167841054",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004689","N13.HOG0004689","N13.HOG0004689","OG0001523","n25","LOC107065431","LOC127072868",1,1,"one_to_one","FBgn0027359","FBgn0027359","FBgn0027359","FBgn0027359","FBgn0027359","shared_pd_and_vv","Tim8","translocase of inner membrane 8","PROTEIN_CODING","1","Tim8","translocase of inner membrane 8","PROTEIN_CODING","2","2","NC_066587.1","2405076","2406069","Tim8","Tim8","PROTEIN_CODING","Ovary","Fat Body","Ganglion","0.140570277902407","2.18268678440976","0.527898823746593","0.26929012345679","0.724408143939394","0.406352302012955",TRUE,0.00575381580937391,-0.02243715286081,-0.000894340370902246,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1494,NA,NA,354,NA,2191,0.942433951348082,1.02048899812761,0.0616381563673951
"N13.HOG0004690","N13.HOG0004690","N13.HOG0004690","OG0001524","n0","LOC107071185","LOC127065732",1,1,"one_to_one","FBgn0266418","FBgn0266418","FBgn0266418","FBgn0266418","FBgn0266418","shared_pd_and_vv","wake","wide awake","PROTEIN_CODING","6","wake","wide awake","PROTEIN_CODING","8","8","NC_066593.1","6819621","6912306","wake","wide awake","PROTEIN_CODING","Ganglion","Midgut","Eye","1.12657477534997","0.790473007194768","1.51297618055197","0.568633952254642","0.591337099811676","0.515393133997785",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004691","N13.HOG0004691","N13.HOG0004691","OG0001525","n0","LOC107067192","LOC127067751",1,1,"one_to_one","","","","","","none","LOC107067192","broad-complex core protein","PROTEIN_CODING","4","LOC127067751","protein bric-a-brac 2-like","PROTEIN_CODING","4","11","NC_066596.1","1854070","1885150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.0115237697234938,0.0247741764095001,-0.0065355463008707,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,970,NA,117,NA,NA,1651,1.11874818515912,1.17547061326442,0.450431444163723
"N13.HOG0004693","N13.HOG0004693","N13.HOG0004693","OG0001526","n12","LOC107067616","LOC127062935",1,1,"one_to_one","FBgn0036624","FBgn0036624","FBgn0036624","FBgn0036624","FBgn0036624","shared_pd_and_vv","LOC107067616","protein kinase C-binding protein 1-like","PROTEIN_CODING","3","LOC127062935","uncharacterized LOC127062935","PROTEIN_CODING","3","4","NC_066589.1","9746816","9772836","RAF2","RING-associated factor 2","PROTEIN_CODING","Ovary","Salivary Gland","Brain","0.283574895628442","1.37019864973774","0.822541035626873","0.675260718424102","0.614365971107544","0.296933433059087",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N13.HOG0004697","N13.HOG0004697","N13.HOG0004697","OG0001528","n0","LOC107068127","LOC127064450, LOC127066303",1,2,"one_to_many","FBgn0011272","FBgn0011272","FBgn0011272","FBgn0011272","FBgn0011272","shared_pd_and_vv","RpL13","ribosomal protein L13","PROTEIN_CODING","1","LOC127064450 | RpL13","60S ribosomal protein L13-like | ribosomal protein L13","PROTEIN_CODING","2 | 1","1","NC_066586.1","13059660 | 13049365","13061679 | 13051170","RpL13","Ribosomal protein L13","PROTEIN_CODING","Eye","Fat Body","Salivary Gland","1.26375249392079","1.49361109915671","1.03323572901336","0.433630127248169","0.590465910531457","0.224505354873843",FALSE,-0.00542937982560188,-0.0279715992889421,0.00107864492477514,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1691,NA,18,2346,NA,1.16709983595114,1.27212324178666,0.0743404711464761
"N13.HOG0004698","N13.HOG0004698","N13.HOG0004698","OG0001529","n12","LOC107067668","LOC127063884",1,1,"one_to_one","FBgn0042712","FBgn0042712","FBgn0042712","FBgn0042712","FBgn0042712","shared_pd_and_vv","HBS1","translation elongation factor EF-1alpha (GTPase) HBS1","PROTEIN_CODING","4","HBS1","translation elongation factor EF-1alpha (GTPase) HBS1","PROTEIN_CODING","2","5","NC_066590.1","649233","653739","HBS1","HBS1","PROTEIN_CODING","Eye","Fat Body","Eye","0.508341145249856","1.25550052354221","0.201372816186884","0.308636363636364","0.361256544502618","0.295192141995519",TRUE,0.00243982043507258,0.000649100216181227,-0.0218032547455474,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1919,NA,2203,NA,NA,148,1.03008791184773,1.13029942070157,1.50268563183434
"N13.HOG0004699","N13.HOG0004699","N13.HOG0004699","OG0001530","n21","LOC107063871","LOC127066616",1,1,"one_to_one","FBgn0010607","FBgn0010607","FBgn0010607","FBgn0010607","FBgn0010607","shared_pd_and_vv","LOC107063871","uncharacterized LOC107063871","PROTEIN_CODING","4","LOC127066616","PH domain-containing protein DDB_G0287875-like","PROTEIN_CODING","8","10","NC_066595.1","1913613","1917731","l(2)05714","lethal (2) 05714","PROTEIN_CODING","Ovary","Salivary Gland","Brain","0.332154089714234","0.0788088292025911","0.849944325589205","0.538354139290407","0.30639367816092","0.226692363285955",FALSE,0.0089235640877925,0.0104684801149032,0.0185266219974361,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1184,NA,1136,NA,664,NA,1.00729300324742,1.0714662974181,1.27685930412103
"N13.HOG0004700","N13.HOG0004700","N13.HOG0004700","OG0001531","n4","LOC107074269","LOC127068892",1,1,"one_to_one","FBgn0260748","FBgn0260748","FBgn0260748","FBgn0260748","FBgn0260748","shared_pd_and_vv","LOC107074269","pleckstrin homology-like domain family B member 1","PROTEIN_CODING","1","LOC127068892","pleckstrin homology-like domain family B member 1","PROTEIN_CODING","1","14","NC_066599.1","1210074","1252977","CG5004","","PROTEIN_CODING","Midgut","Hindgut","Midgut","0.902121296121551","1.2229735681439","2.14498773249225","0.487582781456954","0.194259818731118","0.547967218383416",FALSE,-0.00416389444186104,0.0149313192597636,-0.0155756708315098,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,1863,820,NA,NA,1030,0.9661188690248,1.05440871163705,1.07347903044021
"N13.HOG0004703","N13.HOG0004703","N13.HOG0004703","OG0001532","n13","LOC107070130","LOC127069636",1,1,"one_to_one","FBgn0034158","FBgn0034158","FBgn0034158","FBgn0034158","FBgn0034158","shared_pd_and_vv","LOC107070130","ras-specific guanine nucleotide-releasing factor 2-like","PROTEIN_CODING","3","LOC127069636","ras-specific guanine nucleotide-releasing factor 2-like","PROTEIN_CODING","5","16","NC_066601.1","1264421","1335705","RalGPS","Ral GEF with PH domain and SH3 binding motif","PROTEIN_CODING","Ovary","Fat Body","Eye","0.244022414699633","0.743224404257412","1.42986476700341","0.338860544217687","0.531076066790352","0.554513584574934",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
