HOG	OG	Gene Tree Parent Clade	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean
N55.HOG0000457	OG0000056	n440					LOC108002686	LOC102670645		LOC122717783	LOC408670																																																															
N55.HOG0000458	OG0000057	n6					LOC108004175	LOC102676354		LOC122711433	LOC552279																																																															
N55.HOG0000459	OG0000057	n73					LOC107998544	LOC102673155		LOC122710712	LOC724952																																																															
N55.HOG0000460	OG0000057	n140					LOC107998648	LOC102673364		LOC122711089	LOC726392																																																															
N55.HOG0000461	OG0000057	n208					LOC108002408	LOC102673352		LOC122713654	LOC102655983																																																															
N55.HOG0000462	OG0000057	n276					LOC107998711			LOC122711111	LOC410507																																																															
N55.HOG0000463	OG0000057	n349					LOC107998543	LOC102673027		LOC122710602	LOC413934																																																															
N55.HOG0000464	OG0000057	n415					LOC107997771	LOC102679027		LOC122715837	LOC413816																																																															
N55.HOG0000465	OG0000058	n4					LOC107997090	LOC102678437		LOC122716411	LOC408759																																																															
N55.HOG0000466	OG0000058	n90					LOC107997125	LOC102677966		LOC122716405	LOC411564																																																															
N55.HOG0000467	OG0000058	n322					LOC107997083	LOC102677295		LOC122716340	LOC410976																																																															
N55.HOG0000468	OG0000058	n414					LOC107997129	LOC102679781		LOC122716404	LOC412295																																																															
N55.HOG0000469	OG0000060	n26					LOC108001091	LOC102678608		LOC122713028	LOC413959																																																															
N55.HOG0000470	OG0000060	n121					LOC107995966	LOC102680017		LOC122717983	LOC725051																																																															
N55.HOG0000471	OG0000060	n209					LOC107995947	LOC102681300, LOC116186356		LOC122717937	LOC551061																																																															
N55.HOG0000472	OG0000060	n312					LOC107996097	LOC102676402		LOC122719184	LOC409897																																																															
N55.HOG0000473	OG0000060	n395					LOC107995785	LOC102671280		LOC122718161	LOC410269																																																															
N55.HOG0000474	OG0000062	n1					LOC108002030	LOC102670685		LOC122716255	LOC727028																																																															
N55.HOG0000475	OG0000062	n73					LOC108001880	LOC102682002		LOC122716307	LOC727021																																																															
N55.HOG0000476	OG0000062	n134					LOC107993668	LOC102671906		LOC122719588	JHBP-1																																																															
N55.HOG0000477	OG0000062	n212					LOC108004406	LOC102671080		LOC122716308	LOC102656101																																																															
N55.HOG0000478	OG0000062	n340					LOC108004350	LOC102670820		LOC122716303	LOC552773																																																															
N55.HOG0000479	OG0000062	n404					LOC108004357	LOC102672725			LOC726981																																																															
N55.HOG0000480	OG0000063	n23					LOC108003645	LOC102671076		LOC122720665	LOC412197																																																															
N55.HOG0000481	OG0000063	n83					LOC107992961	LOC102670824		LOC122719351	LOC410857																																																															
N55.HOG0000482	OG0000063	n148					LOC107996025	LOC102676805		LOC122716727	LOC724449																																																															
N55.HOG0000483	OG0000063	n176					LOC107994022	LOC102677234		LOC122716731	LOC410087																																																															
N55.HOG0000484	OG0000063	n217					LOC107996023	LOC102677505		LOC122716733																																																																
N55.HOG0000485	OG0000063	n275					LOC107996026	LOC102677366		LOC122716732	LOC724274																																																															
N55.HOG0000486	OG0000063	n331					LOC107996022	LOC102677083		LOC122716728	LOC724367																																																															
N55.HOG0000487	OG0000063	n369					LOC107996028	LOC102676941		LOC122716725	LOC724405																																																															
N55.HOG0000488	OG0000063	n398					LOC107996027	LOC102676666		LOC122716730	LOC724488																																																															
N55.HOG0000489	OG0000064	n26					LOC108002047	LOC102678343		LOC122715816	LOC102653800																																																															
N55.HOG0000490	OG0000064	n119						LOC102678757			LOC408645																																																															
N55.HOG0000491	OG0000064	n137								LOC122715815																																																																
N55.HOG0000492	OG0000064	n202					LOC108002046																																																																			
N55.HOG0000493	OG0000064	n205					LOC108002045	LOC102679151		LOC122715974	LOC410788																																																															
N55.HOG0000494	OG0000064	n298								LOC122710854																																																																
N55.HOG0000495	OG0000064	n350					LOC108003470	LOC102676221		LOC122719524	LOC411050																																																															
N55.HOG0000496	OG0000064	n436					LOC107993584			LOC122719525																																																																
N55.HOG0000497	OG0000064	n439						LOC102677513		LOC122712534	LOC412993																																																															
N55.HOG0000498	OG0000065	n3					LOC107997540			LOC122710805																																																																
N55.HOG0000499	OG0000065	n62					LOC107999418	LOC102672854		LOC122716582	LOC408922																																																															
N55.HOG0000500	OG0000065	n138					LOC107997506	LOC102677795		LOC122710804	LOC725150																																																															
N55.HOG0000501	OG0000065	n224					LOC107999222	LOC102677059		LOC122716542	LOC411201																																																															
N55.HOG0000502	OG0000065	n246					LOC107999465	LOC102673816		LOC122716543	LOC411212																																																															
N55.HOG0000503	OG0000065	n402					LOC107999224	LOC102673299		LOC122716581	LOC411213																																																															
N55.HOG0000504	OG0000067	n61					LOC107994961	LOC102671788		LOC122711559	LOC724536																																																															
N55.HOG0000505	OG0000067	n145					LOC107995320	LOC102677339		LOC122718517	LOC725439																																																															
N55.HOG0000506	OG0000067	n216					LOC107996136	LOC102671905		LOC122719824	LOC724781																																																															
N55.HOG0000507	OG0000067	n277					LOC108000173	LOC102677773, LOC116186810		LOC122716179	LOC408421																																																															
N55.HOG0000508	OG0000070	n133					LOC107999358	LOC102677530		LOC122716655	LOC409619																																																															
N55.HOG0000509	OG0000070	n216					LOC107999471	LOC102678588		LOC122716658	LOC551224																																																															
N55.HOG0000510	OG0000070	n276					LOC107999359	LOC102674081		LOC122716657	LOC551180																																																															
N55.HOG0000511	OG0000071	n16					LOC107994367	LOC102676102		LOC122715066	LOC552357																																																															
N55.HOG0000512	OG0000071	n83					LOC107993622	LOC102672637		LOC122718472	Hbg3																																																															
N55.HOG0000513	OG0000071	n169					LOC107995328			LOC122718553	Hbg2																																																															
N55.HOG0000514	OG0000071	n304					LOC107993621	LOC102673438		LOC122718471	AGLU2																																																															
N55.HOG0000515	OG0000072	n36					LOC108002125	LOC102680829		LOC122715778	LOC410779																																																															
N55.HOG0000516	OG0000072	n124					LOC107993573	LOC102677285		LOC122713501	NLG-4																																																															
N55.HOG0000517	OG0000072	n183					LOC108002079	LOC102680323		LOC122715780	LOC410780																																																															
N55.HOG0000518	OG0000072	n274					LOC108004171	LOC102675213		LOC122713460	NLG-3																																																															
N55.HOG0000519	OG0000072	n357					LOC107993311	LOC102676311		LOC122713500	LOC724358																																																															
N55.HOG0000520	OG0000073	n16					LOC114578246				LOC113218993																																																															
N55.HOG0000521	OG0000073	n31					LOC107993503	LOC102677490			LOC102655188																																																															
N55.HOG0000522	OG0000073	n92					LOC133666682	LOC102679742			LOC100576534																																																															
N55.HOG0000523	OG0000073	n137					LOC114577190	LOC102679206																																																																		
N55.HOG0000524	OG0000073	n151					LOC107996567	LOC102680005			LOC102654541																																																															
N55.HOG0000525	OG0000073	n187									LOC102655047																																																															
N55.HOG0000526	OG0000073	n199						LOC102679498			LOC107964003																																																															
N55.HOG0000527	OG0000073	n208					LOC107993149																																																																			
N55.HOG0000528	OG0000073	n264					LOC107993498				LOC102654585																																																															
N55.HOG0000529	OG0000073	n266					LOC107993490	LOC102679870			LOC100578093																																																															
N55.HOG0000530	OG0000073	n348						LOC116185896																																																																		
N55.HOG0000531	OG0000073	n367					LOC107992921	LOC102678904																																																																		
N55.HOG0000532	OG0000073	n406						LOC102678301																																																																		
N55.HOG0000533	OG0000074	n30					LOC107992824	LOC102679103		LOC122714781	LOC724874																																																															
N55.HOG0000534	OG0000074	n173						LOC102670978																																																																		
N55.HOG0000535	OG0000074	n208					LOC108002539	LOC102676510		LOC122712765	LOC726505																																																															
N55.HOG0000536	OG0000074	n244						LOC102672387		LOC122715528																																																																
N55.HOG0000537	OG0000074	n246					LOC108004137	LOC102675730		LOC122711382	LOC551428																																																															
N55.HOG0000538	OG0000074	n352					LOC108003687	LOC102679289		LOC122715621	LOC412797																																																															
N55.HOG0000539	OG0000075	n1					LOC108000566	LOC102681612			LOC100576097																																																															
N55.HOG0000540	OG0000075	n111					LOC107992980	LOC102674937		LOC122717585	LOC100577496																																																															
N55.HOG0000541	OG0000075	n175					LOC107992977	LOC102681916		LOC122717600	LOC102653640																																																															
N55.HOG0000542	OG0000076	n25					LOC107999191	LOC116184843		LOC122718684	LOC552285																																																															
N55.HOG0000543	OG0000076	n96					LOC108000331	LOC102680203		LOC122711699	LOC551165																																																															
N55.HOG0000544	OG0000076	n192					LOC107999144	LOC102680067		LOC122718655	LOC724832																																																															
N55.HOG0000545	OG0000076	n263					LOC107999176	LOC102679471		LOC122718660	LOC725480																																																															
N55.HOG0000546	OG0000076	n332					LOC107999184	LOC102679808		LOC122718674	LOC413472																																																															
N55.HOG0000547	OG0000076	n391						LOC102679601		LOC122718867	LOC725513																																																															
N55.HOG0000548	OG0000077	n327									LOC113218609, LOC113218652																																																															
N55.HOG0000549	OG0000078	n32						LOC116185901																																																																		
N55.HOG0000550	OG0000078	n55					LOC133666694	LOC102677064																																																																		
N55.HOG0000551	OG0000078	n86						LOC102677937																																																																		
N55.HOG0000552	OG0000078	n120						LOC116185908																																																																		
N55.HOG0000553	OG0000078	n179					LOC107992863	LOC102677489																																																																		
N55.HOG0000554	OG0000078	n187					LOC133665631																																																																			
N55.HOG0000555	OG0000078	n218						LOC102677625																																																																		
N55.HOG0000556	OG0000078	n240						LOC116185899																																																																		
N55.HOG0000557	OG0000078	n290						LOC102677343																																																																		
N55.HOG0000558	OG0000078	n375					LOC107993823	LOC102678543																																																																		
N55.HOG0000559	OG0000078	n397						LOC116185907																																																																		
N55.HOG0000560	OG0000079	n6					LOC108000919	LOC102676630		LOC122712701	LOC552193																																																															
N55.HOG0000561	OG0000079	n74					LOC107997287	LOC102676995		LOC122712702	LOC409640																																																															
N55.HOG0000562	OG0000079	n141					LOC107992704	LOC102676368		LOC122714320	LOC102655654																																																															
N55.HOG0000563	OG0000079	n172					LOC107999052	LOC102673059		LOC122719893	LOC413117																																																															
N55.HOG0000564	OG0000079	n245					LOC107999053			LOC122719895																																																																
N55.HOG0000565	OG0000079	n274					LOC108001616	LOC102671882		LOC122716758	LOC413000																																																															
N55.HOG0000566	OG0000079	n345					LOC107994803	LOC102678058		LOC122711362	LOC410741																																																															
N55.HOG0000567	OG0000080	n2						LOC102678204		LOC122718719																																																																
N55.HOG0000568	OG0000080	n72					LOC107994792	LOC102675107		LOC122717815																																																																
N55.HOG0000569	OG0000080	n112						LOC116186353			LOC409759																																																															
N55.HOG0000570	OG0000080	n158					LOC107998646	LOC102672289		LOC122711359	LOC551344																																																															
N55.HOG0000571	OG0000080	n348					LOC107999248	LOC102681035		LOC122716550	LOC100577156																																																															
N55.HOG0000572	OG0000080	n352					LOC107997667	LOC102678385		LOC122714749	LOC413705																																																															
N55.HOG0000573	OG0000081	n10					LOC108003508	LOC102673999		LOC122720744	LOC725308																																																															
N55.HOG0000574	OG0000081	n11					LOC108001768	LOC102671640		LOC122716803	LOC724678																																																															
N55.HOG0000575	OG0000081	n24					LOC108000808	LOC102677195		LOC122720009	LOC552322																																																															
N55.HOG0000576	OG0000081	n104					LOC108003514	LOC102680006		LOC122720765	LOC726468																																																															
N55.HOG0000577	OG0000081	n164					LOC108003513	LOC102675656		LOC122720644	LOC725450																																																															
N55.HOG0000578	OG0000083	n22					LOC107995756	LOC102678938		LOC122718111	LOC408314																																																															
N55.HOG0000579	OG0000083	n343					LOC107996712	LOC102681058		LOC122718258	LOC100578801																																																															
N55.HOG0000580	OG0000084	n1					LOC108001904	LOC102680938		LOC122720391	Cpap3-d																																																															
N55.HOG0000581	OG0000084	n71					LOC107996385	LOC102676117		LOC122717176	LOC413679																																																															
N55.HOG0000582	OG0000084	n141					LOC108001107	LOC102678816		LOC122710470	Cpap3-b																																																															
N55.HOG0000583	OG0000084	n206					LOC108001902	LOC102681075		LOC122720394	LOC726189																																																															
N55.HOG0000584	OG0000084	n261					LOC107995392	LOC102677398		LOC122721079	LOC724382																																																															
N55.HOG0000585	OG0000084	n321					LOC108001920	LOC102671122		LOC122720565	Cpap3-c																																																															
N55.HOG0000586	OG0000085	n2					LOC108004375	LOC102677814			LOC409847																																																															
N55.HOG0000587	OG0000085	n53					LOC108004372	LOC102675565		LOC122711179	LOC100576781																																																															
N55.HOG0000588	OG0000085	n199						LOC102677944		LOC122711235	LOC724838																																																															
N55.HOG0000589	OG0000085	n202					LOC108004373	LOC102676343			LOC100577149																																																															
N55.HOG0000590	OG0000085	n229					LOC108004374																																																																			
N55.HOG0000591	OG0000085	n310								LOC122711224																																																																
N55.HOG0000592	OG0000086	n69					LOC107997463	LOC102673791		LOC122713395	Obp2																																																															
N55.HOG0000593	OG0000086	n217					LOC108000552	LOC102678956		LOC122713397	Obp4																																																															
N55.HOG0000594	OG0000086	n221					LOC108000549	LOC102678829		LOC122713391	Obp3																																																															
N55.HOG0000595	OG0000086	n275					LOC108003853	LOC116184842			Obp12																																																															
N55.HOG0000596	OG0000086	n348					LOC107997464	LOC102678700		LOC122713394	Obp7																																																															
N55.HOG0000597	OG0000087	n27						LOC102676713		LOC122713383	LOC107963984																																																															
N55.HOG0000598	OG0000087	n85					LOC107992670	LOC116186864		LOC122713334	LOC100578227																																																															
N55.HOG0000599	OG0000087	n150						LOC102675985		LOC122713436																																																																
N55.HOG0000600	OG0000087	n202					LOC107992690	LOC102676587		LOC122713435	LOC726382																																																															
N55.HOG0000601	OG0000087	n278									LOC100576935																																																															
N55.HOG0000602	OG0000087	n331					LOC107993015	LOC102676454		LOC122713247	LOC410063																																																															
N55.HOG0000603	OG0000088	n3					LOC107992607	LOC102680638		LOC122713404	nAChRa2																																																															
N55.HOG0000604	OG0000088	n96					LOC107992698	LOC102672092		LOC122713378	nAChRa1																																																															
N55.HOG0000605	OG0000088	n143					LOC107996562	LOC102676594		LOC122714840	nAChRa8																																																															
N55.HOG0000606	OG0000088	n266					LOC107993186	LOC102672345		LOC122719062	nAChRa4																																																															
N55.HOG0000607	OG0000088	n314					LOC107997818	LOC102671321		LOC122714787	nAChRa3																																																															
N55.HOG0000608	OG0000090	n5					LOC108002590	LOC116186898		LOC122717196	LOC413047																																																															
N55.HOG0000609	OG0000090	n145					LOC107994233	LOC102672496		LOC122712419	Jhe																																																															
N55.HOG0000610	OG0000090	n242					LOC107998239	LOC116185860			Est-6																																																															
N55.HOG0000611	OG0000090	n298					LOC107993965	LOC102679574		LOC122720843	LOC408395																																																															
N55.HOG0000612	OG0000091	n2					LOC107994988	LOC102674248		LOC122712062	LOC552636																																																															
N55.HOG0000613	OG0000091	n110					LOC107998593	LOC102673628		LOC122710599	LOC410291																																																															
N55.HOG0000614	OG0000091	n183					LOC108003176	LOC102672220		LOC122713528	LOC412926																																																															
N55.HOG0000615	OG0000091	n241					LOC107997560	LOC102681289		LOC122713231	LOC409231																																																															
N55.HOG0000616	OG0000091	n332					LOC108002925	LOC102677678		LOC122718922	LOC551121																																																															
N55.HOG0000617	OG0000092	n2					LOC107998920	LOC102675455		LOC122720976	LOC725500																																																															
N55.HOG0000618	OG0000092	n67					LOC108001943	LOC102681762		LOC122719802	LOC724890																																																															
N55.HOG0000619	OG0000092	n165					LOC108001912	LOC102674072		LOC122717954	LOC552811																																																															
N55.HOG0000620	OG0000092	n257					LOC108003837	LOC102681945		LOC122721056	LOC410365																																																															
N55.HOG0000621	OG0000092	n342						LOC102676959		LOC122720509																																																																
N55.HOG0000622	OG0000093	n1					LOC107997177	LOC102680437		LOC122710670	LOC726274																																																															
N55.HOG0000623	OG0000093	n100					LOC107997170	LOC102678175		LOC122710654	Mrjp9																																																															
N55.HOG0000624	OG0000093	n105					LOC107997159	LOC102678719		LOC122710655	Mrjp8																																																															
N55.HOG0000625	OG0000093	n110					LOC133665627	LOC102677848		LOC122710668	Mrjp1																																																															
N55.HOG0000626	OG0000093	n115					LOC107997171			LOC122710666	Mrjp3																																																															
N55.HOG0000627	OG0000093	n121					LOC107997173	LOC102678123		LOC122710653	Mrjp2																																																															
N55.HOG0000628	OG0000093	n125									LOC102654393, Mrjp7																																																															
N55.HOG0000629	OG0000093	n128					LOC107997178	LOC116185714		LOC122710652	Mrjp5																																																															
N55.HOG0000630	OG0000093	n131					LOC107997174	LOC116184856		LOC122710721	Mrjp6																																																															
N55.HOG0000631	OG0000093	n137					LOC107994024			LOC122710709																																																																
N55.HOG0000632	OG0000093	n138					LOC107997172			LOC122710667	Mrjp4																																																															
N55.HOG0000633	OG0000093	n229					LOC108003955	LOC102679184		LOC122715633	LOC727110																																																															
N55.HOG0000634	OG0000093	n298					LOC107997175	LOC102677623		LOC122710669	Y-e3																																																															
N55.HOG0000635	OG0000095	n61					LOC108002966	LOC102677126		LOC122714402	LOC412813																																																															
N55.HOG0000636	OG0000095	n120					LOC108002561	LOC102674166		LOC122712772	LOC409608																																																															
N55.HOG0000637	OG0000095	n159					LOC108000196	LOC102676309		LOC122716075	LOC725619																																																															
N55.HOG0000638	OG0000095	n232					LOC108003606	LOC102681407		LOC122713185	LOC724138																																																															
N55.HOG0000639	OG0000095	n294					LOC108003620	LOC102681753		LOC122713183	LOC726106																																																															
N55.HOG0000640	OG0000096	n42					LOC108003504	LOC102673869		LOC122720745	LOC725344																																																															
N55.HOG0000641	OG0000096	n92					LOC108003590	LOC102679744		LOC122720692	LOC726487																																																															
N55.HOG0000642	OG0000096	n127					LOC107999256, LOC108001772	LOC102671508, LOC102677965		LOC122716593, LOC122716878	LOC724633, LOC724869																																																															
N55.HOG0000643	OG0000096	n134					LOC108003510	LOC102680132		LOC122720675	LOC726447																																																															
N55.HOG0000644	OG0000097	n22					LOC108002653	LOC102673424		LOC122717567	LOC410405																																																															
N55.HOG0000645	OG0000097	n91					LOC108002654	LOC102674219		LOC122720345	LOC408398																																																															
N55.HOG0000646	OG0000097	n165					LOC107999236	LOC102681974		LOC122721167	LOC551179																																																															
N55.HOG0000647	OG0000097	n234					LOC107999579	LOC102678213		LOC122719253	LOC551632																																																															
N55.HOG0000648	OG0000097	n291					LOC108001250	LOC102672041		LOC122719558	LOC727290																																																															
N55.HOG0000649	OG0000098	n2					LOC108001913	LOC102673941		LOC122718018	LOC414002																																																															
N55.HOG0000650	OG0000098	n97					LOC108004503	LOC102676563		LOC122719298	LOC102654685																																																															
N55.HOG0000651	OG0000098	n189					LOC108001915			LOC122718180																																																																
N55.HOG0000652	OG0000098	n241						LOC102681917		LOC122714554	LOC113219252																																																															
N55.HOG0000653	OG0000098	n279					LOC114578127	LOC102680904		LOC122717595	LOC107965950																																																															
N55.HOG0000654	OG0000098	n285					LOC108001914	LOC102673805		LOC122718086	LOC100576104																																																															
N55.HOG0000655	OG0000099	n8					LOC107998706	LOC102673830		LOC122715249	LOC409799																																																															
N55.HOG0000656	OG0000099	n99					LOC107998188	LOC102674983		LOC122715212	LOC726286																																																															
N55.HOG0000657	OG0000099	n281					LOC107998724	LOC102673702		LOC122715251	LOC113218808																																																															
N55.HOG0000658	OG0000101	n181					LOC133667678, LOC133667679				LOC107965822																																																															
N55.HOG0000659	OG0000103	n56					LOC107996153	LOC102671488		LOC122712328	LOC551170																																																															
N55.HOG0000660	OG0000105	n8					LOC108003178	LOC102671498		LOC122713546	LOC550801																																																															
N55.HOG0000661	OG0000105	n68					LOC107995323	LOC102676862		LOC122718594	LOC411250																																																															
N55.HOG0000662	OG0000105	n136					LOC107997744	LOC102680221		LOC122716025	LOC102655407																																																															
N55.HOG0000663	OG0000105	n198					LOC108003167	LOC102671632		LOC122713547	LOC726768																																																															
N55.HOG0000664	OG0000105	n268					LOC108003136	LOC102674754		LOC122719459	LOC412313																																																															
N55.HOG0000665	OG0000106	n4					LOC107995871	LOC102675178		LOC122718212	TpnCI																																																															
N55.HOG0000666	OG0000106	n54					LOC108003860	LOC102670625		LOC122720875	TpnCIIIa																																																															
N55.HOG0000667	OG0000106	n108					LOC108003852	LOC102670897		LOC122720876	TpnCIIIb																																																															
N55.HOG0000668	OG0000106	n166					LOC107998833	LOC116185725		LOC122714390	TpnCIIb																																																															
N55.HOG0000669	OG0000106	n211					LOC107995063	LOC102681676		LOC122717832	TpnCIIa																																																															
N55.HOG0000670	OG0000107	n8					LOC107999464, LOC108003478, LOC108003624, LOC114578213	LOC102674273, LOC102675541		LOC122716547, LOC122720693, LOC122720694, LOC122720798	LOC102655073, LOC406132, LOC724757, LOC725230																																																															
N55.HOG0000671	OG0000107	n33						LOC102679631																																																																		
N55.HOG0000672	OG0000109	n3					LOC107996801	LOC102678653		LOC122720525																																																																
N55.HOG0000673	OG0000109	n71					LOC107998205	LOC102675113		LOC122715244																																																																
N55.HOG0000674	OG0000109	n139					LOC107998921	LOC102673435		LOC122715361	LOC552810																																																															
N55.HOG0000675	OG0000109	n222					LOC107996797	LOC116186412		LOC122720626	LOC413265																																																															
N55.HOG0000676	OG0000109	n284					LOC107996798	LOC102671086																																																																		
N55.HOG0000677	OG0000110	n9					LOC108002591	LOC102673888		LOC122717202	LOC100576916																																																															
N55.HOG0000678	OG0000110	n55								LOC122716995																																																																
N55.HOG0000679	OG0000110	n94					LOC108002598	LOC102673098		LOC122717201	LOC725838																																																															
N55.HOG0000680	OG0000110	n158					LOC108002597	LOC102673236		LOC122717199	LOC725804																																																															
N55.HOG0000681	OG0000110	n187					LOC133666613			LOC122716994																																																																
N55.HOG0000682	OG0000110	n240						LOC102677553			LOC113218932																																																															
N55.HOG0000683	OG0000110	n268					LOC108002602			LOC122716996	LOC552685																																																															
N55.HOG0000684	OG0000113	n67					LOC107993725, LOC133666363	LOC102671062		LOC122719347	LOC100576304																																																															
N55.HOG0000685	OG0000113	n114					LOC107993105	LOC102672949		LOC122711801	LOC100577949																																																															
N55.HOG0000686	OG0000113	n184					LOC107996523	LOC102670663		LOC122715179	LOC100578151																																																															
N55.HOG0000687	OG0000113	n256					LOC108000972	LOC102675375		LOC122711026	LOC413909																																																															
N55.HOG0000688	OG0000114	n16					LOC107997701	LOC102671546		LOC122716422	LOC551560																																																															
N55.HOG0000689	OG0000114	n158					LOC108003715	LOC102680110		LOC122721014	CYP6AQ1																																																															
N55.HOG0000690	OG0000116	n7					LOC107998734	LOC102676897		LOC122711094	LOC552592																																																															
N55.HOG0000691	OG0000116	n73					LOC108001040	LOC102671583		LOC122710956	LOC726839																																																															
N55.HOG0000692	OG0000116	n142					LOC107998747	LOC102679185		LOC122710969	LOC408456																																																															
N55.HOG0000693	OG0000116	n217					LOC107995666	LOC102677470		LOC122720088	LOC102655153																																																															
N55.HOG0000694	OG0000116	n260					LOC108002669	LOC102681031		LOC122717543	LOC551053																																																															
N55.HOG0000695	OG0000117	n17					LOC108002579	LOC102681900		LOC122710769	LOC725279																																																															
N55.HOG0000696	OG0000117	n48					LOC107997619	LOC102679913		LOC122715106	LOC725568																																																															
N55.HOG0000697	OG0000117	n161					LOC107998072	LOC102679203			LOC411930																																																															
N55.HOG0000698	OG0000117	n222								LOC122715228																																																																
N55.HOG0000699	OG0000117	n279					LOC107994489	LOC102673069		LOC122715221	LOC100576216																																																															
N55.HOG0000700	OG0000118	n23					LOC107994875	LOC102674862		LOC122711426	LOC725682																																																															
N55.HOG0000701	OG0000118	n183						LOC102674130		LOC122715099	LOC412969																																																															
N55.HOG0000702	OG0000118	n185						LOC102675215		LOC122711441	LOC725746																																																															
N55.HOG0000703	OG0000118	n235					LOC108000011	LOC102674962		LOC122716968	LOC100577363																																																															
N55.HOG0000704	OG0000119	n4					LOC107995082	LOC102677748		LOC122718171	LOC410337																																																															
N55.HOG0000705	OG0000119	n112					LOC107994275	LOC102674178		LOC122710909	LOC411229																																																															
N55.HOG0000706	OG0000119	n167					LOC108004464	LOC102672246		LOC122715524	LOC552477																																																															
N55.HOG0000707	OG0000119	n245					LOC107995118	LOC102679619		LOC122718126	LOC410336																																																															
N55.HOG0000708	OG0000120	n2					LOC107993560	LOC102672677		LOC122719537	LOC107963995																																																															
N55.HOG0000709	OG0000120	n75						LOC102672903			LOC100576326																																																															
N55.HOG0000710	OG0000120	n166					LOC108000782	LOC102681138		LOC122713712	LOC409204																																																															
N55.HOG0000711	OG0000120	n236					LOC107999878	LOC102676508		LOC122711049	LOC408494																																																															
N55.HOG0000712	OG0000121	n9					LOC107996168	LOC102679682		LOC122716092	LOC410452																																																															
N55.HOG0000713	OG0000121	n82					LOC107996167	LOC102680238		LOC122716091	LOC726391																																																															
N55.HOG0000714	OG0000121	n214					LOC107994228	LOC102678695		LOC122711018	LOC551524																																																															
N55.HOG0000715	OG0000122	n3					LOC108003854	LOC102680800		LOC122720869	LOC410368																																																															
N55.HOG0000716	OG0000122	n72					LOC107993181	LOC102678751		LOC122719037	LOC409212																																																															
N55.HOG0000717	OG0000122	n175					LOC114577696	LOC116184861		LOC122719859	LOC411023																																																															
N55.HOG0000718	OG0000122	n260					LOC107999043	LOC102679992		LOC122720046																																																																
N55.HOG0000719	OG0000123	n4					LOC107997231	LOC116185145		LOC122713377	LOC102653835																																																															
N55.HOG0000720	OG0000123	n56					LOC107997075	LOC102673630		LOC122713408	LOC102655429																																																															
N55.HOG0000721	OG0000123	n107					LOC108001715	LOC116185105		LOC122713376	LOC102655476																																																															
N55.HOG0000722	OG0000123	n161					LOC107995234	LOC116185143		LOC122713271	LOC102655512																																																															
N55.HOG0000723	OG0000123	n215					LOC107996911	LOC102671776		LOC122713426	LOC100576192																																																															
N55.HOG0000724	OG0000123	n265					LOC107996639	LOC116185142		LOC122713361	LOC102653932																																																															
N55.HOG0000725	OG0000124	n2					LOC107997780	LOC102679295		LOC122714661	LOC727271																																																															
N55.HOG0000726	OG0000124	n148					LOC107993262	LOC102677242		LOC122720349	LOC551094																																																															
N55.HOG0000727	OG0000124	n239					LOC107998203	LOC102674390		LOC122712247	LOC408742																																																															
N55.HOG0000728	OG0000125	n1					LOC108003619	LOC102673264		LOC122720794	LOC413374																																																															
N55.HOG0000729	OG0000125	n127					LOC107996625, LOC133665634	LOC102679132		LOC122720464	LOC726172, LOC726899																																																															
N55.HOG0000730	OG0000126	n2					LOC108003610	LOC102672005		LOC122710875	LOC411519																																																															
